TAXON,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,GENUS,SPECIES,RANK,INFRASPECIFIC,scientificName,UNABLE_TO_ASSIGN_GEO_DISTR,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,CWR,WUS,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,TIER,GENEPOOL,CATEGORY,GRAFTSTOCK,ABIOTIC_TRAIT_2,ABIOTIC_TRAIT_3,BIOTIC_TRAIT_1,BIOTIC_TRAIT_2,FERTILITY_TRAIT,AGRONOMIC_TRAIT_1,AGRONOMIC_TRAIT_2,AGRONOMIC_TRAIT_3,PHENOLOGICAL_TRAIT,SOURCE_OF_TAXON,GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE,WUS_SOURCE,ROUNDED_G_RANK,ROUNDED_N_RANK,CURRENT_US_DISTRIBUTION,CURRENT_CA_DISTRIBUTION,COSEWIC_DESC
Amelanchier alnifolia,Saskatoon,Amelanchier,Amelanchier alnifolia,NA,NA,Amelanchier alnifolia (Nutt.) Nutt.,,N,N,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Progenitor,1A,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,G5,NNR,"AK(SNR), CA(SNR), CO(SNR), IA(S1), ID(SNR), MN(SNR), MT(S5), ND(SNR), NE(SNR), NV(SNR), OR(SNR), SD(SNR), UT(SNR), WA(SNR), WY(SNR)","AB(S5), BC(S5), MB(S5), NT(SNR), ON(S4?), SK(SNR), YT(SNR)",
Amelanchier alnifolia var. alnifolia,Saskatoon,Amelanchier,Amelanchier alnifolia,var.,alnifolia,Amelanchier alnifolia  (Nutt.) Nutt. var. alnifolia,,N,Y,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Progenitor,1A,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,T5,N5,"AK(SNR), CO(SNR), ID(SNR), MT(SNR), ND(SNR), NE(SNR), NV(SNR), OR(SNR), SD(SNR), UT(SNR), WA(SNR), WY(S5)","AB(S5), BC(S5), MB(S5), NT(SNR), ON(S4?), SK(S5), YT(S4)",
Amelanchier alnifolia var. humptulipensis,Saskatoon,Amelanchier,Amelanchier alnifolia,var.,humptulipensis,Amelanchier alnifolia var. humptulipensis (G.N.Jones) C.L.Hitchc.,,N,Y,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Progenitor,1A,,,,,,,,,,,Davidson 1995,,,T4,NNR,WA(SNR),BC(SNR),
Amelanchier alnifolia var. pumila,Saskatoon,Amelanchier,Amelanchier alnifolia,var.,pumila,Amelanchier alnifolia var. pumila (Torr. & A.Gray) C.K.Schneid.,,N,Y,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,G5,NNR,"AZ(SNR), CA(SNR), CO(SNR), ID(SNR), MT(SNR), NM(SNR), OR(SNR), UT(SNR), WA(SNR), WY(S3S4)",AB(SU),
Amelanchier alnifolia var. semiintegrifolia,Saskatoon,Amelanchier,Amelanchier alnifolia,var.,semiintegrifolia,Amelanchier alnifolia var. semiintegrifolia (Hook.) C.L.Hitchc.,,N,Y,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Progenitor,1A,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,T4,NNR,"AK(SNR), CA(SNR), OR(SNR), WA(SNR)",BC(SNR),
Amelanchier arborea,Saskatoon,Amelanchier,Amelanchier arborea,NA,NA,Amelanchier arborea (F.Michx.) Fernald,,,Y,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,G5,NNR,"AL(S1?), AR(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(S5?), GS(P3), IA(S4), IL(SNR), IN(S5), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), NE(S4), NH(SNR), NJ(SNR), NY(S5), OH(SNR), OK(SNR), PA(S5), RI(SNR), SC(SNR), TN(SNR), TV(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5)","NB(S4), NS(S4S5), ON(S5), QC(S3S4)",
Amelanchier bartramiana,Saskatoon,Amelanchier,Amelanchier bartramiana,NA,NA,Amelanchier bartramiana (Tausch) M.Roem.,,,Y,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,G5,N5,"MA(S2), ME(SNR), MI(SNR), MN(SNR), NH(SNR), NY(S4), PA(S1), VT(SNR), WI(SNR), WV(S2)","LB(S4S5), NB(S5), NF(S5), NS(S5), NU(SU), ON(S5), PE(S4), QC(S5)",
Amelanchier canadensis,Saskatoon,Amelanchier,Amelanchier canadensis,NA,NA,Amelanchier canadensis (L.) Medik.,,,Y,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,G5,N4,"CT(SNR), DC(SNR), DE(SNR), GA(SNR), MA(SNR), MD(SNR), ME(SNR), NC(SNR), NH(SNR), NJ(SNR), NY(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), VA(SNR), VT(SNR)","NB(S3), NS(S4S5), PE(S1S3), QC(SNR)",
Amelanchier cusickii,Saskatoon,Amelanchier,Amelanchier cusickii,NA,NA,Amelanchier cusickii Fernald,,,Y,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Progenitor,1A,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,T5,N5,"ID(SNR), MT(SNR), NV(SNR), OR(SNR), UT(SNR), WA(SNR), WY(SNR)",BC(S5),
Amelanchier humilis,Saskatoon,Amelanchier,Amelanchier humilis,NA,NA,Amelanchier humilis Wiegand,,,Y,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,G5,N5,"IA(S3), IL(SNR), IN(S1), KS(SNR), MD(S1), ME(S4), MN(SNR), MO(SNR), ND(SNR), NE(S3), NJ(S1), NY(S4), OH(S1), PA(S1), SC(SNR), SD(SNR), VT(SNR), WI(SNR)","MB(S2?), ON(S5), QC(S4), SK(S2)",
