SPECIES,PROVINCE,Source
Malus coronaria,British Columbia,FNA
Vaccinium myrtillus ,Quebec,FNA
Vaccinium myrtillus ,Nova Scotia,
Vaccinium ovalifolium,Nunnavut,FNA
Vaccinium ovatum,Quebec,FNA
Vaccinium parvifolium,Ontario,FNA
Vaccinium membranaceum,Quebec,FNA
Prunus emarginata,Ontario,FNA
Prunus pensylvanica,Yukon,FNA
Ribes inerme,Saskatchewan,FNA
Ribes oxyacanthoides,Nova Scotia,FNA
Vitis riparia,British Columbia,FNA
Viburnum dentatum,British Columbia,VASCAN
Viburnum lantana,British Columbia,VASCAN
Viburnum lantana,Alberta,
Viburnum lantana,Newfoundland,
Viburnum lentago,British Columbia,VASCAN
Rubus nutkanus,Quebec,FNA
Rubus occidentalis,British Columbia,FNA
Rubus pensilvanicus,British Columbia,FNA
Amelanchier canadensis,British Columbia,VASCAN
Amelanchier humilis,Alberta,VASCAN
Amelanchier laevis,British Columbia,VASCAN
Amelanchier sanguinea,Alberta,VASCAN
Amelanchier sanguinea,Manitoba,
Amelanchier sanguinea,Nova Scotia,
Fragaria chiloensis,Ontario,FNA
Malus fusca,Alberta,FNA
