SPECIES,longitude,latitude
Arctostaphylos uva-ursi,-124.439041,58.633858
Arctostaphylos uva-ursi,-122.855942,53.735844
Arctostaphylos uva-ursi,-120.486861,51.903314
Arctostaphylos uva-ursi,-128.383713,54.597931
Arctostaphylos uva-ursi,-78.372341,45.589547
Arctostaphylos uva-ursi,-127.687889,55.196419
Arctostaphylos uva-ursi,-116.009169,50.557087
Arctostaphylos uva-ursi,-81.200312,46.104075
Arctostaphylos uva-ursi,-114.833994,55.432406
Arctostaphylos uva-ursi,-76.787094,45.255409
Arctostaphylos uva-ursi,-81.651908,50.06494
Arctostaphylos uva-ursi,-120.74457,49.699353
Arctostaphylos uva-ursi,-88.804575,48.369308
Arctostaphylos uva-ursi,-122.258181,52.332591
Arctostaphylos uva-ursi,-113.622539,53.48682
Arctostaphylos uva-ursi,-118.541378,50.417261
Arctostaphylos uva-ursi,-121.164306,53.051146
Arctostaphylos uva-ursi,-125.086667,51.806667
Arctostaphylos uva-ursi,-120.129417,49.901856
Arctostaphylos uva-ursi,-128.270279,54.988445
Arctostaphylos uva-ursi,-129.303726,56.081429
Arctostaphylos uva-ursi,-124.66069,58.65937
Arctostaphylos uva-ursi,-116.073153,52.50152
Arctostaphylos uva-ursi,-79.461313,44.841431
Arctostaphylos uva-ursi,-78.359216,44.576721
Arctostaphylos uva-ursi,-94.283097,51.030864
Arctostaphylos uva-ursi,-66.607831,45.984037
Arctostaphylos uva-ursi,-128.256892,54.753708
Arctostaphylos uva-ursi,-121.696716,55.809544
Arctostaphylos uva-ursi,-122.267944,56.156353
Arctostaphylos uva-ursi,-77.185768,44.897076
Arctostaphylos uva-ursi,-121.759987,49.987316
Arctostaphylos uva-ursi,-122.938828,54.906925
Arctostaphylos uva-ursi,-122.249795,50.947204
Arctostaphylos uva-ursi,-122.834854,57.382843
Arctostaphylos uva-ursi,-125.581258,48.946496
Arctostaphylos uva-ursi,-119.286603,50.121224
Arctostaphylos uva-ursi,-125.116556,49.637428
Arctostaphylos uva-ursi,-122.628227,55.404587
Arctostaphylos uva-ursi,-125.897941,59.159222
Arctostaphylos uva-ursi,-115.611197,51.721747
Arctostaphylos uva-ursi,-114.354782,53.44659
Arctostaphylos uva-ursi,-121.933108,49.936478
Arctostaphylos uva-ursi,-84.898576,47.792005
Arctostaphylos uva-ursi,-63.950956,46.709117
Arctostaphylos uva-ursi,-124.008291,54.014881
Arctostaphylos uva-ursi,-125.764767,58.923904
Arctostaphylos uva-ursi,-63.592878,44.636653
Arctostaphylos uva-ursi,-95.323112,49.812363
Arctostaphylos uva-ursi,-117.884626,52.664853
Arctostaphylos uva-ursi,-120.105009,52.379259
Arctostaphylos uva-ursi,-139.420564,64.071036
Arctostaphylos uva-ursi,-116.239372,50.460364
Arctostaphylos uva-ursi,-124.747364,49.151895
Arctostaphylos uva-ursi,-84.615328,47.332144
Arctostaphylos uva-ursi,-124.421809,51.899811
Arctostaphylos uva-ursi,-96.572886,50.573478
Arctostaphylos uva-ursi,-105.964882,53.700561
Arctostaphylos uva-ursi,-118.241359,51.009281
Arctostaphylos uva-ursi,-83.346763,46.461872
Arctostaphylos uva-ursi,-121.729454,50.863266
Arctostaphylos uva-ursi,-81.455186,44.419328
Arctostaphylos uva-ursi,-122.482834,50.244709
Arctostaphylos uva-ursi,-115.280267,50.188617
Arctostaphylos uva-ursi,-122.808525,50.30024
Arctostaphylos uva-ursi,-115.797063,49.881575
Arctostaphylos uva-ursi,-119.958829,50.257006
Arctostaphylos uva-ursi,-118.943634,49.57373
Arctostaphylos uva-ursi,-129.053085,59.39201
Arctostaphylos uva-ursi,-122.680114,54.482528
Arctostaphylos uva-ursi,-83.476228,46.323897
Arctostaphylos uva-ursi,-95.602541,49.629891
Arctostaphylos uva-ursi,-122.682678,50.556568
Arctostaphylos uva-ursi,-95.254014,50.463314
Arctostaphylos uva-ursi,-116.265701,49.162445
Arctostaphylos uva-ursi,-117.956122,53.175256
Arctostaphylos uva-ursi,-97.485352,50.312047
Arctostaphylos uva-ursi,-115.910456,51.550204
Arctostaphylos uva-ursi,-95.45425,50.566812
Arctostaphylos uva-ursi,-119.584922,49.889872
Arctostaphylos uva-ursi,-121.665103,51.878986
Arctostaphylos uva-ursi,-122.560104,52.982502
Arctostaphylos uva-ursi,-135.252331,61.047719
Arctostaphylos uva-ursi,-117.699714,49.505082
Arctostaphylos uva-ursi,-119.02609,50.658335
Arctostaphylos uva-ursi,-126.671067,54.297658
Arctostaphylos uva-ursi,-55.604582,48.986522
Arctostaphylos uva-ursi,-79.902467,44.279312
Arctostaphylos uva-ursi,-120.277206,49.0486
Arctostaphylos uva-ursi,-118.020308,53.088347
Arctostaphylos uva-ursi,-119.516015,50.118742
Arctostaphylos uva-ursi,-124.694607,49.35933
Arctostaphylos uva-ursi,-80.966867,46.459122
Arctostaphylos uva-ursi,-121.408273,50.508746
Arctostaphylos uva-ursi,-112.011306,54.960747
Arctostaphylos uva-ursi,-120.767581,49.584193
Arctostaphylos uva-ursi,-114.63263,51.811017
Arctostaphylos uva-ursi,-126.785387,50.54161
Arctostaphylos uva-ursi,-95.415719,50.463578
Arctostaphylos uva-ursi,-125.519989,49.554275
Arctostaphylos uva-ursi,-133.936666,59.133664
Arctostaphylos uva-ursi,-57.865874,48.989529
Arctostaphylos uva-ursi,-134.262683,60.465015
Arctostaphylos uva-ursi,-121.398956,49.025337
Arctostaphylos uva-ursi,-81.271295,45.027431
Arctostaphylos uva-ursi,-125.66508,49.716289
Arctostaphylos uva-ursi,-128.965395,55.09452
Arctostaphylos uva-ursi,-82.915017,46.1837
Arctostaphylos uva-ursi,-112.749662,61.999208
Arctostaphylos uva-ursi,-125.843551,50.482359
Arctostaphylos uva-ursi,-119.033112,49.652213
Arctostaphylos uva-ursi,-119.616997,51.137447
Arctostaphylos uva-ursi,-116.493409,51.664597
Arctostaphylos uva-ursi,-89.595993,48.662148
Arctostaphylos uva-ursi,-80.86849,48.560248
Arctostaphylos uva-ursi,-125.956667,59.281111
Arctostaphylos uva-ursi,-97.311737,49.845353
Arctostaphylos uva-ursi,-115.928638,49.590324
Arctostaphylos uva-ursi,-124.710443,49.257547
Arctostaphylos uva-ursi,-114.114393,55.079096
Arctostaphylos uva-ursi,-95.384722,50.671533
Arctostaphylos uva-ursi,-115.213342,50.864272
Arctostaphylos uva-ursi,-103.685775,52.565678
Arctostaphylos uva-ursi,-81.419319,44.949586
Arctostaphylos uva-ursi,-122.939868,50.130212
Arctostaphylos uva-ursi,-96.871075,50.035275
Arctostaphylos uva-ursi,-124.298103,49.304367
Arctostaphylos uva-ursi,-113.80296,62.121166
Arctostaphylos uva-ursi,-116.700774,52.869818
Arctostaphylos uva-ursi,-113.88845,49.025908
Arctostaphylos uva-ursi,-114.476188,49.001311
Arctostaphylos uva-ursi,-91.500042,52.739599
Arctostaphylos uva-ursi,-119.084474,53.135926
Arctostaphylos uva-ursi,-117.006246,52.656832
Arctostaphylos uva-ursi,-125.927103,49.7364
Arctostaphylos uva-ursi,-76.810883,44.605596
Arctostaphylos uva-ursi,-90.577597,48.23452
Arctostaphylos uva-ursi,-123.136817,49.835513
Arctostaphylos uva-ursi,-119.667446,50.567255
Arctostaphylos uva-ursi,-77.633912,45.885825
Arctostaphylos uva-ursi,-79.891388,46.21792
Arctostaphylos uva-ursi,-60.796722,46.821514
Arctostaphylos uva-ursi,-81.60616,49.851723
Arctostaphylos uva-ursi,-95.806161,50.359545
Arctostaphylos uva-ursi,-78.628738,45.222358
Arctostaphylos uva-ursi,-79.367578,44.973491
Arctostaphylos uva-ursi,-78.040194,45.961935
