SPECIES,longitude,latitude
Rubus canadensis,-62.731258,46.169412
Rubus canadensis,-52.759641,47.57188
Rubus canadensis,-62.193058,45.593237
Rubus canadensis,-65.008025,45.807767
Rubus canadensis,-71.346264,46.899717
Rubus canadensis,-78.399533,45.552278
Rubus canadensis,-66.972067,44.875644
Rubus canadensis,-73.916879,45.067238
Rubus canadensis,-76.437285,45.875693
Rubus canadensis,-84.360178,46.714515
Rubus canadensis,-84.535246,46.976855
Rubus canadensis,-78.755432,45.126999
Rubus canadensis,-80.573983,46.024044
Rubus canadensis,-76.826103,45.022514
Rubus canadensis,-80.620951,46.592615
Rubus canadensis,-66.652162,45.982503
Rubus canadensis,-63.491515,45.044317
Rubus canadensis,-66.098735,44.355188
Rubus canadensis,-65.57753,43.495353
Rubus canadensis,-74.451988,45.555086
Rubus canadensis,-64.921842,45.909072
Rubus canadensis,-71.914948,45.371876
Rubus canadensis,-63.59015,44.631283
Rubus canadensis,-64.577797,45.816006
Rubus canadensis,-63.202789,46.283951
Rubus canadensis,-62.695995,46.350517
Rubus canadensis,-83.861035,46.935274
Rubus canadensis,-79.486717,46.334208
Rubus canadensis,-75.520321,45.367289
Rubus canadensis,-60.08844,46.170184
Rubus canadensis,-75.865212,45.489762
Rubus canadensis,-81.416667,46
Rubus canadensis,-79.791344,47.064011
Rubus canadensis,-61.165833,45.533333
Rubus canadensis,-63.352037,46.196759
Rubus canadensis,-68.3167,47.3667
Rubus canadensis,-76.5,44.2333
Rubus canadensis,-66.1833,44.1722
Rubus canadensis,-71.4333,47.05
Rubus canadensis,-75.9167,45.75
Rubus canadensis,-75.5333,45.2667
Rubus canadensis,-82.8167,42.0333
Rubus canadensis,-82.98305263,46.18322742
Rubus canadensis,-60.6667,45.8
Rubus canadensis,-75.7553,45.4072
Rubus canadensis,-76.3333,45.4667
Rubus canadensis,-84.74980919,46.9999243
Rubus canadensis,-76.4358,47.1506
Rubus canadensis,-83.0167,42.3
Rubus canadensis,-82.5167,41.9667
Rubus canadensis,-81.3167,43.9
Rubus canadensis,-80.2167,42.8
Rubus canadensis,-84.99981892,47.99992329
Rubus canadensis,-75.136355,45.395411
Rubus canadensis,-65.01143,45.602665
Rubus canadensis,-72.383333,45.983333
Rubus canadensis,-71.283333,46.783333
Rubus canadensis,-73.65,45.516667
Rubus canadensis,-63.5497,45.6568
Rubus canadensis,-64.35338,45.41471
Rubus canadensis,-84.833333,48.05
Rubus canadensis,-60.394712,46.60926
Rubus canadensis,-59.69907,46.02682
Rubus canadensis,-61.92797,45.43515
Rubus canadensis,-84.566667,47.233333
Rubus canadensis,-64.53276,45.136
Rubus canadensis,-66.06467,43.82925
Rubus canadensis,-63.60193,44.78146
Rubus canadensis,-70.812035,46.999425
Rubus canadensis,-74.333333,45.966667
Rubus canadensis,-64.64854,44.14703
Rubus canadensis,-78.595833,45.551667
Rubus canadensis,-60.686297,46.766261
Rubus canadensis,-64.059673,46.664414
Rubus canadensis,-61.65141,45.49253
Rubus canadensis,-74,45.783333
Rubus canadensis,-66.08642,44.49421
Rubus canadensis,-63.45959,45.43723
Rubus canadensis,-60.396275,46.713529
Rubus canadensis,-64.41276,45.05293
Rubus canadensis,-73.99524,45.45197
Rubus canadensis,-54.9137,48.89475
