SPECIES,longitude,latitude
Amelanchier arborea,-76.800859,44.608443
Amelanchier arborea,-76.07489,45.391138
Amelanchier arborea,-78.807425,43.898954
Amelanchier arborea,-61.735103,45.5986
Amelanchier arborea,-80.064477,43.397064
Amelanchier arborea,-63.567667,44.58166
Amelanchier arborea,-63.465164,45.252609
Amelanchier arborea,-63.497878,45.09811
Amelanchier arborea,-78.848105,44.860047
Amelanchier arborea,-78.2747,44.972806
Amelanchier arborea,-79.300787,43.70114
Amelanchier arborea,-122.699806,49.232641
Amelanchier arborea,-79.652199,44.346401
Amelanchier arborea,-122.581894,49.174074
Amelanchier arborea,-80.97567,46.439945
Amelanchier arborea,-80.73633,43.454181
Amelanchier arborea,-81.942077,45.982715
Amelanchier arborea,-83.880592,46.312983
Amelanchier arborea,-78.548042,44.30702
Amelanchier arborea,-80.104578,43.916311
Amelanchier arborea,-79.069228,43.908847
Amelanchier arborea,-76.137935,45.255967
Amelanchier arborea,-84.307879,46.532951
Amelanchier arborea,-79.924055,43.215836
Amelanchier arborea,-75.678145,45.390257
Amelanchier arborea,-63.541527,44.675381
Amelanchier arborea,-76.668451,45.017768
Amelanchier arborea,-65.588999,43.455096
Amelanchier arborea,-73.27087,45.577605
Amelanchier arborea,-78.394427,44.307535
Amelanchier arborea,-76.066352,44.941266
Amelanchier arborea,-79.533162,43.923563
Amelanchier arborea,-75.824417,45.538611
Amelanchier arborea,-73.26948,45.269207
Amelanchier arborea,-79.615596,43.622325
Amelanchier arborea,-76.417486,44.241406
Amelanchier arborea,-64.622893,45.063591
Amelanchier arborea,-79.389822,43.82986
Amelanchier arborea,-76.26284,44.788564
Amelanchier arborea,-75.667907,45.528822
Amelanchier arborea,-77.875518,44.695832
Amelanchier arborea,-80.371682,43.24329
Amelanchier arborea,-77.601403,44.247938
Amelanchier arborea,-77.285468,44.525013
Amelanchier arborea,-76.569947,44.461464
Amelanchier arborea,-79.550447,43.05757
Amelanchier arborea,-80.173252,43.004331
