SPECIES,longitude,latitude
Amelanchier bartramiana,-60.375545,46.720238
Amelanchier bartramiana,-56.946797,51.489717
Amelanchier bartramiana,-66.876792,48.773955
Amelanchier bartramiana,-66.35112,45.336747
Amelanchier bartramiana,-59.251392,47.633251
Amelanchier bartramiana,-89.161912,48.477099
Amelanchier bartramiana,-64.6667,48.3333
Amelanchier bartramiana,-74.6333,46.2
Amelanchier bartramiana,-92.1667,50.0833
Amelanchier bartramiana,-66.396935,49.020823
Amelanchier bartramiana,-66.17464,48.93521
Amelanchier bartramiana,-65.06062,46.79988
Amelanchier bartramiana,-84.55967,46.94525
Amelanchier bartramiana,-65.148105,48.904685
Amelanchier bartramiana,-52.756323,47.522948
Amelanchier bartramiana,-68.113694,51.645126
Amelanchier bartramiana,-57.016545,50.82823
Amelanchier bartramiana,-58.456041,48.882825
Amelanchier bartramiana,-68.158996,51.49009
Amelanchier bartramiana,-64.572547,45.922777
Amelanchier bartramiana,-53.105094,47.42128
Amelanchier bartramiana,-64.532622,47.964653
Amelanchier bartramiana,-63.796528,50.212611
Amelanchier bartramiana,-88.58882,48.75
Amelanchier bartramiana,-87.526776,48.84165
Amelanchier bartramiana,-70.883888,45.436943
Amelanchier bartramiana,-73.827222,45.720556
Amelanchier bartramiana,-60.520425,46.037156
Amelanchier bartramiana,-71.915017,45.371078
Amelanchier bartramiana,-74.006531,45.988472
Amelanchier bartramiana,-78.916667,49.866667
Amelanchier bartramiana,-57.791453,49.593032
Amelanchier bartramiana,-70.836105,48.59877
Amelanchier bartramiana,-80.951514,47.650925
Amelanchier bartramiana,-88.008623,48.697347
Amelanchier bartramiana,-60.827179,46.741888
Amelanchier bartramiana,-87.764229,48.912392
Amelanchier bartramiana,-69.089262,48.059088
Amelanchier bartramiana,-69.422325,47.964736
Amelanchier bartramiana,-86.351387,48.759495
Amelanchier bartramiana,-71.039174,48.411264
Amelanchier bartramiana,-68.271273,48.455247
Amelanchier bartramiana,-70.207802,48.271839
Amelanchier bartramiana,-65.745313,43.463532
Amelanchier bartramiana,-65.113683,45.642326
Amelanchier bartramiana,-64.211747,44.583711
Amelanchier bartramiana,-89.262681,48.980717
Amelanchier bartramiana,-66.492289,45.135759
Amelanchier bartramiana,-64.425995,45.899114
Amelanchier bartramiana,-63.445495,45.405933
Amelanchier bartramiana,-79.804878,46.736508
Amelanchier bartramiana,-64.076064,46.681317
Amelanchier bartramiana,-81.30956,43.88732
Amelanchier bartramiana,-63.679722,51.600556
Amelanchier bartramiana,-65.955833,50.307778
Amelanchier bartramiana,-74.966667,51.383333
Amelanchier bartramiana,-89.283333,48.35
Amelanchier bartramiana,-55.92,52.92
Amelanchier bartramiana,-60.17,55.42
Amelanchier bartramiana,-73.765689,49.483411
Amelanchier bartramiana,-84.26874,47.956803
Amelanchier bartramiana,-63.9,46.491667
Amelanchier bartramiana,-63.188705,46.2369
Amelanchier bartramiana,-84.5333,47.95
Amelanchier bartramiana,-66.6833,47.9833
Amelanchier bartramiana,-88.8333,48.3333
Amelanchier bartramiana,-86.3,48.5833
Amelanchier bartramiana,-87.35,48.8167
Amelanchier bartramiana,-89.9167,48.8833
Amelanchier bartramiana,-91.9,50.1167
Amelanchier bartramiana,-66.2667,47.3667
Amelanchier bartramiana,-82.85,47.45
Amelanchier bartramiana,-66.8708,47.4167
Amelanchier bartramiana,-81.0333,49.0833
Amelanchier bartramiana,-64.8667,47.4667
Amelanchier bartramiana,-92.2833,50.3167
Amelanchier bartramiana,-75.6764,45.4506
Amelanchier bartramiana,-70.9,53.2
Amelanchier bartramiana,-83.4167,48.5
Amelanchier bartramiana,-93.05,50.8
Amelanchier bartramiana,-90.9667,49.2333
Amelanchier bartramiana,-91.7,49.4333
Amelanchier bartramiana,-64.6833,47.8167
Amelanchier bartramiana,-84.75,47
Amelanchier bartramiana,-87.0333,48.65
Amelanchier bartramiana,-87.25,48.75
Amelanchier bartramiana,-86.6,48.7167
Amelanchier bartramiana,-54.1,48.4667
Amelanchier bartramiana,-72.733333,51.816667
Amelanchier bartramiana,-73.966667,50.666667
Amelanchier bartramiana,-74.3,50.216667
Amelanchier bartramiana,-71.5,49
Amelanchier bartramiana,-74.166667,49.516667
Amelanchier bartramiana,-64.26552,48.84331
Amelanchier bartramiana,-65.809257,45.269919
Amelanchier bartramiana,-63.548611,50.220278
Amelanchier bartramiana,-73.383333,53.65
Amelanchier bartramiana,-73.866667,53.916667
Amelanchier bartramiana,-73.803194,50.733781
Amelanchier bartramiana,-70.583333,52.333333
Amelanchier bartramiana,-73.461977,51.185237
Amelanchier bartramiana,-72.779175,51.348368
Amelanchier bartramiana,-72.876389,51.236944
Amelanchier bartramiana,-73.434535,51.065991
Amelanchier bartramiana,-72.566667,51.383333
Amelanchier bartramiana,-73.826772,50.549038
Amelanchier bartramiana,-71.35,45.9
Amelanchier bartramiana,-70.583333,46.333333
Amelanchier bartramiana,-71.056,46.692
Amelanchier bartramiana,-68.533611,49.070556
Amelanchier bartramiana,-71.016667,46.833333
Amelanchier bartramiana,-67.172851,54.8977
Amelanchier bartramiana,-76.6775,53.244444
Amelanchier bartramiana,-76.7,49.05
Amelanchier bartramiana,-70.5625,47.691944
Amelanchier bartramiana,-75.05,53.05
Amelanchier bartramiana,-76.633611,51.033611
Amelanchier bartramiana,-78.25,49.616667
Amelanchier bartramiana,-75.25,50.866667
Amelanchier bartramiana,-76.533333,51.35
Amelanchier bartramiana,-72.95,52.1
Amelanchier bartramiana,-72.116667,52.166667
Amelanchier bartramiana,-76.986667,49.543611
Amelanchier bartramiana,-63,49.5
Amelanchier bartramiana,-72.886944,53.796389
Amelanchier bartramiana,-77.1,51.366667
Amelanchier bartramiana,-75.116667,53.783333
Amelanchier bartramiana,-77.85,49.25
Amelanchier bartramiana,-74.359167,49.909444
Amelanchier bartramiana,-76.787778,52.369167
Amelanchier bartramiana,-76.8,51.583333
Amelanchier bartramiana,-78.25,53.116667
Amelanchier bartramiana,-75.712222,50.599722
Amelanchier bartramiana,-77.783333,51.983333
Amelanchier bartramiana,-77.55,53.583333
Amelanchier bartramiana,-60.456667,53.363889
Amelanchier bartramiana,-76.421667,52.579444
Amelanchier bartramiana,-55.806944,53.042222
Amelanchier bartramiana,-60.142222,53.539444
Amelanchier bartramiana,-55.77,52.206944
Amelanchier bartramiana,-69.616667,47.733333
Amelanchier bartramiana,-70.616667,47.383333
Amelanchier bartramiana,-68.783333,50.55
Amelanchier bartramiana,-74.95,50.133333
Amelanchier bartramiana,-73.533333,47.866667
Amelanchier bartramiana,-73.716667,47.883333
Amelanchier bartramiana,-75.55,52.016667
Amelanchier bartramiana,-75.65,51.933333
Amelanchier bartramiana,-78.866667,51.916667
Amelanchier bartramiana,-74.216667,50.933333
Amelanchier bartramiana,-74.366667,50.366667
Amelanchier bartramiana,-75.05,51.816667
Amelanchier bartramiana,-76.283333,50.45
Amelanchier bartramiana,-72.833333,50.9
Amelanchier bartramiana,-78.8098,52.9982
Amelanchier bartramiana,-69.183333,47.7
Amelanchier bartramiana,-65.9,48.183333
Amelanchier bartramiana,-74.183333,46
Amelanchier bartramiana,-71.25,47.75
Amelanchier bartramiana,-64.216667,48.533333
Amelanchier bartramiana,-70.033333,47.366667
Amelanchier bartramiana,-68.166667,51.883333
Amelanchier bartramiana,-63.070833,50.245833
Amelanchier bartramiana,-59.483333,50.5
Amelanchier bartramiana,-68.783333,48.35
Amelanchier bartramiana,-65.933333,49.083333
Amelanchier bartramiana,-64.466667,48.833333
Amelanchier bartramiana,-71.333333,46.916667
Amelanchier bartramiana,-71.505556,46.888889
Amelanchier bartramiana,-68.151389,49.220556
Amelanchier bartramiana,-71.166667,46.883333
Amelanchier bartramiana,-69.533333,48.25
Amelanchier bartramiana,-72.266667,48.166667
Amelanchier bartramiana,-71.35,46.8
Amelanchier bartramiana,-72.595,45.288056
Amelanchier bartramiana,-78.7,53.616667
Amelanchier bartramiana,-64.490278,48.932778
Amelanchier bartramiana,-66.384444,50.218333
Amelanchier bartramiana,-67.833333,49.366667
Amelanchier bartramiana,-66.645833,48.893889
Amelanchier bartramiana,-66.1,48.566667
Amelanchier bartramiana,-67.433333,48.466667
Amelanchier bartramiana,-63.883333,50.316667
Amelanchier bartramiana,-67.85,48.516667
Amelanchier bartramiana,-71.516667,47.216667
Amelanchier bartramiana,-70.883333,46.3
Amelanchier bartramiana,-72.15,46.266667
Amelanchier bartramiana,-70.966667,47.2
Amelanchier bartramiana,-72.6,46.416667
Amelanchier bartramiana,-71.833333,46.9
Amelanchier bartramiana,-68.583333,48.45
Amelanchier bartramiana,-64.39551,45.39194
Amelanchier bartramiana,-63.82865,45.10119
Amelanchier bartramiana,-61.074805,46.397142
Amelanchier bartramiana,-62.503225,44.761814
Amelanchier bartramiana,-64.35427,45.55885
Amelanchier bartramiana,-63.59057,44.65887
Amelanchier bartramiana,-61.5493,45.1697
Amelanchier bartramiana,-63.4088,45.08659
Amelanchier bartramiana,-63.84098,44.68385
Amelanchier bartramiana,-61.48833,45.84693
Amelanchier bartramiana,-61.0697,45.62527
Amelanchier bartramiana,-59.69907,46.02682
Amelanchier bartramiana,-63.51759,45.575668
Amelanchier bartramiana,-61.08259,45.816738
Amelanchier bartramiana,-57.55,49.766667
Amelanchier bartramiana,-57.95,49.483333
Amelanchier bartramiana,-57.933333,49.7
Amelanchier bartramiana,-66.5,47.4
Amelanchier bartramiana,-64.483333,45.766667
Amelanchier bartramiana,-65,45.866667
Amelanchier bartramiana,-78.1158,48.5719
Amelanchier bartramiana,-79.078605,53.786526
Amelanchier bartramiana,-58.25,52.466667
Amelanchier bartramiana,-59.25,53.416667
Amelanchier bartramiana,-60.166667,46.108333
Amelanchier bartramiana,-66.783333,45.183333
Amelanchier bartramiana,-79.766667,47.1
Amelanchier bartramiana,-63.83075,44.89503
Amelanchier bartramiana,-66.015833,43.416667
Amelanchier bartramiana,-60.53025,46.37296
Amelanchier bartramiana,-61.28936,46.19222
Amelanchier bartramiana,-62.5384,44.92818
Amelanchier bartramiana,-63.21494,45.48566
Amelanchier bartramiana,-61.67822,45.57745
Amelanchier bartramiana,-61.24319,45.61502
Amelanchier bartramiana,-60.7678,46.84314
Amelanchier bartramiana,-60.449167,46.866667
Amelanchier bartramiana,-60.14989,47.202882
Amelanchier bartramiana,-63.99661,45.05732
Amelanchier bartramiana,-64.983333,46.666667
Amelanchier bartramiana,-62.837274,45.428592
Amelanchier bartramiana,-64.9849,44.33412
Amelanchier bartramiana,-77.766667,55.283333
Amelanchier bartramiana,-84.833333,47.95
Amelanchier bartramiana,-60.615849,46.735446
Amelanchier bartramiana,-71.360775,46.046888
Amelanchier bartramiana,-60.27898,46.1895
Amelanchier bartramiana,-67.05,47.6
Amelanchier bartramiana,-67.916667,47.9
Amelanchier bartramiana,-68.294444,47.377222
Amelanchier bartramiana,-65.595984,45.778461
Amelanchier bartramiana,-65.252585,45.869882
Amelanchier bartramiana,-65.381004,45.77626
Amelanchier bartramiana,-65.074456,46.068614
Amelanchier bartramiana,-59.965833,46.033333
Amelanchier bartramiana,-74.5,46.333333
Amelanchier bartramiana,-63.62919,45.07951
Amelanchier bartramiana,-65.91735,44.30667
Amelanchier bartramiana,-68.319095,47.784003
Amelanchier bartramiana,-60.53534,46.28149
Amelanchier bartramiana,-58.416667,53.816667
Amelanchier bartramiana,-64.016667,50.283333
Amelanchier bartramiana,-63.15197,44.78633
Amelanchier bartramiana,-62.01339,45.11794
Amelanchier bartramiana,-64.11386,45.69601
Amelanchier bartramiana,-64.01101,45.99286
Amelanchier bartramiana,-62.71427,45.68016
Amelanchier bartramiana,-61.00782,46.62978
Amelanchier bartramiana,-60.52293,45.920548
Amelanchier bartramiana,-62.944547,46.229927
Amelanchier bartramiana,-60.79262,46.14545
Amelanchier bartramiana,-61.54541,45.50901
Amelanchier bartramiana,-60.565833,46.95
Amelanchier bartramiana,-63.07544,45.47121
Amelanchier bartramiana,-60.930528,46.115455
Amelanchier bartramiana,-60.549167,46.65
Amelanchier bartramiana,-67.786514,47.27791
Amelanchier bartramiana,-67.740055,46.439347
Amelanchier bartramiana,-62.65,46.345556
Amelanchier bartramiana,-71.45902,46.74109
