SPECIES,longitude,latitude
Amelanchier canadensis,-73.930194,45.410451
Amelanchier canadensis,-72.32193,45.29346
Amelanchier canadensis,-73.595538,45.370984
Amelanchier canadensis,-69.437483,47.798115
Amelanchier canadensis,-69.776868,47.601321
Amelanchier canadensis,-71.296797,46.088058
Amelanchier canadensis,-73.784075,45.641539
Amelanchier canadensis,-72.159788,45.286258
Amelanchier canadensis,-71.299763,46.890657
Amelanchier canadensis,-74.604865,45.625948
Amelanchier canadensis,-73.653885,45.57076
Amelanchier canadensis,-72.677194,46.611403
Amelanchier canadensis,-73.280295,45.52556
Amelanchier canadensis,-65.018248,43.980404
Amelanchier canadensis,-68.656431,48.366658
Amelanchier canadensis,-75.255144,45.156793
Amelanchier canadensis,-73.80294,45.511656
Amelanchier canadensis,-72.702702,46.490545
Amelanchier canadensis,-75.313173,46.494581
Amelanchier canadensis,-71.0325,48.4125
Amelanchier canadensis,-73.611492,46.041274
Amelanchier canadensis,-79.14502,48.185032
Amelanchier canadensis,-64.697051,48.321906
Amelanchier canadensis,-70.161372,47.689818
Amelanchier canadensis,-73.757282,45.850904
Amelanchier canadensis,-79.87139,42.93444
Amelanchier canadensis,-65.066667,44.95
Amelanchier canadensis,-68.1361,48.625
Amelanchier canadensis,-76.043889,44.545556
Amelanchier canadensis,-60.946944,46.181667
Amelanchier canadensis,-60.14989,47.202882
Amelanchier canadensis,-65.22832,43.82095
Amelanchier canadensis,-63.97498,45.79719
Amelanchier canadensis,-61.3839,45.22509
Amelanchier canadensis,-60.08623,45.96828
Amelanchier canadensis,-75.6764,45.4506
Amelanchier canadensis,-61.8667,47.3833
Amelanchier canadensis,-75.5117,45.3928
Amelanchier canadensis,-79.5333,45
Amelanchier canadensis,-63.4,45.0833
Amelanchier canadensis,-66.650734,45.966245
Amelanchier canadensis,-73.233333,45.85
Amelanchier canadensis,-69.3,47.7
Amelanchier canadensis,-70.82,45.49
Amelanchier canadensis,-67.302222,49.421944
Amelanchier canadensis,-68.799722,48.362222
Amelanchier canadensis,-62.6,49.616667
Amelanchier canadensis,-71.25,46.766667
Amelanchier canadensis,-73.633333,45.7
Amelanchier canadensis,-70,47.35
Amelanchier canadensis,-60.53534,46.28149
Amelanchier canadensis,-64.49592,45.07662
Amelanchier canadensis,-75.87862,45.943316
Amelanchier canadensis,-63.6862,46.526242
Amelanchier canadensis,-61.00746,45.33549
Amelanchier canadensis,-64.916667,45.833333
Amelanchier canadensis,-73.121567,45.040893
Amelanchier canadensis,-74.30225,45.479211
Amelanchier canadensis,-81.18288,42.77681
