SPECIES,longitude,latitude
Amelanchier humilis,-78.8471,43.947237
Amelanchier humilis,-74.15,45.45
Amelanchier humilis,-76.151983,45.262378
Amelanchier humilis,-66.02,50.304167
Amelanchier humilis,-80.8,51.5667
Amelanchier humilis,-81.1667,46.4167
Amelanchier humilis,-77.7333,45.7
Amelanchier humilis,-82.7833,47.55
Amelanchier humilis,-83.2,50.1333
Amelanchier humilis,-89.6,48.6333
Amelanchier humilis,-79.05,44.65
Amelanchier humilis,-82.5167,41.9667
Amelanchier humilis,-75.7333,45.7667
Amelanchier humilis,-76.3667,45.3167
Amelanchier humilis,-75.6167,45.3
Amelanchier humilis,-77.9833,45.5333
Amelanchier humilis,-81.6667,45.2
Amelanchier humilis,-76.7,45.5333
Amelanchier humilis,-83.6,48.25
Amelanchier humilis,-96.83356142,51.16657256
Amelanchier humilis,-76.43093,44.471092
Amelanchier humilis,-75.816812,45.38207
Amelanchier humilis,-73.65,45.516667
Amelanchier humilis,-76.716667,53.316667
Amelanchier humilis,-69.183333,48.083333
Amelanchier humilis,-68.769944,48.348056
Amelanchier humilis,-71.25,46.766667
Amelanchier humilis,-80.75,48.833333
Amelanchier humilis,-73.431667,45.513889
Amelanchier humilis,-71.57559,45.583687
Amelanchier humilis,-71.37403,45.814875
Amelanchier humilis,-66.666667,45.945278
Amelanchier humilis,-79.776389,43.435278
Amelanchier humilis,-71.852088,45.366792
Amelanchier humilis,-62.668611,46.45
Amelanchier humilis,-73.0499,45.02887
