SPECIES,longitude,latitude
Amelanchier interior,-64.2333,44.5333
Amelanchier interior,-80.65,51.266667
Amelanchier interior,-71.533333,48.416667
Amelanchier interior,-61.54541,45.50901
Amelanchier interior,-64.558806,44.964532
Amelanchier interior,-65.12415,44.9134
Amelanchier interior,-63.26911,45.37258
Amelanchier interior,-60.52293,45.920548
Amelanchier interior,-64.86591,44.21054
Amelanchier interior,-63.868255,46.432615
Amelanchier interior,-62.837274,45.428592
Amelanchier interior,-61.0697,45.62527
Amelanchier interior,-66.02931,44.55088
Amelanchier interior,-64.424291,44.681465
Amelanchier interior,-62.95323,45.13547
Amelanchier interior,-65.94456,44.40568
Amelanchier interior,-63.15197,44.78633
Amelanchier interior,-64.271863,44.632337
Amelanchier interior,-62.05265,45.29943
Amelanchier interior,-61.53901,45.68175
Amelanchier interior,-63.97498,45.79719
Amelanchier interior,-65.02987,44.37407
Amelanchier interior,-66.362226,44.259135
Amelanchier interior,-63.355948,46.449234
Amelanchier interior,-81.4167,42.95
Amelanchier interior,-76.65,45.05
Amelanchier interior,-76.6667,45.6667
Amelanchier interior,-68.766667,48.366667
Amelanchier interior,-71.19,46.77
Amelanchier interior,-79.422222,47.691111
Amelanchier interior,-61.7,47.266667
Amelanchier interior,-70.390556,47.4
Amelanchier interior,-62.88078,45.27067
Amelanchier interior,-66.09767,44.35616
Amelanchier interior,-65.92668,44.24206
Amelanchier interior,-66.10387,43.91372
Amelanchier interior,-66.17524,44.13684
Amelanchier interior,-60.42396,46.32449
Amelanchier interior,-60.29646,46.0774
Amelanchier interior,-63.57295,45.83547
Amelanchier interior,-63.27307,45.73037
Amelanchier interior,-66.02781,44.0956
Amelanchier interior,-62.71427,45.68016
Amelanchier interior,-62.85649,45.67637
Amelanchier interior,-60.36751,46.181
Amelanchier interior,-61.67822,45.57745
Amelanchier interior,-62.349167,45.666667
Amelanchier interior,-61.099167,45.85
Amelanchier interior,-61.00782,46.62978
Amelanchier interior,-64.85546,43.92688
Amelanchier interior,-65.858062,43.820319
Amelanchier interior,-63.67548,45.71587
Amelanchier interior,-65.44884,43.5569
Amelanchier interior,-65.40777,43.93097
Amelanchier interior,-60.89524,46.09451
Amelanchier interior,-63.4825,45.316667
Amelanchier interior,-63.504482,44.967494
Amelanchier interior,-65.408413,44.582397
Amelanchier interior,-62.944547,46.229927
Amelanchier interior,-60.19032,46.1302
Amelanchier interior,-61.07693,46.48584
Amelanchier interior,-60.70877,46.13795
Amelanchier interior,-60.93435,45.63438
Amelanchier interior,-61.349167,46.066667
Amelanchier interior,-61.39465,45.61118
Amelanchier interior,-64.25981,45.09995
Amelanchier interior,-62.66652,46.120508
Amelanchier interior,-64.41108,45.01064
Amelanchier interior,-64.61994,44.63067
Amelanchier interior,-62.675833,46.445278
Amelanchier interior,-62.0803,46.40391
