SPECIES,longitude,latitude
Amelanchier laevis,-52.740675,47.574393
Amelanchier laevis,-64.265755,45.073211
Amelanchier laevis,-89.065523,48.656198
Amelanchier laevis,-73.763478,45.624865
Amelanchier laevis,-80.098536,43.372442
Amelanchier laevis,-64.728624,44.550805
Amelanchier laevis,-77.383231,44.162759
Amelanchier laevis,-76.045992,44.953604
Amelanchier laevis,-78.476053,44.307392
Amelanchier laevis,-73.45745,45.547767
Amelanchier laevis,-78.841645,43.942188
Amelanchier laevis,-63.687813,44.717675
Amelanchier laevis,-79.899194,43.272838
Amelanchier laevis,-79.459645,43.648436
Amelanchier laevis,-73.371812,45.456062
Amelanchier laevis,-78.343696,44.321365
Amelanchier laevis,-79.641311,44.255164
Amelanchier laevis,-75.716138,45.34594
Amelanchier laevis,-80.323447,43.371455
Amelanchier laevis,-71.922919,45.392147
Amelanchier laevis,-75.839352,45.295335
Amelanchier laevis,-81.280095,42.73497
Amelanchier laevis,-75.722113,44.94623
Amelanchier laevis,-89.240245,48.43253
Amelanchier laevis,-80.21885,43.549878
Amelanchier laevis,-73.3024,45.3595
Amelanchier laevis,-75.689076,45.450901
Amelanchier laevis,-74.215993,45.087927
Amelanchier laevis,-75.124339,45.414271
Amelanchier laevis,-76.139753,44.445654
Amelanchier laevis,-76.684556,45.181963
Amelanchier laevis,-72.926173,45.626264
Amelanchier laevis,-72.537761,46.38134
Amelanchier laevis,-81.651385,43.724677
Amelanchier laevis,-79.616107,43.651293
Amelanchier laevis,-71.35,48.333333
Amelanchier laevis,-71.416667,48.983333
Amelanchier laevis,-64.827018,46.12553
Amelanchier laevis,-84.75,47
Amelanchier laevis,-75.352539,45.523993
Amelanchier laevis,-73.954167,45.332534
Amelanchier laevis,-63.649576,44.838731
Amelanchier laevis,-82.460498,42.129922
Amelanchier laevis,-63.766612,44.646211
Amelanchier laevis,-64.63442,44.47751
Amelanchier laevis,-76.425662,44.304922
Amelanchier laevis,-74.196348,45.388605
Amelanchier laevis,-79.178639,43.81588
Amelanchier laevis,-79.058263,43.130657
Amelanchier laevis,-81.45,42.916667
Amelanchier laevis,-80.26907,43.15137
Amelanchier laevis,-80.38668,43.279316
Amelanchier laevis,-81.311641,43.887926
Amelanchier laevis,-81.25,42.983333
Amelanchier laevis,-79.285479,43.039356
Amelanchier laevis,-80.59858,43.233333
Amelanchier laevis,-81.219266,44.463348
Amelanchier laevis,-76.075556,45.486667
Amelanchier laevis,-78.698633,45.04535
Amelanchier laevis,-81.27042,44.618522
Amelanchier laevis,-81.866667,42.283333
Amelanchier laevis,-79.766581,43.683147
Amelanchier laevis,-78.4,45.216667
Amelanchier laevis,-79.282915,45.52327
Amelanchier laevis,-79.342232,43.748683
Amelanchier laevis,-79.565271,43.737174
Amelanchier laevis,-79.719763,43.452551
Amelanchier laevis,-80.983982,42.771891
Amelanchier laevis,-79.492967,46.346638
Amelanchier laevis,-59.898793,46.085078
Amelanchier laevis,-59.81707,45.95209
Amelanchier laevis,-60.061111,45.976111
Amelanchier laevis,-60.42185,46.14106
Amelanchier laevis,-90.1667,50.2667
Amelanchier laevis,-80.15,42.8333
Amelanchier laevis,-90.7333,48.9833
Amelanchier laevis,-78.0667,44.9
Amelanchier laevis,-81.9,42.4333
Amelanchier laevis,-88.8333,48.3333
Amelanchier laevis,-79.9,43.4333
Amelanchier laevis,-80,44.7
Amelanchier laevis,-74.55,45.0833
Amelanchier laevis,-79.7167,43.5833
Amelanchier laevis,-81.8,43.1167
Amelanchier laevis,-75.55,45.4333
Amelanchier laevis,-75.55,45.3
Amelanchier laevis,-87.25,48.75
Amelanchier laevis,-54.8333,49.5833
Amelanchier laevis,-67.0167,45.45
Amelanchier laevis,-77.7333,44
Amelanchier laevis,-79.85,45.25
Amelanchier laevis,-85,48
Amelanchier laevis,-91.5167,49.35
Amelanchier laevis,-90.1,48.8
Amelanchier laevis,-84.9,48.9667
Amelanchier laevis,-80.55,42.7
Amelanchier laevis,-76.4,44.7
Amelanchier laevis,-81.6667,45.2
Amelanchier laevis,-60.6667,45.8
Amelanchier laevis,-92.2,50.6333
Amelanchier laevis,-81.6667,42.4833
Amelanchier laevis,-75.55,44.7
Amelanchier laevis,-77.3167,44.4167
Amelanchier laevis,-77.0167,45.5167
Amelanchier laevis,-89.458664,48.069927
Amelanchier laevis,-71.165315,46.821698
Amelanchier laevis,-73.833333,46.25
Amelanchier laevis,-71.346,45.536
Amelanchier laevis,-69.06,48.21
Amelanchier laevis,-71.409,46.76
Amelanchier laevis,-71.068,46.691
Amelanchier laevis,-73.133333,46.466667
Amelanchier laevis,-70.733333,46.916667
Amelanchier laevis,-73.65,45.516667
Amelanchier laevis,-68.776836,48.340938
Amelanchier laevis,-61.98164,45.1872
Amelanchier laevis,-65.61462,44.71508
Amelanchier laevis,-57.95,49.7
Amelanchier laevis,-74.005809,45.988435
Amelanchier laevis,-62.06795,45.270063
Amelanchier laevis,-60.52293,45.920548
Amelanchier laevis,-65.14837,45.00252
Amelanchier laevis,-63.987244,46.489112
Amelanchier laevis,-63.086944,46.236111
Amelanchier laevis,-66.016096,43.400081
Amelanchier laevis,-63.45959,45.43723
Amelanchier laevis,-60.19032,46.1302
Amelanchier laevis,-62.26647,45.70426
Amelanchier laevis,-60.79262,46.14545
Amelanchier laevis,-60.6265,46.30457
Amelanchier laevis,-61.799167,45.25
Amelanchier laevis,-61.07693,46.48584
Amelanchier laevis,-61.1785,45.83003
Amelanchier laevis,-60.596111,46.051389
Amelanchier laevis,-60.89062,45.75667
Amelanchier laevis,-67.226997,48.360879
Amelanchier laevis,-73.121567,45.040893
Amelanchier laevis,-62.7107,45.56291
Amelanchier laevis,-66.00237,43.99409
Amelanchier laevis,-61.13509,46.1268
Amelanchier laevis,-62.66652,46.120508
Amelanchier laevis,-61.93488,45.4926
Amelanchier laevis,-64.414826,45.06114
Amelanchier laevis,-62.90007,45.53443
Amelanchier laevis,-61.0125,46.629444
Amelanchier laevis,-72.40611,45.16266
Amelanchier laevis,-74.07987,45.46515
