SPECIES,longitude,latitude
Arctostaphylos columbiana,-124.323357,49.294174
Arctostaphylos columbiana,-123.616224,48.690973
Arctostaphylos columbiana,-123.659333,48.318322
Arctostaphylos columbiana,-125.021092,49.649033
Arctostaphylos columbiana,-123.484092,49.388227
Arctostaphylos columbiana,-123.171119,49.818142
Arctostaphylos columbiana,-123.976753,49.715605
Arctostaphylos columbiana,-124.825042,50.025862
Arctostaphylos columbiana,-124.680008,50.147275
Arctostaphylos columbiana,-124.054861,49.639429
Arctostaphylos columbiana,-124.798088,49.92775
Arctostaphylos columbiana,-123.742272,48.647689
Arctostaphylos columbiana,-124.92434,49.269308
Arctostaphylos columbiana,-125.271909,50.146802
Arctostaphylos columbiana,-123.964638,49.117608
Arctostaphylos columbiana,-123.289514,49.922749
Arctostaphylos columbiana,-123.827308,49.021692
Arctostaphylos columbiana,-124.580995,49.293503
Arctostaphylos columbiana,-125.199339,49.595297
Arctostaphylos columbiana,-123.255495,49.333983
Arctostaphylos columbiana,-123.523125,48.434318
Arctostaphylos columbiana,-123.231705,49.439117
Arctostaphylos columbiana,-123.518814,48.802488
Arctostaphylos columbiana,-123.434766,48.566463
Arctostaphylos columbiana,-124.840797,50.124902
Arctostaphylos columbiana,-123.711772,48.446778
Arctostaphylos columbiana,-124.964325,50.069244
Arctostaphylos columbiana,-123.376678,48.887937
Arctostaphylos columbiana,-123.38433,48.428822
Arctostaphylos columbiana,-123.973983,49.21753
Arctostaphylos columbiana,-123.741581,48.853113
Arctostaphylos columbiana,-124.215667,49.726494
Arctostaphylos columbiana,-125.15665,50.239607
Arctostaphylos columbiana,-125.043519,50.184564
Arctostaphylos columbiana,-123.134278,49.934863
Arctostaphylos columbiana,-123.916111,48.796658
Arctostaphylos columbiana,-123.616017,48.534499
Arctostaphylos columbiana,-124.083849,48.570627
Arctostaphylos columbiana,-124.108305,49.10685
Arctostaphylos columbiana,-124.39,51.91
Arctostaphylos columbiana,-123.12,49.25
Arctostaphylos columbiana,-124.7,49.4
Arctostaphylos columbiana,-123.39,49.5
Arctostaphylos columbiana,-120.88,51.29
Arctostaphylos columbiana,-126.49,49.75
Arctostaphylos columbiana,-132.27,53.21
Arctostaphylos columbiana,-133.75,59.97
Arctostaphylos columbiana,-124,49.333333
Arctostaphylos columbiana,-124.883333,48.783333
Arctostaphylos columbiana,-124.525,49.896667
Arctostaphylos columbiana,-124.25,48.783333
Arctostaphylos columbiana,-124.583333,49.716667
Arctostaphylos columbiana,-124.433333,49.7
Arctostaphylos columbiana,-123.98,49.5
Arctostaphylos columbiana,-123.529372,48.95636
