SPECIES,longitude,latitude
Cornus amomum,-73.680181,45.607057
Cornus amomum,-72.82512,45.046089
Cornus amomum,-72.51521,46.30444
Cornus amomum,-75.715082,44.620415
Cornus amomum,-80.45662,42.615067
Cornus amomum,-82.449255,42.090681
Cornus amomum,-76.811635,44.606202
Cornus amomum,-79.3573,43.694698
Cornus amomum,-76.136839,44.440759
Cornus amomum,-76.266025,45.462006
Cornus amomum,-76.695916,44.477799
Cornus amomum,-74.446738,45.556981
Cornus amomum,-76.99629,43.89834
Cornus amomum,-77.126603,43.847596
Cornus amomum,-79.475545,43.621687
Cornus amomum,-76.032319,45.342225
Cornus amomum,-81.034601,42.745122
Cornus amomum,-75.723931,44.947019
Cornus amomum,-75.49946,45.500723
Cornus amomum,-77.191779,45.878936
Cornus amomum,-66.376881,45.875241
Cornus amomum,-82,43.1
Cornus amomum,-74.733333,45.033333
Cornus amomum,-81.26311,44.73307
Cornus amomum,-75.848364,44.689191
Cornus amomum,-75.5611,45.2208
Cornus amomum,-76.65,45.1333
Cornus amomum,-75.9,45.3833
Cornus amomum,-77.6833,44
Cornus amomum,-67.4167,45.6167
Cornus amomum,-77.1167,44.5167
Cornus amomum,-75.1333,44.9667
Cornus amomum,-80.3833,44.55
Cornus amomum,-77.3167,44.4167
Cornus amomum,-77.1111,44.7417
Cornus amomum,-75.6833,45.3833
Cornus amomum,-79.85,44.8667
Cornus amomum,-82.412996,42.769604
Cornus amomum,-73.753889,45.396944
Cornus amomum,-72.296667,45.179722
Cornus amomum,-73.9,45.383333
Cornus amomum,-73.265,45.123056
Cornus amomum,-79.915524,44.782002
Cornus amomum,-67.566667,46.15
Cornus amomum,-67.740055,46.439347
Cornus amomum,-77.135591,45.50179
Cornus amomum,-70.889629,46.921393
Cornus amomum,-81.624616,42.956394
Cornus amomum,-83.733333,46.433333
Cornus amomum,-83.066667,42.283333
