SPECIES,longitude,latitude
Cornus canadensis,-75.685434,45.009257
Cornus canadensis,-61.001745,46.325335
Cornus canadensis,-53.083333,48.699999
Cornus canadensis,-89.438441,50.400362
Cornus canadensis,-106.343229,53.914276
Cornus canadensis,-54.186164,49.727716
Cornus canadensis,-66.5325,47.936944
Cornus canadensis,-53.011639,46.762497
Cornus canadensis,-90.759863,48.404098
Cornus canadensis,-71.296272,48.779189
Cornus canadensis,-80.258825,48.549562
Cornus canadensis,-79.633409,44.941691
Cornus canadensis,-78.836882,48.854182
Cornus canadensis,-115.981553,51.02598
Cornus canadensis,-73.924187,46.020157
Cornus canadensis,-67.947183,49.327602
Cornus canadensis,-70.277514,49.123067
Cornus canadensis,-70.924477,49.232853
Cornus canadensis,-69.944646,48.264431
Cornus canadensis,-115.743896,51.33118
Cornus canadensis,-73.47574,46.454904
Cornus canadensis,-60.373772,53.440277
Cornus canadensis,-75.856564,45.689592
Cornus canadensis,-79.775086,46.064683
Cornus canadensis,-76.399664,45.785482
Cornus canadensis,-122.936608,54.907806
Cornus canadensis,-122.269836,56.154267
Cornus canadensis,-124.439301,58.63401
Cornus canadensis,-77.757752,45.868315
Cornus canadensis,-116.511995,51.739292
Cornus canadensis,-61.697372,45.20437
Cornus canadensis,-106.34825,53.491588
Cornus canadensis,-111.341679,56.683627
Cornus canadensis,-83.372162,46.41745
Cornus canadensis,-69.222789,47.581108
Cornus canadensis,-116.717206,51.941406
Cornus canadensis,-74.064312,46.348388
Cornus canadensis,-65.333007,43.761589
Cornus canadensis,-63.573659,44.483942
Cornus canadensis,-134.336086,60.523829
Cornus canadensis,-83.873929,46.315738
Cornus canadensis,-84.038019,46.865599
Cornus canadensis,-125.75705,58.878803
Cornus canadensis,-123.032623,55.062923
Cornus canadensis,-61.948958,45.348878
Cornus canadensis,-67.757973,47.013284
Cornus canadensis,-64.951601,46.843117
Cornus canadensis,-117.818925,52.577356
Cornus canadensis,-115.837836,51.250534
Cornus canadensis,-115.668236,54.124133
Cornus canadensis,-114.755293,51.998699
Cornus canadensis,-95.603133,49.627364
Cornus canadensis,-82.914575,46.183828
Cornus canadensis,-70.484608,47.856305
Cornus canadensis,-80.024797,44.846485
Cornus canadensis,-105.402855,53.880778
Cornus canadensis,-60.29198,46.088953
Cornus canadensis,-122.840396,57.190217
Cornus canadensis,-89.31182,48.071265
Cornus canadensis,-60.933754,46.66074
Cornus canadensis,-78.394865,51.35919
Cornus canadensis,-77.559562,45.512519
Cornus canadensis,-70.843221,45.573531
Cornus canadensis,-66.118622,44.335994
Cornus canadensis,-125.493264,55.736431
Cornus canadensis,-63.192908,46.300554
Cornus canadensis,-79.217827,44.962936
Cornus canadensis,-80.685409,46.015978
Cornus canadensis,-72.168158,48.429675
Cornus canadensis,-79.493673,44.592008
Cornus canadensis,-116.945641,53.721518
Cornus canadensis,-62.566065,45.810464
Cornus canadensis,-95.515263,50.013384
Cornus canadensis,-125.359901,56.233059
Cornus canadensis,-65.009894,44.090108
Cornus canadensis,-135.324142,61.890867
Cornus canadensis,-123.330222,54.820555
Cornus canadensis,-116.418335,52.302653
Cornus canadensis,-71.60041,45.081955
Cornus canadensis,-115.028113,51.394983
Cornus canadensis,-77.068963,45.182424
Cornus canadensis,-90.407594,48.639947
Cornus canadensis,-76.091181,46.746424
Cornus canadensis,-64.455006,44.727563
Cornus canadensis,-52.91285,47.544383
Cornus canadensis,-69.721358,48.141228
Cornus canadensis,-95.554898,49.851319
Cornus canadensis,-95.309977,50.472299
Cornus canadensis,-115.848625,54.118022
Cornus canadensis,-134.571172,60.0669
Cornus canadensis,-70.908269,47.061652
Cornus canadensis,-95.292421,50.736212
Cornus canadensis,-73.3364,45.635347
Cornus canadensis,-61.354598,45.187363
Cornus canadensis,-79.161859,44.240805
Cornus canadensis,-80.430328,46.36861
Cornus canadensis,-92.120695,53.863312
Cornus canadensis,-116.356413,51.441033
Cornus canadensis,-77.267453,49.890695
Cornus canadensis,-60.427307,46.997254
Cornus canadensis,-98.813876,53.363087
Cornus canadensis,-120.767991,54.537583
Cornus canadensis,-100.734143,50.68812
Cornus canadensis,-105.890004,53.802078
Cornus canadensis,-95.18367,49.69367
Cornus canadensis,-96.571283,50.24113
Cornus canadensis,-63.575981,45.212215
Cornus canadensis,-77.58509,45.88212
Cornus canadensis,-79.827124,48.2106
Cornus canadensis,-78.555522,52.233884
Cornus canadensis,-115.512998,60.739943
Cornus canadensis,-114.232721,62.574964
Cornus canadensis,-113.888792,49.024698
Cornus canadensis,-115.932164,50.778524
Cornus canadensis,-111.978653,56.86195
Cornus canadensis,-106.808213,53.8364
Cornus canadensis,-81.605763,49.851543
Cornus canadensis,-83.557158,47.68435
Cornus canadensis,-120.771667,51.495
Cornus canadensis,-95.808503,50.342427
Cornus canadensis,-65.75425,44.644781
Cornus canadensis,-64.611145,44.643597
Cornus canadensis,-76.002547,45.74626
Cornus canadensis,-105.924729,53.606525
Cornus canadensis,-115.636708,54.293117
Cornus canadensis,-78.506202,46.020495
Cornus canadensis,-104.771876,55.601123
Cornus canadensis,-96.987349,50.715325
Cornus canadensis,-57.571449,49.060046
Cornus canadensis,-64.760851,48.229566
Cornus canadensis,-128.758795,60.082623
Cornus canadensis,-62.305335,45.638464
Cornus canadensis,-63.571896,45.822269
Cornus canadensis,-62.832735,44.723214
Cornus canadensis,-116.078249,62.720473
Cornus canadensis,-89.293361,49.464228
Cornus canadensis,-65.958212,45.7924
Cornus canadensis,-79.125046,46.322784
Cornus canadensis,-75.683967,46.388328
Cornus canadensis,-87.441695,48.840036
Cornus canadensis,-97.853485,55.73383
Cornus canadensis,-116.604912,54.968856
Cornus canadensis,-135.174632,60.788472
Cornus canadensis,-115.032822,52.449657
Cornus canadensis,-129.633025,61.411125
Cornus canadensis,-64.504296,44.327408
Cornus canadensis,-79.117632,45.071753
Cornus canadensis,-76.576468,44.832033
Cornus canadensis,-120.99337,55.178725
Cornus canadensis,-79.810169,47.334857
Cornus canadensis,-115.091811,52.059681
Cornus canadensis,-71.907051,45.032848
Cornus canadensis,-115.095108,50.554
Cornus canadensis,-98.398217,55.197922
Cornus canadensis,-84.616716,47.334981
Cornus canadensis,-78.096189,44.487975
Cornus canadensis,-64.498204,45.232934
Cornus canadensis,-75.608158,47.853761
Cornus canadensis,-129.23082,60.67872
Cornus canadensis,-121.007583,54.927805
Cornus canadensis,-70.79493,47.670133
Cornus canadensis,-106.685694,53.730788
Cornus canadensis,-59.977105,46.145595
Cornus canadensis,-52.787664,47.778825
Cornus canadensis,-80.001343,48.02409
Cornus canadensis,-61.972605,46.45333
Cornus canadensis,-119.985358,55.048101
Cornus canadensis,-61.47973,47.585577
Cornus canadensis,-70.657355,47.746953
Cornus canadensis,-71.314667,46.12087
Cornus canadensis,-84.278733,46.588167
Cornus canadensis,-63.8937,44.846818
Cornus canadensis,-67.627761,46.179024
Cornus canadensis,-64.06209,46.428873
Cornus canadensis,-96.559029,50.389423
Cornus canadensis,-77.233603,44.608453
Cornus canadensis,-81.381308,46.589817
Cornus canadensis,-61.253545,46.26577
Cornus canadensis,-64.628665,46.297798
Cornus canadensis,-74.912272,46.261566
Cornus canadensis,-62.551467,45.418412
Cornus canadensis,-106.175362,54.004786
Cornus canadensis,-78.054336,44.619133
Cornus canadensis,-60.538761,46.378453
Cornus canadensis,-75.124902,50.752654
Cornus canadensis,-60.877453,46.003862
Cornus canadensis,-77.575364,46.148549
Cornus canadensis,-64.620956,45.083379
Cornus canadensis,-99.992149,50.77131
Cornus canadensis,-81.487463,44.412547
Cornus canadensis,-102.408875,52.763832
Cornus canadensis,-114.603394,51.538061
Cornus canadensis,-63.985998,46.662013
Cornus canadensis,-65.068276,46.547536
Cornus canadensis,-92.653871,49.758989
Cornus canadensis,-78.176044,45.324266
Cornus canadensis,-64.974012,47.598436
Cornus canadensis,-55.193296,49.256402
Cornus canadensis,-92.748252,49.825721
Cornus canadensis,-78.204286,44.992591
Cornus canadensis,-61.951595,45.222937
Cornus canadensis,-73.930008,45.410938
Cornus canadensis,-136.246003,63.375862
Cornus canadensis,-76.916487,45.785572
Cornus canadensis,-77.885056,45.104908
Cornus canadensis,-123.319644,53.856975
Cornus canadensis,-114.842008,52.444852
Cornus canadensis,-82.328889,46.451111
Cornus canadensis,-65.837973,45.739785
Cornus canadensis,-66.889602,45.8733
Cornus canadensis,-64.65348,45.91748
Cornus canadensis,-118.0757,52.697692
