SPECIES,longitude,latitude
Cornus unalaschkensis,-128.562265,54.328186
Cornus unalaschkensis,-121.371781,49.376444
Cornus unalaschkensis,-128.604771,54.119597
Cornus unalaschkensis,-125.132868,49.387533
Cornus unalaschkensis,-117.491495,51.259395
Cornus unalaschkensis,-128.616044,54.420239
Cornus unalaschkensis,-129.120881,53.061358
Cornus unalaschkensis,-121.239703,53.274797
Cornus unalaschkensis,-122.274681,49.168362
Cornus unalaschkensis,-121.809311,49.114753
Cornus unalaschkensis,-128.3667,54.869811
Cornus unalaschkensis,-126.030189,50.14165
Cornus unalaschkensis,-119.325072,51.916862
Cornus unalaschkensis,-118.149577,51.281194
Cornus unalaschkensis,-122.573226,49.263532
Cornus unalaschkensis,-120.834736,51.664767
Cornus unalaschkensis,-120.102998,52.233097
Cornus unalaschkensis,-122.56353,55.498432
Cornus unalaschkensis,-121.937692,49.936669
Cornus unalaschkensis,-121.573152,49.037344
Cornus unalaschkensis,-121.760812,49.985762
Cornus unalaschkensis,-119.136734,50.710155
Cornus unalaschkensis,-124.329644,48.637706
Cornus unalaschkensis,-122.355003,50.387943
Cornus unalaschkensis,-120.776093,49.586205
Cornus unalaschkensis,-122.666273,50.562985
Cornus unalaschkensis,-127.907911,50.86865
Cornus unalaschkensis,-115.935561,50.769989
Cornus unalaschkensis,-117.856544,49.297552
Cornus unalaschkensis,-126.45188,54.355728
Cornus unalaschkensis,-125.784586,49.853835
Cornus unalaschkensis,-122.383364,53.92373
Cornus unalaschkensis,-124.385278,48.514444
Cornus unalaschkensis,-125.526878,49.633931
Cornus unalaschkensis,-123.935547,48.456905
Cornus unalaschkensis,-136.742217,59.890035
Cornus unalaschkensis,-120.897417,52.924478
Cornus unalaschkensis,-119.156546,53.110485
Cornus unalaschkensis,-119.940737,51.863792
Cornus unalaschkensis,-125.362651,49.035044
Cornus unalaschkensis,-119.228829,52.851094
Cornus unalaschkensis,-125.58692,49.520631
Cornus unalaschkensis,-129.439795,53.044772
Cornus unalaschkensis,-122.456598,49.325662
Cornus unalaschkensis,-121.205105,54.765898
Cornus unalaschkensis,-120.993242,51.554926
Cornus unalaschkensis,-125.112397,48.730573
Cornus unalaschkensis,-136.424952,59.485882
Cornus unalaschkensis,-124.841627,48.66847
Cornus unalaschkensis,-125.970417,49.736098
Cornus unalaschkensis,-119.26427,49.06655
Cornus unalaschkensis,-126.680008,54.320364
Cornus unalaschkensis,-127.647621,53.726668
Cornus unalaschkensis,-122.851158,50.162436
Cornus unalaschkensis,-124.590112,48.566413
Cornus unalaschkensis,-121.071723,49.615946
Cornus unalaschkensis,-128.429545,54.611165
Cornus unalaschkensis,-125.392582,49.156379
Cornus unalaschkensis,-121.165005,54.570957
Cornus unalaschkensis,-123.721595,49.466482
Cornus unalaschkensis,-118.989105,49.796408
Cornus unalaschkensis,-122.668792,49.464219
Cornus unalaschkensis,-127.333966,50.608656
Cornus unalaschkensis,-122.498959,50.367701
Cornus unalaschkensis,-123.225495,49.247397
Cornus unalaschkensis,-123.598445,49.521023
Cornus unalaschkensis,-121.013012,49.717121
Cornus unalaschkensis,-124.898421,49.42353
Cornus unalaschkensis,-125.411931,49.395677
Cornus unalaschkensis,-129.927211,53.701003
Cornus unalaschkensis,-124.127625,48.795366
Cornus unalaschkensis,-125.47119,50.121594
Cornus unalaschkensis,-121.35444,49.250205
Cornus unalaschkensis,-124.217791,50.145876
Cornus unalaschkensis,-130.000295,55.938536
Cornus unalaschkensis,-126.112158,52.390882
Cornus unalaschkensis,-122.236869,49.295681
Cornus unalaschkensis,-121.941308,53.920258
Cornus unalaschkensis,-122.57064,49.066193
Cornus unalaschkensis,-125.203627,49.650637
Cornus unalaschkensis,-118.297201,50.504204
Cornus unalaschkensis,-124.731332,49.135358
Cornus unalaschkensis,-124.27973,49.054439
Cornus unalaschkensis,-126.462059,49.786846
Cornus unalaschkensis,-122.155285,49.118835
Cornus unalaschkensis,-117.222964,49.27893
Cornus unalaschkensis,-125.870058,50.084348
Cornus unalaschkensis,-124.486917,48.645911
Cornus unalaschkensis,-125.675375,49.009365
Cornus unalaschkensis,-122.92785,49.140903
Cornus unalaschkensis,-125.87553,49.095987
Cornus unalaschkensis,-122.431057,52.638628
Cornus unalaschkensis,-128.690384,54.012024
Cornus unalaschkensis,-118.200314,51.017053
Cornus unalaschkensis,-120.849261,49.090153
Cornus unalaschkensis,-119.906939,50.879416
Cornus unalaschkensis,-126.239712,50.183193
Cornus unalaschkensis,-123.386567,50.082797
Cornus unalaschkensis,-117.151365,50.430207
Cornus unalaschkensis,-119.006653,51.207038
Cornus unalaschkensis,-125.258392,49.994288
Cornus unalaschkensis,-117.40926,49.988005
Cornus unalaschkensis,-125.518271,50.337237
Cornus unalaschkensis,-118.272039,49.928897
Cornus unalaschkensis,-123.876512,49.568064
Cornus unalaschkensis,-125.085609,49.591207
Cornus unalaschkensis,-124.342978,50.238099
Cornus unalaschkensis,-122.823675,49.246128
Cornus unalaschkensis,-128.459747,54.484958
Cornus unalaschkensis,-126.500113,52.395408
Cornus unalaschkensis,-117.610864,50.148092
Cornus unalaschkensis,-129.023637,57.048182
Cornus unalaschkensis,-125.486252,49.278623
Cornus unalaschkensis,-120.881098,49.232713
Cornus unalaschkensis,-126.245008,49.818597
Cornus unalaschkensis,-127.856614,51.866342
Cornus unalaschkensis,-127.591738,50.83989
Cornus unalaschkensis,-128.041747,52.282539
Cornus unalaschkensis,-126.625,50.186917
Cornus unalaschkensis,-123.165691,54.044752
Cornus unalaschkensis,-118.20465,51.154738
Cornus unalaschkensis,-126.559656,50.309197
Cornus unalaschkensis,-127.835931,52.062594
Cornus unalaschkensis,-121.079918,49.207787
Cornus unalaschkensis,-116.487846,50.295639
Cornus unalaschkensis,-131.95536,53.552423
Cornus unalaschkensis,-131.884889,54.04255
Cornus unalaschkensis,-127.874322,51.770186
Cornus unalaschkensis,-128.301544,52.027278
Cornus unalaschkensis,-124.704606,48.657506
Cornus unalaschkensis,-120.183667,52.139442
Cornus unalaschkensis,-125.347244,49.736392
Cornus unalaschkensis,-122.81351,50.298087
Cornus unalaschkensis,-117.472794,50.184368
Cornus unalaschkensis,-125.925533,50.368828
Cornus unalaschkensis,-125.135731,48.832844
Cornus unalaschkensis,-117.246535,49.52064
Cornus unalaschkensis,-125.114951,49.86655
Cornus unalaschkensis,-128.402712,52.274637
Cornus unalaschkensis,-123.096894,49.948242
Cornus unalaschkensis,-123.208167,49.643787
Cornus unalaschkensis,-126.259408,49.35497
Cornus unalaschkensis,-124.338546,48.768241
Cornus unalaschkensis,-123.107341,49.781686
Cornus unalaschkensis,-129.060714,55.178688
Cornus unalaschkensis,-123.200927,49.39905
Cornus unalaschkensis,-124.1923,49.818145
Cornus unalaschkensis,-122.961992,50.020233
Cornus unalaschkensis,-124.219109,48.528196
Cornus unalaschkensis,-120.476999,50.486595
Cornus unalaschkensis,-122.828606,49.3511
Cornus unalaschkensis,-128.262618,50.683474
Cornus unalaschkensis,-122.740295,49.652455
Cornus unalaschkensis,-124.050953,48.525815
Cornus unalaschkensis,-119.06564,49.08606
Cornus unalaschkensis,-123.549287,49.426608
Cornus unalaschkensis,-118.813875,50.899705
Cornus unalaschkensis,-130.019272,56.03434
Cornus unalaschkensis,-128.442567,52.162114
Cornus unalaschkensis,-124.379905,49.958718
Cornus unalaschkensis,-121.534828,53.783298
Cornus unalaschkensis,-128.276268,50.794054
Cornus unalaschkensis,-125.972489,49.166303
Cornus unalaschkensis,-126.252197,50.058547
Cornus unalaschkensis,-128.14148,50.83353
Cornus unalaschkensis,-121.072578,49.042981
Cornus unalaschkensis,-122.689597,49.344342
Cornus unalaschkensis,-115.838092,51.24961
Cornus unalaschkensis,-119.921813,51.75883
Cornus unalaschkensis,-121.218724,53.762996
Cornus unalaschkensis,-127.280487,54.82377
Cornus unalaschkensis,-122.926705,49.76262
Cornus unalaschkensis,-123.46297,50.576153
Cornus unalaschkensis,-123.914903,49.683708
Cornus unalaschkensis,-120.716016,49.129406
Cornus unalaschkensis,-125.697429,49.634221
Cornus unalaschkensis,-124.615278,49.243056
Cornus unalaschkensis,-118.090687,50.832961
Cornus unalaschkensis,-126.9245,50.588375
Cornus unalaschkensis,-129.949466,54.29069
Cornus unalaschkensis,-128.151836,55.100466
Cornus unalaschkensis,-125.323936,49.545283
Cornus unalaschkensis,-123.119113,50.675544
Cornus unalaschkensis,-123.214159,49.518787
Cornus unalaschkensis,-127.238062,50.408825
Cornus unalaschkensis,-125.329778,50.210345
Cornus unalaschkensis,-125.099954,49.723967
Cornus unalaschkensis,-122.391053,49.241061
Cornus unalaschkensis,-129.821592,54.234643
Cornus unalaschkensis,-132.081695,53.868653
Cornus unalaschkensis,-123.130175,50.044269
Cornus unalaschkensis,-117.728346,49.570745
Cornus unalaschkensis,-125.599064,49.798827
Cornus unalaschkensis,-122.508703,49.15721
Cornus unalaschkensis,-127.133611,50.608333
Cornus unalaschkensis,-123.158792,50.562146
Cornus unalaschkensis,-125.588713,50.033958
Cornus unalaschkensis,-122.941673,50.414254
Cornus unalaschkensis,-125.201622,49.788116
Cornus unalaschkensis,-126.214798,49.444754
Cornus unalaschkensis,-126.42075,49.48209
Cornus unalaschkensis,-126.931192,54.892087
Cornus unalaschkensis,-128.270828,55.031067
Cornus unalaschkensis,-123.562803,49.7866
Cornus unalaschkensis,-117.648747,51.241777
Cornus unalaschkensis,-117.542252,51.362724
Cornus unalaschkensis,-127.727753,52.451278
Cornus unalaschkensis,-135.043523,59.717667
Cornus unalaschkensis,-122.935306,49.4172
Cornus unalaschkensis,-124.254351,48.965846
Cornus unalaschkensis,-125.337492,51.779871
Cornus unalaschkensis,-121.662475,53.892219
Cornus unalaschkensis,-123.088243,49.202989
Cornus unalaschkensis,-126.670475,49.582475
Cornus unalaschkensis,-125.559172,48.939983
Cornus unalaschkensis,-127.886483,52.208681
Cornus unalaschkensis,-123.016556,49.342379
Cornus unalaschkensis,-128.471668,51.917175
Cornus unalaschkensis,-128.128953,51.652386
Cornus unalaschkensis,-117.53229,51.645675
Cornus unalaschkensis,-127.760758,51.485295
Cornus unalaschkensis,-122.543244,53.514831
Cornus unalaschkensis,-123.124477,50.139983
Cornus unalaschkensis,-132.137053,54.032147
Cornus unalaschkensis,-122.7,49.1
Cornus unalaschkensis,-116.78,49.63
Cornus unalaschkensis,-124.52,49.83
Cornus unalaschkensis,-123,49
Cornus unalaschkensis,-120.8,49
Cornus unalaschkensis,-127.7,55.3
Cornus unalaschkensis,-129.31,56.07
Cornus unalaschkensis,-123.97,55.2
Cornus unalaschkensis,-118.8,50.32
Cornus unalaschkensis,-126.3,55.1
Cornus unalaschkensis,-125,51
Cornus unalaschkensis,-127.2,51.7
Cornus unalaschkensis,-122.8,50
Cornus unalaschkensis,-127,50
Cornus unalaschkensis,-126.6,55.2
Cornus unalaschkensis,-117.9,50.6
Cornus unalaschkensis,-127.9,53.3
Cornus unalaschkensis,-131.96,53.33
Cornus unalaschkensis,-127.2,50.233333
Cornus unalaschkensis,-123.925,48.683333
Cornus unalaschkensis,-130.366667,53.916667
Cornus unalaschkensis,-124.7,59.783333
Cornus unalaschkensis,-126.608333,50.438889
Cornus unalaschkensis,-117.461667,50.091667
Cornus unalaschkensis,-130.833333,54.5
Cornus unalaschkensis,-126.3,52.183333
Cornus unalaschkensis,-127.133333,52.95
Cornus unalaschkensis,-121.883333,49.266667
Cornus unalaschkensis,-129.083333,50.866667
Cornus unalaschkensis,-120.698729,49.509486
Cornus unalaschkensis,-121.446045,49.099926
Cornus unalaschkensis,-127.940536,51.615722
Cornus unalaschkensis,-130.267596,54.306401
Cornus unalaschkensis,-131.368836,52.341213
Cornus unalaschkensis,-62.655302,44.779349
Cornus unalaschkensis,-125.867,53.0333
Cornus unalaschkensis,-130.433,54.55
Cornus unalaschkensis,-123.8,56.9
Cornus unalaschkensis,-55.776667,53.470278
Cornus unalaschkensis,-56.427778,51.732778
Cornus unalaschkensis,-63.548611,50.220278
Cornus unalaschkensis,-55.77,52.206944
Cornus unalaschkensis,-119.75,54.383333
Cornus unalaschkensis,-128.133333,52.166667
Cornus unalaschkensis,-68.583333,48.45
