SPECIES,longitude,latitude
Crataegus chrysocarpa,-73.681975,45.607894
Crataegus chrysocarpa,-73.542043,45.564575
Crataegus chrysocarpa,-71.716674,46.66986
Crataegus chrysocarpa,-100.8175,49.395
Crataegus chrysocarpa,-75.953693,45.506711
Crataegus chrysocarpa,-78.304893,44.326101
Crataegus chrysocarpa,-100.216785,51.806773
Crataegus chrysocarpa,-73.92544,45.46983
Crataegus chrysocarpa,-73.815422,45.335
Crataegus chrysocarpa,-97.005278,49.975
Crataegus chrysocarpa,-79.200487,46.833938
Crataegus chrysocarpa,-78.985663,48.15693
Crataegus chrysocarpa,-71.954842,45.405122
Crataegus chrysocarpa,-79.45286,47.307232
Crataegus chrysocarpa,-73.031075,45.12223
Crataegus chrysocarpa,-73.410154,45.554845
Crataegus chrysocarpa,-97.939328,50.38964
Crataegus chrysocarpa,-100.754417,49.83755
Crataegus chrysocarpa,-101.052431,49.150406
Crataegus chrysocarpa,-71.361708,46.623425
Crataegus chrysocarpa,-106.596337,52.224392
Crataegus chrysocarpa,-114.152921,50.996961
Crataegus chrysocarpa,-70.606712,48.291609
Crataegus chrysocarpa,-71.85,48.366667
Crataegus chrysocarpa,-70.900637,47.070499
Crataegus chrysocarpa,-62.697648,46.442329
Crataegus chrysocarpa,-63.066365,46.407264
Crataegus chrysocarpa,-82.077228,46.110907
Crataegus chrysocarpa,-95.121943,49.512556
Crataegus chrysocarpa,-97.533333,49.916667
Crataegus chrysocarpa,-71.292778,46.768889
Crataegus chrysocarpa,-84.587692,46.529395
Crataegus chrysocarpa,-113.466667,50.85
Crataegus chrysocarpa,-119.266667,50.2
Crataegus chrysocarpa,-119.566667,49.066667
Crataegus chrysocarpa,-122.25,52.316667
Crataegus chrysocarpa,-79.063883,44.607029
Crataegus chrysocarpa,-64.905174,47.510806
Crataegus chrysocarpa,-84.75,47
Crataegus chrysocarpa,-64.75,47
Crataegus chrysocarpa,-86.25,48.75
Crataegus chrysocarpa,-96.502555,50.382113
Crataegus chrysocarpa,-56.326798,47.793622
Crataegus chrysocarpa,-56.091435,49.521437
Crataegus chrysocarpa,-109.466389,49.733056
Crataegus chrysocarpa,-109.701389,49.715
Crataegus chrysocarpa,-103.05,49.75
Crataegus chrysocarpa,-119.25,50.375
Crataegus chrysocarpa,-108.873333,49.851389
Crataegus chrysocarpa,-80.870287,43.91271
Crataegus chrysocarpa,-109.816944,49.623056
Crataegus chrysocarpa,-109.030833,49.869167
Crataegus chrysocarpa,-109.186111,49.550556
Crataegus chrysocarpa,-82.38490984,45.87832373
Crataegus chrysocarpa,-63.378674,46.491261
Crataegus chrysocarpa,-79.389651,43.689701
Crataegus chrysocarpa,-119.136389,50.018611
Crataegus chrysocarpa,-73.681465,45.410784
Crataegus chrysocarpa,-72.566667,46.333333
Crataegus chrysocarpa,-81.25,42.983333
Crataegus chrysocarpa,-64.064167,46.640833
Crataegus chrysocarpa,-83.2833,49
Crataegus chrysocarpa,-89.4333,48.35
Crataegus chrysocarpa,-89.5833,48.5333
Crataegus chrysocarpa,-77.1,45.0444
Crataegus chrysocarpa,-100.233,50.75
Crataegus chrysocarpa,-75.5833,45.45
Crataegus chrysocarpa,-75.1,45.3167
Crataegus chrysocarpa,-82.5167,41.9667
Crataegus chrysocarpa,-89.5833,48.3667
Crataegus chrysocarpa,-83.2,50.1333
Crataegus chrysocarpa,-101.933,51.6167
Crataegus chrysocarpa,-83.3,49.5167
Crataegus chrysocarpa,-98.75,51.7
Crataegus chrysocarpa,-73.1167,46.1167
Crataegus chrysocarpa,-98.08605,49.232931
Crataegus chrysocarpa,-96.599722,50.195972
Crataegus chrysocarpa,-98.127472,49.13725
Crataegus chrysocarpa,-99.62031269,50.38288924
Crataegus chrysocarpa,-96.06719403,50.24990359
Crataegus chrysocarpa,-95.39217706,50.86890922
Crataegus chrysocarpa,-96.11547806,50.72907279
Crataegus chrysocarpa,-60.816538,45.947737
Crataegus chrysocarpa,-79.619713,47.432155
Crataegus chrysocarpa,-99.971497,50.638222
Crataegus chrysocarpa,-82,45.7
Crataegus chrysocarpa,-81,43.7
Crataegus chrysocarpa,-81.9,45.92
Crataegus chrysocarpa,-76.73,44.37
Crataegus chrysocarpa,-77.62,44.12
Crataegus chrysocarpa,-81.63,45.08
Crataegus chrysocarpa,-81.67,42.72
Crataegus chrysocarpa,-77.12,43.85
Crataegus chrysocarpa,-81.52,43.22
Crataegus chrysocarpa,-81.25,43.18
Crataegus chrysocarpa,-81.8,43.07
Crataegus chrysocarpa,-77.12,43.95
Crataegus chrysocarpa,-79.92,43.23
Crataegus chrysocarpa,-71.511111,46.718056
Crataegus chrysocarpa,-114.33758,49.402643
Crataegus chrysocarpa,-113.660734,53.55405
Crataegus chrysocarpa,-113.034666,51.841759
Crataegus chrysocarpa,-112.965867,51.935983
Crataegus chrysocarpa,-110.816667,49.623611
Crataegus chrysocarpa,-110.392222,49.643333
Crataegus chrysocarpa,-110.05,49.75
Crataegus chrysocarpa,-64.32954,45.40657
Crataegus chrysocarpa,-65.565046,44.734526
Crataegus chrysocarpa,-60.97361,46.35581
Crataegus chrysocarpa,-75.803862,45.383425
Crataegus chrysocarpa,-66.666667,45.945278
Crataegus chrysocarpa,-61.61374,45.60662
Crataegus chrysocarpa,-61.49234,45.87736
Crataegus chrysocarpa,-69.334,48.016388
Crataegus chrysocarpa,-70.017425,47.432895
Crataegus chrysocarpa,-63.8625,45.738333
Crataegus chrysocarpa,-63.388333,44.988611
Crataegus chrysocarpa,-97.30309,49.13538
Crataegus chrysocarpa,-70.81892,48.4251
Crataegus chrysocarpa,-89.21667,48.4
Crataegus chrysocarpa,-73.497,45.417
