SPECIES,longitude,latitude
Crataegus flabellata,-73.493042,45.384158
Crataegus flabellata,-71.076002,46.890251
Crataegus flabellata,-70.779286,47.077933
Crataegus flabellata,-73.780006,45.339492
Crataegus flabellata,-73.930847,45.471783
Crataegus flabellata,-71.768936,48.512432
Crataegus flabellata,-71.937783,45.393064
Crataegus flabellata,-73.107336,45.091213
Crataegus flabellata,-73.393326,45.033782
Crataegus flabellata,-73.478431,45.553964
Crataegus flabellata,-74.203889,45.535
Crataegus flabellata,-72.777663,45.309028
Crataegus flabellata,-71.323606,46.828002
Crataegus flabellata,-79.450347,47.308187
Crataegus flabellata,-80.5,44.283333
Crataegus flabellata,-76.330433,44.647507
Crataegus flabellata,-79.396116,44.818513
Crataegus flabellata,-59.97892,45.916325
Crataegus flabellata,-60.42185,46.14106
Crataegus flabellata,-73.6833,45.4167
Crataegus flabellata,-75.55,45.3
Crataegus flabellata,-76.13,44.82
Crataegus flabellata,-77.12,43.85
Crataegus flabellata,-75.806389,45.383056
Crataegus flabellata,-73.65,45.516667
Crataegus flabellata,-73.642858,45.653864
Crataegus flabellata,-71.4013,46.7485
Crataegus flabellata,-72.96,45.299944
Crataegus flabellata,-75.426667,45.615556
Crataegus flabellata,-74.762778,45.653056
Crataegus flabellata,-72.2123,45.4195
