SPECIES,longitude,latitude
Crataegus irrasa,-73.636786,45.655975
Crataegus irrasa,-73.762794,45.623633
Crataegus irrasa,-79.455493,47.290607
Crataegus irrasa,-79.890347,47.795225
Crataegus irrasa,-73.830607,45.516937
Crataegus irrasa,-78.957673,48.165726
Crataegus irrasa,-59.218538,47.823236
Crataegus irrasa,-58.79069,48.192134
Crataegus irrasa,-71.502778,46.719444
Crataegus irrasa,-69.2,49.083333
Crataegus irrasa,-70.390556,47.4
Crataegus irrasa,-73.695463,45.539982
Crataegus irrasa,-70.017425,47.432895
Crataegus irrasa,-73.5,45.41667
