SPECIES,longitude,latitude
Crataegus mollis,-81.628496,43.743849
Crataegus mollis,-79.464092,43.766338
Crataegus mollis,-82.460443,42.129915
Crataegus mollis,-82.332709,42.97772
Crataegus mollis,-80.436069,43.394383
Crataegus mollis,-82.6333,41.8333
Crataegus mollis,-79.276827,43.809199
Crataegus mollis,-81.777236,42.631978
Crataegus mollis,-82.426663,42.760255
Crataegus mollis,-82.3,42.8
Crataegus mollis,-81.87,42.75
Crataegus mollis,-81.67,42.72
Crataegus mollis,-81.53,42.8
Crataegus mollis,-79.12,43.25
Crataegus mollis,-82.39919,42.670811
Crataegus mollis,-73.431667,45.513889
