SPECIES,longitude,latitude
Crataegus scabrida,-73.686294,45.608403
Crataegus scabrida,-79.452478,47.306912
Crataegus scabrida,-72.984632,45.151395
Crataegus scabrida,-73.107633,45.091483
Crataegus scabrida,-73.014722,45.020194
Crataegus scabrida,-73.761611,45.392444
Crataegus scabrida,-81.93046369,45.6691487
Crataegus scabrida,-79.7,43.5833
Crataegus scabrida,-80.95,44.62
Crataegus scabrida,-74.63,45.08
Crataegus scabrida,-81.63,45.08
Crataegus scabrida,-81.95,45.88
Crataegus scabrida,-71.466667,46.75
Crataegus scabrida,-60.454479,46.714161
