SPECIES,longitude,latitude
Crataegus suborbiculata,-73.686397,45.607501
Crataegus suborbiculata,-73.543409,45.616888
Crataegus suborbiculata,-73.839995,45.516683
Crataegus suborbiculata,-73.777472,45.362367
Crataegus suborbiculata,-73.540978,45.372089
Crataegus suborbiculata,-81.42,42.95
Crataegus suborbiculata,-81.87,42.75
Crataegus suborbiculata,-81.7,42.63
Crataegus suborbiculata,-81.67,42.72
Crataegus suborbiculata,-81.42,42.75
Crataegus suborbiculata,-80.97,44.8
Crataegus suborbiculata,-81.22,42.95
Crataegus suborbiculata,-71.266667,46.866667
