SPECIES,longitude,latitude
Empetrum nigrum,-92.193485,63.004485
Empetrum nigrum,-128.272264,54.987872
Empetrum nigrum,-125.797195,59.086967
Empetrum nigrum,-125.086667,51.806667
Empetrum nigrum,-124.418613,58.659765
Empetrum nigrum,-122.267753,56.155333
Empetrum nigrum,-56.380253,51.805588
Empetrum nigrum,-129.462497,53.074864
Empetrum nigrum,-66.271789,44.34505
Empetrum nigrum,-117.815628,53.516858
Empetrum nigrum,-124.159439,50.096817
Empetrum nigrum,-54.419791,49.681111
Empetrum nigrum,-52.671013,47.663075
Empetrum nigrum,-62.802879,44.712678
Empetrum nigrum,-124.708336,58.630165
Empetrum nigrum,-115.561992,51.770878
Empetrum nigrum,-103.818345,54.496037
Empetrum nigrum,-134.568152,60.068402
Empetrum nigrum,-81.637897,46.919192
Empetrum nigrum,-116.616593,52.090546
Empetrum nigrum,-54.292989,49.719531
Empetrum nigrum,-61.893863,47.409022
Empetrum nigrum,-123.886429,55.075054
Empetrum nigrum,-122.972578,51.012467
Empetrum nigrum,-58.359864,49.093831
Empetrum nigrum,-117.673813,52.719308
Empetrum nigrum,-65.942924,48.990963
Empetrum nigrum,-63.792863,44.735827
Empetrum nigrum,-64.997397,47.83618
Empetrum nigrum,-126.882294,54.098845
Empetrum nigrum,-113.745677,62.098983
Empetrum nigrum,-134.264273,60.464083
Empetrum nigrum,-63.789762,44.483291
Empetrum nigrum,-63.793475,50.211181
Empetrum nigrum,-116.491842,51.662578
Empetrum nigrum,-118.909072,52.860097
Empetrum nigrum,-66.727818,44.624804
Empetrum nigrum,-57.723128,48.25185
Empetrum nigrum,-125.72951,61.601447
Empetrum nigrum,-75.73987,62.117042
Empetrum nigrum,-65.513386,47.428753
Empetrum nigrum,-125.8757,49.094032
Empetrum nigrum,-78.119163,58.470213
Empetrum nigrum,-77.191236,60.048831
Empetrum nigrum,-125.62061,49.692211
Empetrum nigrum,-137.49735,60.802317
Empetrum nigrum,-70.228103,47.491
Empetrum nigrum,-132.607253,61.984783
Empetrum nigrum,-135.174142,60.786637
Empetrum nigrum,-59.885305,46.110965
Empetrum nigrum,-126.317422,53.440292
Empetrum nigrum,-60.385118,46.880913
Empetrum nigrum,-60.240294,45.716916
Empetrum nigrum,-133.516143,68.717664
Empetrum nigrum,-53.360378,47.914375
Empetrum nigrum,-63.104461,44.684483
Empetrum nigrum,-118.254128,53.493725
Empetrum nigrum,-65.129653,43.65957
Empetrum nigrum,-129.769834,53.460145
Empetrum nigrum,-86.764866,52.024116
Empetrum nigrum,-69.645363,47.709911
Empetrum nigrum,-121.518508,55.020572
Empetrum nigrum,-60.619736,47.017933
Empetrum nigrum,-126.594724,54.322046
Empetrum nigrum,-113.399262,62.471888
Empetrum nigrum,-61.473838,47.585588
Empetrum nigrum,-70.461105,47.892885
Empetrum nigrum,-55.193263,49.256421
Empetrum nigrum,-125.432467,49.676609
Empetrum nigrum,-61.825667,47.226427
Empetrum nigrum,-61.95672,45.21157
Empetrum nigrum,-52.796224,47.599923
Empetrum nigrum,-53.990468,47.311144
Empetrum nigrum,-69.423851,48.050838
Empetrum nigrum,-128.400457,50.777794
Empetrum nigrum,-129.611297,65.597205
Empetrum nigrum,-140.89389,64.095638
Empetrum nigrum,-128.326758,50.677595
Empetrum nigrum,-137.772187,60.838837
Empetrum nigrum,-136.995133,61.084106
Empetrum nigrum,-68.853952,48.333742
Empetrum nigrum,-136.994888,61.193058
Empetrum nigrum,-127.260217,54.769996
Empetrum nigrum,-88.7646,56.71118
Empetrum nigrum,-69.485863,48.280495
Empetrum nigrum,-138.329375,64.426886
Empetrum nigrum,-66.876716,47.377791
Empetrum nigrum,-138.438519,64.696769
Empetrum nigrum,-63.522966,44.507859
Empetrum nigrum,-64.587522,47.900341
Empetrum nigrum,-130.825638,60.077897
Empetrum nigrum,-54.089558,49.719662
Empetrum nigrum,-96.456078,65.317092
Empetrum nigrum,-64.94665,46.818811
Empetrum nigrum,-135.7137,62.113167
Empetrum nigrum,-138.207703,64.511833
Empetrum nigrum,-138.29213,65.358322
Empetrum nigrum,-136.416167,60.866478
Empetrum nigrum,-140.960812,64.750659
Empetrum nigrum,-126.466433,53.342329
Empetrum nigrum,-135.987273,60.863283
Empetrum nigrum,-111.931655,57.881847
Empetrum nigrum,-133.879945,60.377063
Empetrum nigrum,-69.977517,51.000386
Empetrum nigrum,-136.945787,60.1086
Empetrum nigrum,-124.309718,61.570543
Empetrum nigrum,-52.856047,47.209603
Empetrum nigrum,-66.351845,45.336667
Empetrum nigrum,-63.452339,44.590928
Empetrum nigrum,-113.868583,62.632355
Empetrum nigrum,-59.882442,45.942937
Empetrum nigrum,-61.883522,45.062911
Empetrum nigrum,-125.657651,49.012062
Empetrum nigrum,-135.466125,60.714081
Empetrum nigrum,-62.659597,44.789593
Empetrum nigrum,-64.227777,44.362058
Empetrum nigrum,-60.401865,46.646095
Empetrum nigrum,-96.403011,50.340983
Empetrum nigrum,-64.647894,47.726519
Empetrum nigrum,-62.015628,47.241208
Empetrum nigrum,-135.102906,63.877875
Empetrum nigrum,-65.3125,44.868611
Empetrum nigrum,-84.70525,47.373756
Empetrum nigrum,-65.587624,43.442259
Empetrum nigrum,-60.123078,45.822937
Empetrum nigrum,-64.91756,45.421592
Empetrum nigrum,-66.019875,43.420238
Empetrum nigrum,-60.99355,45.336942
Empetrum nigrum,-62.464142,44.828587
Empetrum nigrum,-55.584312,52.276852
Empetrum nigrum,-86.692027,48.770092
Empetrum nigrum,-123.893674,49.605925
Empetrum nigrum,-64.485108,47.997718
Empetrum nigrum,-130.662871,61.695929
Empetrum nigrum,-56.75172,47.578895
Empetrum nigrum,-53.653847,48.692206
Empetrum nigrum,-133.710728,68.588737
Empetrum nigrum,-68.113797,51.635824
Empetrum nigrum,-56.937249,50.829148
Empetrum nigrum,-68.145128,51.495849
Empetrum nigrum,-53.002553,47.478047
Empetrum nigrum,-66.18335,44.164643
Empetrum nigrum,-53.201032,47.619745
Empetrum nigrum,-122.291188,55.833338
Empetrum nigrum,-127.728194,52.451828
Empetrum nigrum,-127.828417,50.186821
Empetrum nigrum,-127.848228,51.779667
Empetrum nigrum,-129.593747,57.799546
Empetrum nigrum,-111.681806,62.249887
Empetrum nigrum,-116.150908,51.170738
Empetrum nigrum,-126.928388,54.762163
Empetrum nigrum,-119.129135,52.12373
Empetrum nigrum,-126.306131,50.164781
Empetrum nigrum,-125.485881,49.27897
Empetrum nigrum,-130.189194,57.529414
Empetrum nigrum,-127.864014,52.077008
Empetrum nigrum,-123.048968,55.420915
Empetrum nigrum,-125.754246,58.97821
Empetrum nigrum,-124.203926,48.540018
Empetrum nigrum,-115.435608,49.836125
Empetrum nigrum,-87.352617,52.949214
Empetrum nigrum,-69.807799,47.553225
Empetrum nigrum,-113.009763,64.552342
Empetrum nigrum,-88.691299,48.334949
Empetrum nigrum,-60.934617,50.248673
Empetrum nigrum,-127.006096,50.639022
Empetrum nigrum,-116.655546,51.843592
Empetrum nigrum,-129.404481,57.792878
Empetrum nigrum,-121.179219,54.74669
Empetrum nigrum,-115.087092,50.564993
Empetrum nigrum,-121.94603,50.397317
Empetrum nigrum,-118.589005,53.84872
Empetrum nigrum,-70.028784,58.496198
Empetrum nigrum,-125.839516,52.287533
Empetrum nigrum,-60.017647,45.87748
Empetrum nigrum,-87.64593,55.991112
Empetrum nigrum,-137.896665,65.764735
Empetrum nigrum,-66.138769,45.20443
Empetrum nigrum,-67.130814,52.814245
Empetrum nigrum,-60.0949,46.251686
Empetrum nigrum,-128.723339,52.263035
Empetrum nigrum,-64.920969,45.007761
Empetrum nigrum,-121.578728,53.766571
Empetrum nigrum,-55.987355,51.595147
Empetrum nigrum,-60.639667,45.960767
Empetrum nigrum,-124.069655,48.486717
Empetrum nigrum,-72.867675,53.798742
Empetrum nigrum,-58.746854,48.561556
Empetrum nigrum,-126.7459,54.691075
Empetrum nigrum,-61.268291,50.176885
Empetrum nigrum,-65.97355,50.282271
Empetrum nigrum,-64.281243,48.607851
Empetrum nigrum,-53.150516,47.80086
Empetrum nigrum,-64.499973,50.302596
Empetrum nigrum,-63.824244,50.302323
Empetrum nigrum,-70.813056,48.421944
Empetrum nigrum,-74.62287,62.113169
Empetrum nigrum,-70.721011,47.444689
Empetrum nigrum,-126.666276,54.501503
Empetrum nigrum,-66.299443,50.299868
Empetrum nigrum,-64.339561,50.287327
Empetrum nigrum,-57.642269,47.648089
Empetrum nigrum,-120.825831,49.059133
Empetrum nigrum,-122.555241,50.945285
Empetrum nigrum,-121.091322,50.612525
Empetrum nigrum,-119.129585,52.358648
Empetrum nigrum,-122.255317,50.157375
Empetrum nigrum,-64.2774,45.916958
Empetrum nigrum,-88.42398,48.458784
Empetrum nigrum,-88.001198,55.79312
Empetrum nigrum,-94.35057,58.391725
Empetrum nigrum,-86.437289,48.739791
Empetrum nigrum,-125.296519,50.173091
Empetrum nigrum,-85.807774,47.696106
Empetrum nigrum,-120.20955,49.079339
Empetrum nigrum,-135.278847,60.638458
Empetrum nigrum,-62.720066,45.987249
Empetrum nigrum,-120.307887,49.845426
Empetrum nigrum,-60.869083,46.476472
Empetrum nigrum,-83.689453,55.267338
Empetrum nigrum,-86.196969,48.397294
Empetrum nigrum,-66.031686,44.553322
Empetrum nigrum,-118.644067,54.456478
Empetrum nigrum,-125.31946,52.229089
Empetrum nigrum,-123.111061,50.775392
Empetrum nigrum,-119.325439,51.916496
Empetrum nigrum,-66.288637,45.135303
Empetrum nigrum,-135.908215,60.300897
Empetrum nigrum,-136.052052,60.567602
Empetrum nigrum,-135.144692,59.759818
Empetrum nigrum,-86.242142,48.482608
Empetrum nigrum,-65.02137,45.541472
Empetrum nigrum,-86.137344,48.246638
Empetrum nigrum,-137.063614,60.454225
Empetrum nigrum,-53.092954,48.694872
Empetrum nigrum,-57.964627,49.661776
Empetrum nigrum,-68.7,48.366667
Empetrum nigrum,-82.433333,52.916667
Empetrum nigrum,-89.233333,48.4
Empetrum nigrum,-113.43393,55.467095
Empetrum nigrum,-125.691758,49.604247
Empetrum nigrum,-61.50674,47.784211
Empetrum nigrum,-123.1429,50.909736
Empetrum nigrum,-118.078719,52.803147
Empetrum nigrum,-62.98089,58.853692
Empetrum nigrum,-58.122678,49.485784
Empetrum nigrum,-66.080864,50.192762
Empetrum nigrum,-136.616944,59.713333
Empetrum nigrum,-136.017848,60.187776
Empetrum nigrum,-55.512912,51.595463
Empetrum nigrum,-135.100083,60.691413
Empetrum nigrum,-127.961042,50.861388
Empetrum nigrum,-68.547364,49.058623
Empetrum nigrum,-137.85637,61.802042
Empetrum nigrum,-123.380532,50.989334
Empetrum nigrum,-70.309867,48.300438
Empetrum nigrum,-61.416667,55.216667
Empetrum nigrum,-59.25,53.425
Empetrum nigrum,-61.966667,57.2
Empetrum nigrum,-61.75,52.733333
Empetrum nigrum,-63.216667,55.333333
Empetrum nigrum,-69.315128,48.413499
Empetrum nigrum,-136.668333,59.853889
