SPECIES,longitude,latitude
Fragaria chiloensis,-124.55106,48.55535
Fragaria chiloensis,-123.10181,49.31625
Fragaria chiloensis,-123.726738,48.445945
Fragaria chiloensis,-131.87082,53.795363
Fragaria chiloensis,-123.496069,49.384987
Fragaria chiloensis,-132.661126,53.199967
Fragaria chiloensis,-125.798355,49.065595
Fragaria chiloensis,-123.971587,49.227236
Fragaria chiloensis,-123.291581,49.370547
Fragaria chiloensis,-125.114638,49.63714
Fragaria chiloensis,-127.831947,50.185436
Fragaria chiloensis,-126.060843,49.275721
Fragaria chiloensis,-127.188187,50.613792
Fragaria chiloensis,-127.973687,50.864594
Fragaria chiloensis,-128.282765,50.675264
Fragaria chiloensis,-123.893683,48.771428
Fragaria chiloensis,-127.974553,50.324373
Fragaria chiloensis,-124.87216,49.690379
Fragaria chiloensis,-126.011288,49.183023
Fragaria chiloensis,-123.213046,49.219177
Fragaria chiloensis,-125.677995,49.006585
Fragaria chiloensis,-125.22672,50.12608
Fragaria chiloensis,-123.475228,48.4232
Fragaria chiloensis,-128.409543,50.774057
Fragaria chiloensis,-124.413953,48.576368
Fragaria chiloensis,-123.64167,48.316944
Fragaria chiloensis,-131.84711,54.064233
Fragaria chiloensis,-131.938799,53.346739
Fragaria chiloensis,-131.936889,53.548895
Fragaria chiloensis,-124.357369,49.285103
Fragaria chiloensis,-128.094558,50.480963
Fragaria chiloensis,-132.519683,53.400856
Fragaria chiloensis,-124.102192,48.438817
Fragaria chiloensis,-131.661799,54.158798
Fragaria chiloensis,-127.764092,51.485725
Fragaria chiloensis,-125.129442,48.832711
Fragaria chiloensis,-125.902847,49.123855
Fragaria chiloensis,-125.093868,48.942808
Fragaria chiloensis,-131.995248,53.262803
Fragaria chiloensis,-128.476082,51.916734
Fragaria chiloensis,-128.141783,51.657128
Fragaria chiloensis,-129.755,53.122778
Fragaria chiloensis,-123.986111,48.391667
Fragaria chiloensis,-123.683333,49.15
Fragaria chiloensis,-126.05,49.366667
Fragaria chiloensis,-124.000556,49.722222
Fragaria chiloensis,-123.3,48.4
Fragaria chiloensis,-124.513889,49.430556
Fragaria chiloensis,-126.033333,50.516667
Fragaria chiloensis,-125.383333,50.133333
Fragaria chiloensis,-123.583333,49.016667
Fragaria chiloensis,-123.825,48.358333
Fragaria chiloensis,-123.45,48.616667
Fragaria chiloensis,-132.1,54.016667
Fragaria chiloensis,-131.6,52.916667
Fragaria chiloensis,-126.416667,49.483333
Fragaria chiloensis,-127.166667,50.066667
Fragaria chiloensis,-128.9,50.816667
Fragaria chiloensis,-128.683333,50.816667
Fragaria chiloensis,-129.083333,50.866667
Fragaria chiloensis,-128,51.533333
Fragaria chiloensis,-124.733333,48.616667
Fragaria chiloensis,-131.921278,53.638258
Fragaria chiloensis,-125.540658,48.921306
Fragaria chiloensis,-131.818205,53.259583
