SPECIES,longitude,latitude
Fragaria vesca,-127.685731,55.197289
Fragaria vesca,-120.965344,49.5311
Fragaria vesca,-63.592903,44.636734
Fragaria vesca,-113.208883,53.519341
Fragaria vesca,-120.773041,49.587608
Fragaria vesca,-120.056625,50.850803
Fragaria vesca,-126.027611,50.142952
Fragaria vesca,-102.31713,49.815422
Fragaria vesca,-106.667638,52.289825
Fragaria vesca,-116.944676,53.721315
Fragaria vesca,-118.005067,52.917836
Fragaria vesca,-79.363647,44.314739
Fragaria vesca,-125.873772,49.792981
Fragaria vesca,-79.4199,43.949453
Fragaria vesca,-125.527953,49.572278
Fragaria vesca,-76.219128,45.073552
Fragaria vesca,-80.274108,43.131847
Fragaria vesca,-134.94477,60.607129
Fragaria vesca,-123.408669,48.748917
Fragaria vesca,-79.842797,43.303905
Fragaria vesca,-84.291416,46.602074
Fragaria vesca,-79.520929,44.338411
Fragaria vesca,-61.278938,46.152267
Fragaria vesca,-114.842548,52.444913
Fragaria vesca,-81.846087,42.261699
Fragaria vesca,-119.293992,50.461163
Fragaria vesca,-79.009657,44.626189
Fragaria vesca,-116.187875,49.62445
Fragaria vesca,-119.293189,50.171414
Fragaria vesca,-93.922317,49.062135
Fragaria vesca,-80.248855,45.262578
Fragaria vesca,-77.229212,45.588622
Fragaria vesca,-94.474635,49.782382
Fragaria vesca,-121.39785,49.025848
Fragaria vesca,-106.237068,53.958412
Fragaria vesca,-120.369714,50.833403
Fragaria vesca,-91.700665,51.542054
Fragaria vesca,-81.641717,43.731011
Fragaria vesca,-105.101547,55.314003
Fragaria vesca,-121.747269,49.198958
Fragaria vesca,-89.618271,48.397968
Fragaria vesca,-119.18615,50.335053
Fragaria vesca,-89.571772,48.235199
Fragaria vesca,-84.457147,46.649581
Fragaria vesca,-116.833,54.0333
Fragaria vesca,-79.406508,43.819813
Fragaria vesca,-122.433633,52.62899
Fragaria vesca,-113.289557,53.666555
Fragaria vesca,-115.559952,51.191914
Fragaria vesca,-119.161095,49.868757
Fragaria vesca,-78.257823,44.208295
Fragaria vesca,-80.242551,48.186507
Fragaria vesca,-65.7961,43.609264
Fragaria vesca,-113.375717,53.592072
Fragaria vesca,-123.056994,53.803705
Fragaria vesca,-79.039108,43.94227
Fragaria vesca,-81.486152,43.626838
Fragaria vesca,-80.1445,43.332905
Fragaria vesca,-79.922088,43.198117
Fragaria vesca,-124.969431,53.989053
Fragaria vesca,-122.092297,49.014958
Fragaria vesca,-70.188337,46.624479
Fragaria vesca,-84.505707,46.476813
Fragaria vesca,-119.580072,49.588467
Fragaria vesca,-113.742539,52.486653
Fragaria vesca,-65.69111,46.959205
Fragaria vesca,-113.793718,53.414112
Fragaria vesca,-125.575921,50.133428
Fragaria vesca,-117.573028,49.575912
Fragaria vesca,-80.586487,43.420898
Fragaria vesca,-113.828574,53.566977
Fragaria vesca,-124.946976,49.248669
Fragaria vesca,-66.320886,45.571683
Fragaria vesca,-79.076686,43.06706
Fragaria vesca,-120.110781,50.746056
Fragaria vesca,-123.928222,49.53907
Fragaria vesca,-75.295658,45.709641
Fragaria vesca,-76.372703,45.332752
