SPECIES,longitude,latitude
Gaultheria humifusa,-117.97503,51.276865
Gaultheria humifusa,-119.917625,51.791758
Gaultheria humifusa,-122.356946,50.127092
Gaultheria humifusa,-122.639683,50.647917
Gaultheria humifusa,-125.6325,49.693333
Gaultheria humifusa,-125.568606,49.487256
Gaultheria humifusa,-124.017883,51.008722
Gaultheria humifusa,-123.2009,50.105237
Gaultheria humifusa,-125.467217,49.662228
Gaultheria humifusa,-117.726974,49.80043
Gaultheria humifusa,-125.344167,49.538917
Gaultheria humifusa,-114.035165,49.018776
Gaultheria humifusa,-119.183464,52.855473
Gaultheria humifusa,-122.943547,49.389126
Gaultheria humifusa,-123.243079,50.193731
Gaultheria humifusa,-125.309381,49.168192
Gaultheria humifusa,-117.336425,50.895696
Gaultheria humifusa,-117.833333,51.5
Gaultheria humifusa,-125,51
Gaultheria humifusa,-123.15,49.97
Gaultheria humifusa,-132.27,53.21
Gaultheria humifusa,-119.59,49.48
Gaultheria humifusa,-123.5,50.5
Gaultheria humifusa,-128.564167,56.950556
Gaultheria humifusa,-120.8,49.1
Gaultheria humifusa,-124.183889,49.541389
Gaultheria humifusa,-117.166667,49.783333
Gaultheria humifusa,-125.3,49.733333
Gaultheria humifusa,-124.25,50.375
Gaultheria humifusa,-117.566667,51.266667
Gaultheria humifusa,-125.883333,52.608333
Gaultheria humifusa,-127.821667,50.066667
Gaultheria humifusa,-127.208333,50.238333
Gaultheria humifusa,-125.883333,50.616667
Gaultheria humifusa,-124.616667,49.25
Gaultheria humifusa,-124.7625,49.994444
Gaultheria humifusa,-120.633333,49.033333
Gaultheria humifusa,-118.15,51.033333
Gaultheria humifusa,-125.766667,49.65
Gaultheria humifusa,-121.916667,50.266667
Gaultheria humifusa,-122.75,50
Gaultheria humifusa,-123.201889,49.393472
Gaultheria humifusa,-119.016122,53.505815
Gaultheria humifusa,-119.791,53.534
Gaultheria humifusa,-119.943757,53.956049
