SPECIES,longitude,latitude
Gaultheria ovatifolia,-123.129556,49.667608
Gaultheria ovatifolia,-121.952118,49.936073
Gaultheria ovatifolia,-121.442451,49.102772
Gaultheria ovatifolia,-124.486612,49.131839
Gaultheria ovatifolia,-125.406916,49.391776
Gaultheria ovatifolia,-122.699765,49.349374
Gaultheria ovatifolia,-120.196258,49.064658
Gaultheria ovatifolia,-125.842986,49.762833
Gaultheria ovatifolia,-119.461691,51.129341
Gaultheria ovatifolia,-125.522264,49.561372
Gaultheria ovatifolia,-118.5467,50.389717
Gaultheria ovatifolia,-124.26568,49.581295
Gaultheria ovatifolia,-117.489171,49.482409
Gaultheria ovatifolia,-125.33339,49.721277
Gaultheria ovatifolia,-125.503236,49.046772
Gaultheria ovatifolia,-117.22004,49.279584
Gaultheria ovatifolia,-125.51492,49.449511
Gaultheria ovatifolia,-118.205991,49.967372
Gaultheria ovatifolia,-123.197663,49.845843
Gaultheria ovatifolia,-125.871592,49.856946
Gaultheria ovatifolia,-122.943106,49.752959
Gaultheria ovatifolia,-117.013497,49.652472
Gaultheria ovatifolia,-125.094546,49.603731
Gaultheria ovatifolia,-124.888735,49.429103
Gaultheria ovatifolia,-117.481186,49.775531
Gaultheria ovatifolia,-117.793457,50.146462
Gaultheria ovatifolia,-125.585839,49.681131
Gaultheria ovatifolia,-117.245872,49.991008
Gaultheria ovatifolia,-118.090453,50.83305
Gaultheria ovatifolia,-123.893674,49.605925
Gaultheria ovatifolia,-122.836539,49.393817
Gaultheria ovatifolia,-123.579902,49.48242
Gaultheria ovatifolia,-125.250278,49.313056
Gaultheria ovatifolia,-125.306154,49.173033
Gaultheria ovatifolia,-126.165443,50.170246
Gaultheria ovatifolia,-124.36425,48.645134
Gaultheria ovatifolia,-125.220883,49.661934
Gaultheria ovatifolia,-125.429514,49.281104
Gaultheria ovatifolia,-117.951447,49.251928
Gaultheria ovatifolia,-118.806284,50.583989
Gaultheria ovatifolia,-119.128013,50.733489
Gaultheria ovatifolia,-123.062369,49.946027
Gaultheria ovatifolia,-117.127586,49.139722
Gaultheria ovatifolia,-126.11624,49.861598
Gaultheria ovatifolia,-123.205233,49.398544
Gaultheria ovatifolia,-122.943153,50.126613
Gaultheria ovatifolia,-121.416667,49
Gaultheria ovatifolia,-124.074202,48.498238
Gaultheria ovatifolia,-123,49.4
Gaultheria ovatifolia,-126.7,54.57
Gaultheria ovatifolia,-118.8,50.9
Gaultheria ovatifolia,-119,50
Gaultheria ovatifolia,-116.78,49.63
Gaultheria ovatifolia,-117.8,49.08
Gaultheria ovatifolia,-124.7,50.2
Gaultheria ovatifolia,-125,49.2
Gaultheria ovatifolia,-117.9,50.6
Gaultheria ovatifolia,-118.2,51.15
Gaultheria ovatifolia,-122.78,49.95
Gaultheria ovatifolia,-117.3,50.5
Gaultheria ovatifolia,-131.68,53.12
Gaultheria ovatifolia,-123.2,50.1
Gaultheria ovatifolia,-117.65,49.533333
Gaultheria ovatifolia,-123,50.483333
Gaultheria ovatifolia,-121.166667,49.141667
Gaultheria ovatifolia,-115.833333,51.366667
Gaultheria ovatifolia,-121.05,49.003333
Gaultheria ovatifolia,-123.883333,48.891667
Gaultheria ovatifolia,-117.675,49.333333
Gaultheria ovatifolia,-117,49.983333
Gaultheria ovatifolia,-118.9,51.283333
Gaultheria ovatifolia,-117.566667,51.266667
Gaultheria ovatifolia,-124.616667,50.066667
Gaultheria ovatifolia,-117.144444,49.691667
Gaultheria ovatifolia,-125.866667,50.633333
Gaultheria ovatifolia,-125.6,49.833333
Gaultheria ovatifolia,-123.716667,49.783333
Gaultheria ovatifolia,-123.533333,50.366667
Gaultheria ovatifolia,-117.383333,49.033333
Gaultheria ovatifolia,-124.4,49.233333
Gaultheria ovatifolia,-124.6,49.216667
Gaultheria ovatifolia,-124.15,50.016667
Gaultheria ovatifolia,-117.716667,51.216667
Gaultheria ovatifolia,-121.033333,49.216667
Gaultheria ovatifolia,-124.016667,48.85
Gaultheria ovatifolia,-121.438889,49.383333
Gaultheria ovatifolia,-117.283333,49.5
Gaultheria ovatifolia,-118.133333,51.05
Gaultheria ovatifolia,-124.05,49.15
Gaultheria ovatifolia,-117.538889,50.647222
