SPECIES,longitude,latitude
Gaultheria procumbens,-74.184489,45.391308
Gaultheria procumbens,-80.120858,43.416913
Gaultheria procumbens,-79.767575,45.387704
Gaultheria procumbens,-96.905232,50.033918
Gaultheria procumbens,-75.676636,45.032308
Gaultheria procumbens,-88.804575,48.369308
Gaultheria procumbens,-75.797433,45.06756
Gaultheria procumbens,-78.824655,44.742563
Gaultheria procumbens,-64.791053,46.041911
Gaultheria procumbens,-62.651756,45.641974
Gaultheria procumbens,-74.792713,45.511139
Gaultheria procumbens,-80.9474,46.53831
Gaultheria procumbens,-65.565441,44.635868
Gaultheria procumbens,-80.592042,46.017639
Gaultheria procumbens,-73.277162,46.284438
Gaultheria procumbens,-74.991785,45.882738
Gaultheria procumbens,-66.470455,45.45493
Gaultheria procumbens,-79.447289,46.326756
Gaultheria procumbens,-65.205561,44.133309
Gaultheria procumbens,-77.089666,44.989019
Gaultheria procumbens,-76.214177,46.786475
Gaultheria procumbens,-84.266558,46.599578
Gaultheria procumbens,-76.078737,45.61534
Gaultheria procumbens,-80.140397,46.197193
Gaultheria procumbens,-79.255557,44.918997
Gaultheria procumbens,-63.902479,44.678369
Gaultheria procumbens,-77.797333,44.615312
Gaultheria procumbens,-65.556826,46.650044
Gaultheria procumbens,-65.762708,44.624042
Gaultheria procumbens,-78.329621,45.846688
Gaultheria procumbens,-78.251254,44.796462
Gaultheria procumbens,-65.993915,43.924674
Gaultheria procumbens,-64.759585,44.489415
Gaultheria procumbens,-81.458612,46.9173
Gaultheria procumbens,-64.767922,46.143059
Gaultheria procumbens,-83.378746,46.414782
Gaultheria procumbens,-72.996613,45.242966
Gaultheria procumbens,-75.782925,45.773528
Gaultheria procumbens,-65.12968,43.659963
Gaultheria procumbens,-78.944087,46.448016
Gaultheria procumbens,-64.72773,44.374649
Gaultheria procumbens,-65.980938,43.751986
Gaultheria procumbens,-80.552839,45.9179
Gaultheria procumbens,-77.250645,44.640058
Gaultheria procumbens,-78.2747,44.972806
Gaultheria procumbens,-77.916054,45.117912
Gaultheria procumbens,-73.675792,45.711981
Gaultheria procumbens,-63.961004,45.721573
Gaultheria procumbens,-79.350154,44.753873
Gaultheria procumbens,-80.587503,46.724836
Gaultheria procumbens,-79.920967,45.202213
Gaultheria procumbens,-69.961725,48.250777
Gaultheria procumbens,-79.300934,45.08659
Gaultheria procumbens,-78.086952,45.07372
Gaultheria procumbens,-75.575128,45.682262
Gaultheria procumbens,-95.392722,49.837995
Gaultheria procumbens,-80.563526,44.202903
Gaultheria procumbens,-62.519622,46.30825
Gaultheria procumbens,-77.853995,46.216833
Gaultheria procumbens,-78.935883,45.703697
Gaultheria procumbens,-79.490052,44.591807
Gaultheria procumbens,-76.830663,44.917012
Gaultheria procumbens,-66.680556,47.989722
Gaultheria procumbens,-63.809749,45.236609
Gaultheria procumbens,-64.394004,44.336112
Gaultheria procumbens,-78.294176,44.687747
Gaultheria procumbens,-78.5062,45.579673
Gaultheria procumbens,-80.858206,48.553749
Gaultheria procumbens,-62.103278,46.469683
Gaultheria procumbens,-95.233039,49.799742
Gaultheria procumbens,-95.454512,50.566887
Gaultheria procumbens,-75.694077,45.198344
Gaultheria procumbens,-66.263611,47.365556
Gaultheria procumbens,-64.246285,44.472707
Gaultheria procumbens,-73.099063,47.053305
Gaultheria procumbens,-79.759292,45.180592
Gaultheria procumbens,-63.592181,44.603462
Gaultheria procumbens,-78.697649,45.660661
Gaultheria procumbens,-77.585136,45.882107
Gaultheria procumbens,-76.155158,44.394423
Gaultheria procumbens,-79.878732,48.323485
Gaultheria procumbens,-76.807436,44.605907
Gaultheria procumbens,-80.101372,46.855522
Gaultheria procumbens,-77.001355,44.492396
Gaultheria procumbens,-80.313147,45.898982
Gaultheria procumbens,-76.925472,44.82767
Gaultheria procumbens,-82.722809,46.60132
Gaultheria procumbens,-73.783215,46.615609
Gaultheria procumbens,-79.58918,45.448596
Gaultheria procumbens,-79.923299,48.236597
Gaultheria procumbens,-66.55335,45.655472
Gaultheria procumbens,-65.365913,43.827785
Gaultheria procumbens,-63.029231,45.414275
Gaultheria procumbens,-65.509872,47.422262
Gaultheria procumbens,-63.887438,46.622063
Gaultheria procumbens,-75.713683,46.390745
Gaultheria procumbens,-70.488314,47.863369
Gaultheria procumbens,-78.949317,44.777164
Gaultheria procumbens,-75.732826,45.572353
Gaultheria procumbens,-63.980131,44.924533
Gaultheria procumbens,-79.117632,45.071753
Gaultheria procumbens,-77.563576,46.148015
Gaultheria procumbens,-81.419456,44.950036
Gaultheria procumbens,-75.807106,45.469178
Gaultheria procumbens,-60.331711,46.778189
Gaultheria procumbens,-81.405122,46.008306
Gaultheria procumbens,-64.961109,44.831444
Gaultheria procumbens,-77.738014,45.500546
Gaultheria procumbens,-64.936295,46.825303
Gaultheria procumbens,-78.473487,46.279748
Gaultheria procumbens,-78.760247,45.485217
Gaultheria procumbens,-60.539381,46.377522
Gaultheria procumbens,-62.60545,45.460758
Gaultheria procumbens,-79.197117,45.207724
Gaultheria procumbens,-64.563183,46.121567
Gaultheria procumbens,-73.555413,46.200861
Gaultheria procumbens,-63.727744,44.57922
Gaultheria procumbens,-78.744657,45.094282
Gaultheria procumbens,-95.188333,50.615833
Gaultheria procumbens,-96.144167,49.170806
Gaultheria procumbens,-96.29619321,49.31889936
Gaultheria procumbens,-72.507761,46.3963
Gaultheria procumbens,-76.715818,44.772545
Gaultheria procumbens,-81.548416,46.000766
Gaultheria procumbens,-63.847988,44.900444
Gaultheria procumbens,-80.032355,44.489097
Gaultheria procumbens,-79.124799,47.809864
Gaultheria procumbens,-78.759567,44.055832
Gaultheria procumbens,-79.734338,47.408502
Gaultheria procumbens,-79.682053,43.56538
Gaultheria procumbens,-66.907193,46.053848
Gaultheria procumbens,-71.073982,48.437355
Gaultheria procumbens,-66.193489,47.929371
Gaultheria procumbens,-63.613094,45.069346
Gaultheria procumbens,-78.805408,44.93287
Gaultheria procumbens,-64.650043,46.424846
Gaultheria procumbens,-82.871285,47.543422
Gaultheria procumbens,-65.673598,47.510515
Gaultheria procumbens,-76.228845,45.206077
Gaultheria procumbens,-76.891134,44.723421
Gaultheria procumbens,-83.876681,46.316045
Gaultheria procumbens,-73.885817,46.818299
Gaultheria procumbens,-78.795175,46.067722
Gaultheria procumbens,-75.65259,44.886828
Gaultheria procumbens,-79.046463,45.241302
Gaultheria procumbens,-79.478355,45.671995
Gaultheria procumbens,-73.195236,46.414676
Gaultheria procumbens,-61.272879,46.17411
Gaultheria procumbens,-63.908822,46.44415
Gaultheria procumbens,-74.040489,45.471706
Gaultheria procumbens,-79.517655,45.248008
Gaultheria procumbens,-79.919187,46.089876
Gaultheria procumbens,-70.56259,47.777979
Gaultheria procumbens,-78.426561,44.082476
Gaultheria procumbens,-63.70005,45.615349
Gaultheria procumbens,-80.216905,44.500752
Gaultheria procumbens,-71.832993,46.379193
Gaultheria procumbens,-77.563492,44.572884
Gaultheria procumbens,-70.591355,47.257922
Gaultheria procumbens,-64.478221,45.496263
Gaultheria procumbens,-77.264401,45.890945
Gaultheria procumbens,-80.465083,42.701478
Gaultheria procumbens,-80.627822,43.477328
Gaultheria procumbens,-75.679384,46.068463
Gaultheria procumbens,-64.883231,47.761437
Gaultheria procumbens,-70.774051,47.086388
Gaultheria procumbens,-60.498388,46.040192
Gaultheria procumbens,-64.205388,44.246799
Gaultheria procumbens,-64.112208,45.913532
Gaultheria procumbens,-66.129383,45.462417
Gaultheria procumbens,-80.2051,45.426155
Gaultheria procumbens,-72.0998,46.813278
Gaultheria procumbens,-73.790675,45.76877
Gaultheria procumbens,-77.063394,45.633958
Gaultheria procumbens,-84.486118,46.485354
Gaultheria procumbens,-84.335753,46.51358
Gaultheria procumbens,-74.680156,46.130925
Gaultheria procumbens,-79.547874,45.106884
Gaultheria procumbens,-77.337,44.273558
Gaultheria procumbens,-63.415172,45.760242
Gaultheria procumbens,-60.763696,46.09765
Gaultheria procumbens,-71.034711,46.785678
Gaultheria procumbens,-79.132188,48.188975
Gaultheria procumbens,-59.96538,46.137658
Gaultheria procumbens,-73.802371,45.003959
Gaultheria procumbens,-70.502717,47.4067
Gaultheria procumbens,-78.620238,44.897059
Gaultheria procumbens,-72.690666,46.555767
Gaultheria procumbens,-65.569408,44.516049
Gaultheria procumbens,-81.066743,46.368448
Gaultheria procumbens,-79.513212,43.662826
Gaultheria procumbens,-63.765225,45.735895
Gaultheria procumbens,-63.128833,46.302233
Gaultheria procumbens,-75.590489,45.352758
Gaultheria procumbens,-60.517537,46.909053
Gaultheria procumbens,-79.705268,45.500999
Gaultheria procumbens,-63.919467,44.500613
Gaultheria procumbens,-63.453983,44.978937
Gaultheria procumbens,-80.060143,45.359617
Gaultheria procumbens,-65.082381,44.938576
Gaultheria procumbens,-79.74855,44.816977
Gaultheria procumbens,-84.512047,47.530772
Gaultheria procumbens,-96.20417,50.363951
Gaultheria procumbens,-62.699678,46.234658
Gaultheria procumbens,-72.139776,45.368174
Gaultheria procumbens,-79.860978,43.320938
Gaultheria procumbens,-60.661083,46.152864
Gaultheria procumbens,-74.445027,45.552824
Gaultheria procumbens,-79.942955,43.737317
Gaultheria procumbens,-81.503373,43.628495
Gaultheria procumbens,-79.266558,44.12635
Gaultheria procumbens,-60.206997,45.948128
Gaultheria procumbens,-78.080711,44.105214
Gaultheria procumbens,-76.402446,45.78135
Gaultheria procumbens,-77.228007,45.154998
