SPECIES,longitude,latitude
Gaultheria shallon,-128.835052,53.470009
Gaultheria shallon,-129.120575,53.063057
Gaultheria shallon,-125.581255,49.966416
Gaultheria shallon,-125.647583,50.284603
Gaultheria shallon,-125.328972,50.040703
Gaultheria shallon,-122.895613,49.271806
Gaultheria shallon,-122.57619,49.265258
Gaultheria shallon,-124.302081,48.500787
Gaultheria shallon,-123.899811,49.737111
Gaultheria shallon,-123.822861,49.031556
Gaultheria shallon,-124.775383,49.456173
Gaultheria shallon,-122.819983,49.186917
Gaultheria shallon,-123.618462,49.447628
Gaultheria shallon,-123.739339,48.645366
Gaultheria shallon,-122.993592,49.135017
Gaultheria shallon,-126.678482,50.61043
Gaultheria shallon,-125.801675,49.068742
Gaultheria shallon,-126.49443,50.751055
Gaultheria shallon,-123.696747,48.86017
Gaultheria shallon,-121.398499,49.025192
Gaultheria shallon,-126.785387,50.54161
Gaultheria shallon,-124.120167,49.275527
Gaultheria shallon,-123.487973,49.387121
Gaultheria shallon,-124.409042,49.77457
Gaultheria shallon,-125.022567,48.858078
Gaultheria shallon,-128.788789,53.696538
Gaultheria shallon,-126.922159,50.580086
Gaultheria shallon,-126.93193,49.723992
Gaultheria shallon,-131.442232,52.575667
Gaultheria shallon,-124.594084,48.651824
Gaultheria shallon,-125.344195,49.080228
Gaultheria shallon,-124.944792,48.696942
Gaultheria shallon,-126.335209,49.594844
Gaultheria shallon,-124.613633,49.4002
Gaultheria shallon,-125.930006,49.74194
Gaultheria shallon,-124.076094,49.709795
Gaultheria shallon,-124.573697,48.559437
Gaultheria shallon,-124.749298,48.612355
Gaultheria shallon,-123.115902,49.336656
Gaultheria shallon,-127.723848,50.976006
Gaultheria shallon,-130.198264,53.808983
Gaultheria shallon,-127.769928,50.50038
Gaultheria shallon,-124.807517,50.05325
Gaultheria shallon,-130.622108,54.296708
Gaultheria shallon,-122.816098,49.048199
Gaultheria shallon,-125.096856,49.850475
Gaultheria shallon,-124.972878,49.011608
Gaultheria shallon,-125.597408,49.798501
Gaultheria shallon,-125.408243,49.392279
Gaultheria shallon,-124.949265,49.24633
Gaultheria shallon,-124.926102,49.34119
Gaultheria shallon,-123.695678,49.134167
Gaultheria shallon,-123.173775,49.90798
Gaultheria shallon,-124.789763,49.27382
Gaultheria shallon,-125.783516,49.854015
Gaultheria shallon,-125.499596,49.047943
Gaultheria shallon,-124.440828,48.525467
Gaultheria shallon,-124.217791,50.145876
Gaultheria shallon,-124.158289,48.526634
Gaultheria shallon,-124.277619,48.600856
Gaultheria shallon,-125.172203,50.053627
Gaultheria shallon,-122.216606,49.365908
Gaultheria shallon,-122.813417,50.294328
Gaultheria shallon,-124.786859,49.942528
Gaultheria shallon,-124.547287,48.90123
Gaultheria shallon,-125.843551,50.482359
Gaultheria shallon,-121.42212,49.393671
Gaultheria shallon,-122.503447,49.157242
Gaultheria shallon,-124.196738,48.837262
Gaultheria shallon,-122.943106,49.752959
Gaultheria shallon,-122.467103,49.010403
Gaultheria shallon,-123.040273,49.01362
Gaultheria shallon,-122.020997,49.44825
Gaultheria shallon,-121.85651,49.460021
Gaultheria shallon,-125.619714,49.126803
Gaultheria shallon,-125.518271,50.337237
Gaultheria shallon,-123.942993,48.391792
Gaultheria shallon,-124.978094,50.057825
Gaultheria shallon,-124.748889,49.183333
Gaultheria shallon,-125.352705,49.279863
Gaultheria shallon,-122.637436,49.39095
Gaultheria shallon,-127.84569,50.370493
Gaultheria shallon,-125.606087,49.221418
Gaultheria shallon,-126.427605,50.47702
Gaultheria shallon,-124.215228,48.696353
Gaultheria shallon,-123.303866,49.024666
Gaultheria shallon,-123.661583,48.420856
Gaultheria shallon,-117.793733,50.146175
Gaultheria shallon,-123.780414,48.368074
Gaultheria shallon,-123.341828,48.495425
Gaultheria shallon,-123.231287,49.439208
Gaultheria shallon,-123.523514,48.388615
Gaultheria shallon,-124.902803,49.710268
Gaultheria shallon,-125.391751,48.989847
Gaultheria shallon,-123.114295,49.770206
Gaultheria shallon,-126.296392,49.505805
Gaultheria shallon,-122.458245,49.334083
Gaultheria shallon,-125.564285,49.579226
Gaultheria shallon,-123.022639,49.228271
Gaultheria shallon,-131.927703,53.380847
Gaultheria shallon,-124.446726,48.643441
Gaultheria shallon,-125.650405,49.004181
Gaultheria shallon,-123.507557,48.854664
Gaultheria shallon,-124.706468,48.711078
Gaultheria shallon,-122.286683,49.028661
Gaultheria shallon,-122.974861,50.160357
Gaultheria shallon,-123.030739,49.415356
Gaultheria shallon,-124.348226,49.243177
Gaultheria shallon,-127.072323,50.566155
Gaultheria shallon,-123.372673,49.457754
Gaultheria shallon,-123.199,49.253686
Gaultheria shallon,-123.996629,49.227097
Gaultheria shallon,-126.245008,49.818597
Gaultheria shallon,-124.016377,49.863315
Gaultheria shallon,-125.147025,50.144037
Gaultheria shallon,-127.363693,50.354067
Gaultheria shallon,-128.25343,50.685807
Gaultheria shallon,-127.053535,50.665738
Gaultheria shallon,-124.214439,49.726472
Gaultheria shallon,-128.395203,52.271662
Gaultheria shallon,-122.746864,49.316211
Gaultheria shallon,-125.19825,49.595822
Gaultheria shallon,-125.560682,49.672651
Gaultheria shallon,-127.764241,51.653853
Gaultheria shallon,-123.959664,49.487708
Gaultheria shallon,-128.72197,52.263472
Gaultheria shallon,-124.47493,49.353034
Gaultheria shallon,-127.96094,50.861297
Gaultheria shallon,-124.209656,49.500053
Gaultheria shallon,-122.854919,49.398272
Gaultheria shallon,-121.785311,49.302641
Gaultheria shallon,-128.335831,50.777565
Gaultheria shallon,-125.399316,49.174538
Gaultheria shallon,-125.325037,50.373178
Gaultheria shallon,-125.588372,50.084236
Gaultheria shallon,-124.57921,49.270107
Gaultheria shallon,-121.795469,49.077849
Gaultheria shallon,-125.977858,50.444047
Gaultheria shallon,-125.235146,50.279675
Gaultheria shallon,-125.147179,50.400356
Gaultheria shallon,-131.721139,52.955518
Gaultheria shallon,-125.034217,50.2559
Gaultheria shallon,-122.380712,49.247658
Gaultheria shallon,-124.461111,49.126389
Gaultheria shallon,-123.32597,48.879321
Gaultheria shallon,-125.321729,50.208569
Gaultheria shallon,-124.6894,50.124459
Gaultheria shallon,-129.986992,54.211611
Gaultheria shallon,-124.779166,49.592439
Gaultheria shallon,-123.140533,49.997668
Gaultheria shallon,-123.123401,49.164761
Gaultheria shallon,-129.821344,54.234836
Gaultheria shallon,-127.99116,50.338217
Gaultheria shallon,-126.091217,49.171421
Gaultheria shallon,-125.644039,54.073812
Gaultheria shallon,-126.060843,49.275721
Gaultheria shallon,-124.051038,49.619674
Gaultheria shallon,-121.933279,49.298973
Gaultheria shallon,-125.348947,49.839714
Gaultheria shallon,-127.486089,50.690493
Gaultheria shallon,-127.482147,50.417583
Gaultheria shallon,-122.64891,49.164033
Gaultheria shallon,-122.360633,49.929222
Gaultheria shallon,-132.148819,53.415725
Gaultheria shallon,-123.035767,50.0727
Gaultheria shallon,-124.008317,48.816653
Gaultheria shallon,-130.132873,54.24096
Gaultheria shallon,-123.263519,49.336099
Gaultheria shallon,-123.437058,48.622414
Gaultheria shallon,-127.831751,50.185258
Gaultheria shallon,-117.282202,49.465636
Gaultheria shallon,-124.270268,49.32639
Gaultheria shallon,-123.82338,48.760228
Gaultheria shallon,-127.451303,50.531293
Gaultheria shallon,-123.568663,48.577617
Gaultheria shallon,-126.557732,50.308459
Gaultheria shallon,-131.705728,53.135238
Gaultheria shallon,-132.270833,53.333378
Gaultheria shallon,-131.634946,53.055989
Gaultheria shallon,-125.379237,48.891548
Gaultheria shallon,-123.549086,48.69976
Gaultheria shallon,-125.086056,49.749565
Gaultheria shallon,-123.958268,48.502033
Gaultheria shallon,-123.779701,48.47922
Gaultheria shallon,-123.4047,48.770011
Gaultheria shallon,-123.686497,48.755412
Gaultheria shallon,-124.601508,49.523211
Gaultheria shallon,-127.836211,52.062522
Gaultheria shallon,-124.888262,48.902267
Gaultheria shallon,-123.519439,48.963581
Gaultheria shallon,-122.664376,49.029151
Gaultheria shallon,-123.553628,48.483394
Gaultheria shallon,-127.874436,51.770242
Gaultheria shallon,-128.475236,51.916375
Gaultheria shallon,-128.145094,51.661469
