SPECIES,longitude,latitude
Mahonia aquifolium,-120.593597,51.866456
Mahonia aquifolium,-123.329689,53.690767
Mahonia aquifolium,-79.936113,43.654019
Mahonia aquifolium,-122.013581,49.227556
Mahonia aquifolium,-120.608996,50.087292
Mahonia aquifolium,-81.713894,43.742835
Mahonia aquifolium,-121.940422,49.936962
Mahonia aquifolium,-121.756356,49.987858
Mahonia aquifolium,-120.771744,49.587151
Mahonia aquifolium,-117.87151,49.341676
Mahonia aquifolium,-122.681946,50.555912
Mahonia aquifolium,-124.791427,49.2737
Mahonia aquifolium,-123.698387,49.131806
Mahonia aquifolium,-122.483395,50.242177
Mahonia aquifolium,-117.771687,49.565524
Mahonia aquifolium,-119.212237,49.865707
Mahonia aquifolium,-122.365844,52.885278
Mahonia aquifolium,-118.249786,49.127503
Mahonia aquifolium,-123.124859,49.781798
Mahonia aquifolium,-119.728067,49.69035
Mahonia aquifolium,-119.603661,49.0107
Mahonia aquifolium,-119.946304,51.112022
Mahonia aquifolium,-118.353639,49.016133
Mahonia aquifolium,-119.571671,49.322887
Mahonia aquifolium,-121.716042,51.858522
Mahonia aquifolium,-117.550093,49.113868
Mahonia aquifolium,-120.014953,51.737525
Mahonia aquifolium,-78.90876,42.9109
Mahonia aquifolium,-124.577494,49.763658
Mahonia aquifolium,-115.924896,49.449875
Mahonia aquifolium,-124.020409,49.628521
Mahonia aquifolium,-119.10929,49.08089
Mahonia aquifolium,-124.613487,49.40017
Mahonia aquifolium,-120.078998,50.654576
Mahonia aquifolium,-119.01012,49.20482
Mahonia aquifolium,-119.089369,50.96213
Mahonia aquifolium,-118.172525,51.079128
Mahonia aquifolium,-119.589461,51.742775
Mahonia aquifolium,-119.672853,50.958022
Mahonia aquifolium,-124.197669,48.839022
Mahonia aquifolium,-123.47207,49.433301
Mahonia aquifolium,-64.36209,45.086623
Mahonia aquifolium,-119.268822,50.457987
Mahonia aquifolium,-115.993325,49.550547
Mahonia aquifolium,-119.627608,49.099697
Mahonia aquifolium,-120.368053,50.646248
Mahonia aquifolium,-119.090728,50.579133
Mahonia aquifolium,-122.433633,52.62899
Mahonia aquifolium,-124.918526,49.332439
Mahonia aquifolium,-124.855781,49.935602
Mahonia aquifolium,-119.497513,50.187487
Mahonia aquifolium,-121.99726,51.763307
Mahonia aquifolium,-119.240525,50.893375
Mahonia aquifolium,-125.245393,49.826748
Mahonia aquifolium,-122.838438,50.878625
Mahonia aquifolium,-117.722987,49.120369
Mahonia aquifolium,-123.055193,53.803542
Mahonia aquifolium,-116.698108,49.330258
Mahonia aquifolium,-117.589214,51.248123
Mahonia aquifolium,-117.661912,49.407833
Mahonia aquifolium,-117.623567,49.316424
Mahonia aquifolium,-118.958731,50.874322
Mahonia aquifolium,-79.076451,43.765704
Mahonia aquifolium,-115.318075,49.414733
Mahonia aquifolium,-118.07978,49.848738
Mahonia aquifolium,-122.170506,49.088957
Mahonia aquifolium,-115.888764,50.494061
Mahonia aquifolium,-119.562645,49.88182
Mahonia aquifolium,-119.69532,50.82082
Mahonia aquifolium,-75.897646,45.607744
Mahonia aquifolium,-123.844853,49.024291
Mahonia aquifolium,-79.893097,43.283515
Mahonia aquifolium,-123.179082,49.894182
Mahonia aquifolium,-119.775136,49.178482
Mahonia aquifolium,-121.970444,50.670769
Mahonia aquifolium,-79.569693,43.667929
Mahonia aquifolium,-119.501892,51.670233
Mahonia aquifolium,-80.021772,43.819864
Mahonia aquifolium,-79.874813,44.331884
Mahonia aquifolium,-124.858639,49.627338
Mahonia aquifolium,-79.717357,43.439394
Mahonia aquifolium,-117.887187,49.987125
Mahonia aquifolium,-124.981486,49.67851
Mahonia aquifolium,-121.270858,49.133306
Mahonia aquifolium,-124.579293,49.291103
Mahonia aquifolium,-79.43297,43.764507
Mahonia aquifolium,-124.268193,49.321975
Mahonia aquifolium,-123.723148,49.439018
Mahonia aquifolium,-123.309898,48.49328
Mahonia aquifolium,-81.313872,42.948108
Mahonia aquifolium,-124.589185,49.520959
Mahonia aquifolium,-122.876163,49.031185
Mahonia aquifolium,-75.66835,45.452612
Mahonia aquifolium,-123.677535,48.446604
Mahonia aquifolium,-122.924042,49.117936
Mahonia aquifolium,-123.54959,48.313987
Mahonia aquifolium,-117.546823,51.762381
Mahonia aquifolium,-80.640977,43.400844
Mahonia aquifolium,-117.814004,50.245432
Mahonia aquifolium,-123.454308,48.432908
Mahonia aquifolium,-116.235175,50.462678
Mahonia aquifolium,-119.185035,50.33171
Mahonia aquifolium,-119.784058,50.474979
Mahonia aquifolium,-115.25189,49.113628
