SPECIES,longitude,latitude
Mahonia repens,-122.644219,49.107744
Mahonia repens,-113.910653,49.031063
Mahonia repens,-119.26563,49.07104
Mahonia repens,-119.567297,49.437598
Mahonia repens,-119.04604,49.13439
Mahonia repens,-119.399656,49.101484
Mahonia repens,-119.406492,50.886696
Mahonia repens,-114.37166,49.4592
Mahonia repens,-114.248218,49.543664
Mahonia repens,-117.802171,49.082741
Mahonia repens,-80.015325,44.516283
Mahonia repens,-115.170394,49.772717
Mahonia repens,-116.461333,49.098787
Mahonia repens,-115.124525,49.009374
Mahonia repens,-119.58031,49.29259
Mahonia repens,-116.871655,49.70071
Mahonia repens,-114.026103,49.132428
Mahonia repens,-114.573889,49.703333
Mahonia repens,-116.098211,49.080982
Mahonia repens,-115.234539,49.247866
Mahonia repens,-114.114853,49.407811
Mahonia repens,-115.151783,49.680763
Mahonia repens,-115.295878,49.360352
Mahonia repens,-115.421722,49.416562
Mahonia repens,-115.075459,49.284876
Mahonia repens,-114.492544,49.507463
Mahonia repens,-115.844667,49.372722
Mahonia repens,-114.698785,49.649932
Mahonia repens,-113.491688,49.003822
Mahonia repens,-114.921417,50.003953
Mahonia repens,-113.998008,49.257612
Mahonia repens,-114.887542,49.730475
Mahonia repens,-120.17,53.3
Mahonia repens,-120.6,49.4
Mahonia repens,-115.9,50.3
Mahonia repens,-120.79,49.63
Mahonia repens,-121.56,51.83
Mahonia repens,-118.463333,49.15
Mahonia repens,-121.433333,49.566667
Mahonia repens,-121.366667,49.883333
Mahonia repens,-116.033333,50.533333
Mahonia repens,-115.666667,49.116667
Mahonia repens,-114.050556,49.009444
Mahonia repens,-113.530498,53.522347
Mahonia repens,-114.442778,49.608056
Mahonia repens,-115.1,49.5
Mahonia repens,-115.02092,49.385505
Mahonia repens,-114.256912,49.394425
Mahonia repens,-113.666667,49
Mahonia repens,-113.833333,49.116667
Mahonia repens,-114.37089,49.341483
Mahonia repens,-114.311849,49.8006
Mahonia repens,-115.75,49.5
