SPECIES,longitude,latitude
Malus fusca,-126.165857,50.876305
Malus fusca,-127.385368,50.712731
Malus fusca,-123.410473,48.419766
Malus fusca,-125.344195,49.080228
Malus fusca,-123.459121,49.392351
Malus fusca,-123.380347,48.719733
Malus fusca,-125.098853,49.852822
Malus fusca,-124.865706,49.944759
Malus fusca,-124.642222,49.894722
Malus fusca,-123.737556,48.646156
Malus fusca,-128.673569,54.014091
Malus fusca,-123.77691,48.381077
Malus fusca,-125.785478,49.065117
Malus fusca,-122.45433,49.009135
Malus fusca,-123.827212,49.02475
Malus fusca,-123.168564,49.70255
Malus fusca,-124.978216,49.678195
Malus fusca,-122.604246,49.140693
Malus fusca,-123.944,49.133
Malus fusca,-122.655713,49.020865
Malus fusca,-122.929886,49.145528
Malus fusca,-123.546726,48.319504
Malus fusca,-124.856744,49.628126
Malus fusca,-122.730242,49.193175
Malus fusca,-124.053178,48.421069
Malus fusca,-125.953635,50.376834
Malus fusca,-128.334534,50.777592
Malus fusca,-124.179592,49.305987
Malus fusca,-124.79062,49.27408
Malus fusca,-123.723156,49.439032
Malus fusca,-122.281703,49.072456
Malus fusca,-123.575185,48.778239
Malus fusca,-124.64604,49.53922
Malus fusca,-124.549786,49.311277
Malus fusca,-127.607489,55.243748
Malus fusca,-127.825807,55.091812
Malus fusca,-128.04433,55.099124
Malus fusca,-127.684266,55.347984
Malus fusca,-128.040631,55.195287
Malus fusca,-127.723314,55.17968
Malus fusca,-128.101914,55.329984
Malus fusca,-124.370883,49.286093
Malus fusca,-123.372405,48.580658
Malus fusca,-126.065416,49.276226
Malus fusca,-123.994347,49.6342
Malus fusca,-122.607644,49.339522
Malus fusca,-128.405625,52.270517
Malus fusca,-124.673352,50.144885
Malus fusca,-123.751892,48.77995
Malus fusca,-125.904281,50.548828
Malus fusca,-127.01165,50.628878
Malus fusca,-128.472336,51.914978
Malus fusca,-124.977112,50.062795
Malus fusca,-121.947011,49.245328
Malus fusca,-124.822063,50.062743
Malus fusca,-124.80767,49.50042
Malus fusca,-122.238054,49.293184
Malus fusca,-127.486144,50.411397
Malus fusca,-123.037315,49.057046
Malus fusca,-121.399911,49.019489
Malus fusca,-127.727783,52.451697
Malus fusca,-125.846956,49.843625
Malus fusca,-127.836242,52.062581
Malus fusca,-128.041292,52.28315
Malus fusca,-127.874622,50.333188
Malus fusca,-127.855317,51.866872
Malus fusca,-124.430413,49.854942
Malus fusca,-124.926567,49.293312
Malus fusca,-129.296544,54.335272
Malus fusca,-124.809007,48.660414
Malus fusca,-122.048052,49.093163
Malus fusca,-127.194838,51.680103
Malus fusca,-121.413839,49.313655
Malus fusca,-122.448308,49.355486
Malus fusca,-126.021391,49.166709
Malus fusca,-127.830811,51.775653
Malus fusca,-125.238721,50.131992
Malus fusca,-127.875786,52.213039
Malus fusca,-123.85937,49.478563
Malus fusca,-125.540317,48.9267
Malus fusca,-123.70585,49.078939
Malus fusca,-123.46783,48.926529
Malus fusca,-125.369042,49.276281
Malus fusca,-125.115867,48.788097
Malus fusca,-123.567428,48.578461
Malus fusca,-125.16032,48.873732
Malus fusca,-124.640586,48.866975
Malus fusca,-126.303216,49.437292
Malus fusca,-125.64861,49.122006
Malus fusca,-123.000075,49.305915
Malus fusca,-124.004158,48.815219
Malus fusca,-125.891008,49.131514
Malus fusca,-125.447922,50.050152
Malus fusca,-125.108775,49.760632
Malus fusca,-122.388681,49.241956
Malus fusca,-125.173425,50.013237
Malus fusca,-131.80786,53.24538
Malus fusca,-131.641572,53.064628
Malus fusca,-125.297392,48.865343
Malus fusca,-122.938402,50.407674
Malus fusca,-122.849603,49.064481
Malus fusca,-125.09088,49.59045
Malus fusca,-123.239058,48.42013
Malus fusca,-128.143172,52.170425
Malus fusca,-123.181669,49.21436
Malus fusca,-127.837661,52.514581
Malus fusca,-131.606737,52.906383
Malus fusca,-125.530206,49.189526
Malus fusca,-128.091203,50.480713
Malus fusca,-131.970138,53.280705
Malus fusca,-132.081056,53.939678
Malus fusca,-132.056938,53.641063
Malus fusca,-131.931909,53.579012
Malus fusca,-128.301458,52.026778
Malus fusca,-126.55765,50.307901
Malus fusca,-125.258721,50.263894
Malus fusca,-123.965935,49.235017
Malus fusca,-123.17,49.37
Malus fusca,-126.75,52.37
Malus fusca,-122.1,49.2
Malus fusca,-125.36,50.54
Malus fusca,-122.89,49.47
Malus fusca,-125.5,49.1
Malus fusca,-130.5,54.3
Malus fusca,-124.61,54.57
Malus fusca,-125.366667,48.95
Malus fusca,-125.616667,49.683333
Malus fusca,-126.05,49.366667
Malus fusca,-121.433333,49.566667
Malus fusca,-130.833333,54.496667
Malus fusca,-126.066667,52.372222
Malus fusca,-123.55,48.483333
Malus fusca,-124.613889,48.686667
Malus fusca,-127.833333,53.208333
Malus fusca,-125.933333,49.55
Malus fusca,-122.835183,49.282878
Malus fusca,-130.114223,53.775828
Malus fusca,-122.963212,50.12077
Malus fusca,-127.838081,52.337653
Malus fusca,-123.166454,49.101469
Malus fusca,-124.598645,48.582426
Malus fusca,-128.150903,51.644417
Malus fusca,-125.652207,49.00789
Malus fusca,-125.75,49.25
Malus fusca,-132.148178,53.241238
Malus fusca,-123.321183,48.866878
Malus fusca,-128.653,54.589199
Malus fusca,-128.32917,55.019444
Malus fusca,-124.4223,48.55297
