SPECIES,longitude,latitude
Mitchella repens,-79.517417,44.941342
Mitchella repens,-66.532778,47.936944
Mitchella repens,-74.488067,45.644537
Mitchella repens,-79.583563,45.2974
Mitchella repens,-81.017586,42.745874
Mitchella repens,-79.570943,45.035059
Mitchella repens,-60.78344,46.2074
Mitchella repens,-65.565441,44.635868
Mitchella repens,-65.656363,47.566455
Mitchella repens,-63.847909,44.900107
Mitchella repens,-64.854198,43.836919
Mitchella repens,-71.639601,45.783239
Mitchella repens,-64.717207,45.862016
Mitchella repens,-64.108324,46.659907
Mitchella repens,-66.045036,44.061095
Mitchella repens,-61.964313,45.34668
Mitchella repens,-79.762143,46.070398
Mitchella repens,-64.882858,44.431816
Mitchella repens,-65.888259,44.06987
Mitchella repens,-77.754708,45.018464
Mitchella repens,-72.529315,46.297596
Mitchella repens,-63.651763,44.778125
Mitchella repens,-71.313687,46.123191
Mitchella repens,-65.971939,43.78714
Mitchella repens,-77.797303,44.615288
Mitchella repens,-75.663353,45.035725
Mitchella repens,-77.504984,45.659922
Mitchella repens,-79.983409,44.817404
Mitchella repens,-78.963852,45.042236
Mitchella repens,-80.832007,46.376453
Mitchella repens,-78.08345,45.043597
Mitchella repens,-79.368881,44.20628
Mitchella repens,-76.434575,44.765217
Mitchella repens,-80.413038,45.648563
Mitchella repens,-72.783931,47.428947
Mitchella repens,-77.233393,44.693647
Mitchella repens,-72.105812,45.737885
Mitchella repens,-76.820892,45.699425
Mitchella repens,-73.179207,45.966465
Mitchella repens,-76.185244,44.775314
Mitchella repens,-81.808958,43.106197
Mitchella repens,-79.583984,45.410609
Mitchella repens,-80.575108,45.935465
Mitchella repens,-79.771745,47.061955
Mitchella repens,-80.28045,45.763378
Mitchella repens,-72.624925,46.389171
Mitchella repens,-77.645732,46.057943
Mitchella repens,-77.858286,45.072774
Mitchella repens,-72.824017,45.046188
Mitchella repens,-73.561522,45.559494
Mitchella repens,-64.961154,46.810126
Mitchella repens,-64.092396,46.776776
Mitchella repens,-80.366884,43.302085
Mitchella repens,-84.306107,46.775599
Mitchella repens,-84.092598,46.527369
Mitchella repens,-80.032663,44.487736
Mitchella repens,-79.769822,43.48542
Mitchella repens,-79.513267,45.821262
Mitchella repens,-76.321163,45.998389
Mitchella repens,-77.56991,46.152957
Mitchella repens,-67.623913,46.180037
Mitchella repens,-60.536628,46.372969
Mitchella repens,-64.629604,46.300196
Mitchella repens,-78.55033,45.570897
Mitchella repens,-65.433617,46.347283
Mitchella repens,-61.950817,45.214867
Mitchella repens,-79.885045,45.661865
Mitchella repens,-62.235156,45.113397
Mitchella repens,-76.86922,44.682593
Mitchella repens,-75.792922,45.761818
Mitchella repens,-76.841862,44.860129
Mitchella repens,-82.966012,45.896657
Mitchella repens,-78.2747,44.972806
Mitchella repens,-71.111356,46.829534
Mitchella repens,-84.188276,46.882905
Mitchella repens,-72.323548,45.287294
Mitchella repens,-78.502538,45.263762
Mitchella repens,-78.436223,45.485873
Mitchella repens,-65.8301,43.733047
Mitchella repens,-62.720222,45.453823
Mitchella repens,-67.132389,45.162853
Mitchella repens,-65.284178,46.465162
Mitchella repens,-65.97508,43.890002
Mitchella repens,-62.618287,45.622238
Mitchella repens,-79.138489,45.178408
Mitchella repens,-64.911737,44.122364
Mitchella repens,-79.607078,45.1228
Mitchella repens,-65.343331,44.313627
Mitchella repens,-80.092623,45.271804
Mitchella repens,-65.378355,43.724605
Mitchella repens,-79.908407,46.079461
Mitchella repens,-78.023569,45.320222
Mitchella repens,-76.528969,45.851124
Mitchella repens,-77.427761,45.997724
Mitchella repens,-63.702451,45.616927
Mitchella repens,-77.286263,45.890257
Mitchella repens,-77.641242,45.646538
Mitchella repens,-63.155465,45.021177
Mitchella repens,-72.704873,45.406581
Mitchella repens,-72.393586,45.152547
Mitchella repens,-78.318674,43.951453
Mitchella repens,-69.150295,47.623374
Mitchella repens,-64.22793,45.716196
Mitchella repens,-63.531217,45.735022
Mitchella repens,-75.656204,45.820216
Mitchella repens,-73.176497,46.446378
Mitchella repens,-63.787615,44.77444
Mitchella repens,-64.876427,46.45105
