SPECIES,longitude,latitude
Oemleria cerasiformis,-121.886558,49.080047
Oemleria cerasiformis,-122.663498,50.562435
Oemleria cerasiformis,-123.971467,48.788094
Oemleria cerasiformis,-123.235505,49.269152
Oemleria cerasiformis,-123.4042,48.773636
Oemleria cerasiformis,-121.749886,49.198744
Oemleria cerasiformis,-123.549012,48.48147
Oemleria cerasiformis,-123.003748,49.306466
Oemleria cerasiformis,-123.057144,49.024389
Oemleria cerasiformis,-122.678766,49.097444
Oemleria cerasiformis,-122.58906,49.175372
Oemleria cerasiformis,-122.109125,49.014694
Oemleria cerasiformis,-121.862407,49.554118
Oemleria cerasiformis,-122.640878,49.385711
Oemleria cerasiformis,-122.688268,49.002679
Oemleria cerasiformis,-123.064492,49.122817
Oemleria cerasiformis,-123.859722,48.387778
Oemleria cerasiformis,-125.073311,49.747275
Oemleria cerasiformis,-123.15755,49.707772
Oemleria cerasiformis,-122.885378,49.384162
Oemleria cerasiformis,-123.507416,48.852372
Oemleria cerasiformis,-124.978247,49.677425
Oemleria cerasiformis,-123.690933,48.806831
Oemleria cerasiformis,-123.769798,49.062409
Oemleria cerasiformis,-123.959874,49.192658
Oemleria cerasiformis,-123.407805,48.678672
Oemleria cerasiformis,-122.917114,49.118336
Oemleria cerasiformis,-123.812148,49.183371
Oemleria cerasiformis,-123.64045,48.324036
Oemleria cerasiformis,-122.984253,50.100803
Oemleria cerasiformis,-122.844214,50.169048
Oemleria cerasiformis,-123.522095,48.606308
Oemleria cerasiformis,-123.822113,48.757233
Oemleria cerasiformis,-122.035094,49.09317
Oemleria cerasiformis,-121.961666,49.236542
Oemleria cerasiformis,-122.820174,49.048304
Oemleria cerasiformis,-122.490751,49.053147
Oemleria cerasiformis,-122.699919,49.297
Oemleria cerasiformis,-123.506317,48.384789
Oemleria cerasiformis,-122.758217,49.186122
Oemleria cerasiformis,-125.242479,49.984497
Oemleria cerasiformis,-123.033744,49.216576
Oemleria cerasiformis,-123.291812,48.437857
Oemleria cerasiformis,-122.297226,49.044445
Oemleria cerasiformis,-123.797837,48.96288
Oemleria cerasiformis,-121.416358,49.3149
Oemleria cerasiformis,-122.536111,49.272811
Oemleria cerasiformis,-124.662913,49.511223
Oemleria cerasiformis,-123.37297,48.884695
Oemleria cerasiformis,-123.286994,49.373831
Oemleria cerasiformis,-123.377792,48.51692
Oemleria cerasiformis,-118.5,51.4
Oemleria cerasiformis,-123.93,49.091667
Oemleria cerasiformis,-123.586143,48.999333
Oemleria cerasiformis,-122.841781,49.281003
Oemleria cerasiformis,-122.304169,49.135834
