SPECIES,longitude,latitude
Physalis heterophylla,-77.431242,44.142244
Physalis heterophylla,-81.469872,42.76428
Physalis heterophylla,-78.028073,43.967723
Physalis heterophylla,-77.740561,43.982708
Physalis heterophylla,-76.704446,44.627107
Physalis heterophylla,-76.915328,44.573417
Physalis heterophylla,-73.529657,45.559476
Physalis heterophylla,-76.201133,44.864833
Physalis heterophylla,-81.390875,42.948488
Physalis heterophylla,-79.509443,43.663988
Physalis heterophylla,-80.14275,43.338389
Physalis heterophylla,-81.60235,42.916158
Physalis heterophylla,-79.719063,44.399792
Physalis heterophylla,-80.297901,43.158943
Physalis heterophylla,-82.671897,41.72845
Physalis heterophylla,-81.138126,42.705444
Physalis heterophylla,-80.103394,44.469775
Physalis heterophylla,-82.51484,41.929238
Physalis heterophylla,-78.001505,44.355824
Physalis heterophylla,-79.489585,44.118109
Physalis heterophylla,-77.99582,44.748105
Physalis heterophylla,-76.037194,45.459503
Physalis heterophylla,-77.990516,44.109793
Physalis heterophylla,-78.999891,44.719589
Physalis heterophylla,-75.864883,44.453583
Physalis heterophylla,-75.189265,45.591232
Physalis heterophylla,-80.647409,42.693496
Physalis heterophylla,-73.850906,45.678982
Physalis heterophylla,-75.208711,45.358952
Physalis heterophylla,-76.371396,45.331251
Physalis heterophylla,-81.639839,42.587433
Physalis heterophylla,-75.402324,45.611132
Physalis heterophylla,-79.7424,44.5521
Physalis heterophylla,-78.359509,45.584858
Physalis heterophylla,-82.413481,42.950198
Physalis heterophylla,-80.053923,43.235834
Physalis heterophylla,-79.312042,43.144569
Physalis heterophylla,-76.091031,45.043347
Physalis heterophylla,-75.699873,45.081416
Physalis heterophylla,-75.626138,45.226456
Physalis heterophylla,-79.13974,44.067841
Physalis heterophylla,-78.939312,42.883535
Physalis heterophylla,-80.659848,43.18655
Physalis heterophylla,-79.357034,43.733548
Physalis heterophylla,-73.216667,45.966667
Physalis heterophylla,-75.016667,46.383333
Physalis heterophylla,-76.845726,44.73787
Physalis heterophylla,-76.62978,45.504946
Physalis heterophylla,-79.933868,44.601474
Physalis heterophylla,-80.444471,42.80112
Physalis heterophylla,-81.293952,44.826589
Physalis heterophylla,-81.92731,42.622843
Physalis heterophylla,-76.095819,44.794311
Physalis heterophylla,-78.933948,43.923235
Physalis heterophylla,-76.179729,44.694467
Physalis heterophylla,-78.659659,44.849001
Physalis heterophylla,-77.539502,44.410959
Physalis heterophylla,-81.445843,45.08981
Physalis heterophylla,-81.84979,43.250207
Physalis heterophylla,-81.715333,45.214997
Physalis heterophylla,-76.576401,44.822296
Physalis heterophylla,-77.858248,44.819911
Physalis heterophylla,-75.783629,45.394887
Physalis heterophylla,-79.454372,44.50802
Physalis heterophylla,-78.694718,45.082264
Physalis heterophylla,-75.661917,45.45709
Physalis heterophylla,-81.369563,44.494854
Physalis heterophylla,-81.638451,44.18438
Physalis heterophylla,-78.16136,44.098798
Physalis heterophylla,-81.842593,42.284061
Physalis heterophylla,-75.825544,45.286266
Physalis heterophylla,-79.505055,44.410541
Physalis heterophylla,-80.213172,43.573758
Physalis heterophylla,-76.696243,44.519192
Physalis heterophylla,-78.695192,45.541622
Physalis heterophylla,-71.235932,46.931356
Physalis heterophylla,-80.30515,42.8861
Physalis heterophylla,-81.576969,45.156646
Physalis heterophylla,-79.795495,45.220672
Physalis heterophylla,-75.81,45.5
Physalis heterophylla,-77.291122,44.485636
Physalis heterophylla,-80.805673,43.385658
Physalis heterophylla,-80.563953,45.929182
Physalis heterophylla,-79.244909,43.786822
Physalis heterophylla,-79.411583,43.980463
Physalis heterophylla,-81.244396,43.02914
Physalis heterophylla,-78.355468,44.65975
Physalis heterophylla,-80.975722,42.985247
Physalis heterophylla,-80.471,43.501
Physalis heterophylla,-74.3,45.45
Physalis heterophylla,-76.4667,45.4083
Physalis heterophylla,-75.55,45.3
Physalis heterophylla,-75.55,44.7
Physalis heterophylla,-80.22667,42.55238
Physalis heterophylla,-76.458117,44.249634
Physalis heterophylla,-78.100123,44.504212
Physalis heterophylla,-80.3325,42.717021
Physalis heterophylla,-80.047608,44.236572
Physalis heterophylla,-78.331724,44.30016
Physalis heterophylla,-76.034998,44.877528
Physalis heterophylla,-80.357392,43.354414
Physalis heterophylla,-79.869154,44.153951
Physalis heterophylla,-100.831111,49.428889
Physalis heterophylla,-80.489472,43.398024
Physalis heterophylla,-78.13198,44.620087
Physalis heterophylla,-80.479927,42.664588
Physalis heterophylla,-79.983044,43.894924
Physalis heterophylla,-74.051036,45.507331
Physalis heterophylla,-79.968581,43.743507
Physalis heterophylla,-81.692086,43.568897
Physalis heterophylla,-70.669509,47.029845
Physalis heterophylla,-81.0151,44.1149
Physalis heterophylla,-73.6611,45.5794
Physalis heterophylla,-75.6855,44.59733
Physalis heterophylla,-74.644172,45.649551
Physalis heterophylla,-64.84418,45.04205
Physalis heterophylla,-64.35247,45.06806
