SPECIES,longitude,latitude
Physalis virginiana,-99.593125,50.227017
Physalis virginiana,-99.293762,49.728413
Physalis virginiana,-99.948646,49.870264
Physalis virginiana,-100.572401,49.59171
Physalis virginiana,-99.5833,49.8333
Physalis virginiana,-99.491382,49.593335
Physalis virginiana,-96.562778,50.702222
Physalis virginiana,-96.5312091,50.21690168
Physalis virginiana,-96.883333,50.016667
Physalis virginiana,-99.09728805,49.7008889
Physalis virginiana,-99.24629471,49.86888882
Physalis virginiana,-74,45.783333
