SPECIES,longitude,latitude
Prunus americana,-97.273425,49.892537
Prunus americana,-82.360354,42.641729
Prunus americana,-75.879099,45.593727
Prunus americana,-72.722518,45.312778
Prunus americana,-73.695146,45.477538
Prunus americana,-75.148889,45.584214
Prunus americana,-76.531686,44.273393
Prunus americana,-80.643412,43.33252
Prunus americana,-79.914523,43.284925
Prunus americana,-79.737457,43.244016
Prunus americana,-78.300138,44.292711
Prunus americana,-80.609497,43.519366
Prunus americana,-96.871708,50.020644
Prunus americana,-81.341597,42.990714
Prunus americana,-73.080475,45.029134
Prunus americana,-80.742466,43.484354
Prunus americana,-74.936668,45.647221
Prunus americana,-75.843889,45.318889
Prunus americana,-79.361507,43.686178
Prunus americana,-75.703411,45.386882
Prunus americana,-80.24176,43.538677
Prunus americana,-79.055289,43.165681
Prunus americana,-80.345646,43.274441
Prunus americana,-80.26907,43.15137
Prunus americana,-97.139523,49.855607
Prunus americana,-80.545826,42.637188
Prunus americana,-80.410588,43.412499
Prunus americana,-77.15,45.6333
Prunus americana,-80.964729,43.375935
Prunus americana,-75.65,45.483333
Prunus americana,-96.82629,49.215
