SPECIES,longitude,latitude
Prunus emarginata,-122.854124,49.364419
Prunus emarginata,-122.645957,49.108217
Prunus emarginata,-118.994672,49.115394
Prunus emarginata,-123.48799,49.386782
Prunus emarginata,-123.958008,49.146339
Prunus emarginata,-125.176198,49.997792
Prunus emarginata,-124.612787,49.399105
Prunus emarginata,-117.640183,49.300012
Prunus emarginata,-124.972105,49.704182
Prunus emarginata,-120.9465,49.023
Prunus emarginata,-124.921377,49.334345
Prunus emarginata,-123.771902,48.389892
Prunus emarginata,-117.504622,49.07315
Prunus emarginata,-120.790517,49.070714
Prunus emarginata,-121.414017,49.706303
Prunus emarginata,-123.359872,49.433808
Prunus emarginata,-121.803333,49.113333
Prunus emarginata,-122.791117,49.13926
Prunus emarginata,-122.699092,49.29917
Prunus emarginata,-123.789335,49.157775
Prunus emarginata,-123.324028,48.447258
Prunus emarginata,-122.906325,49.242692
Prunus emarginata,-119.549747,49.043244
Prunus emarginata,-123.822145,48.758767
Prunus emarginata,-123.861914,49.477331
Prunus emarginata,-122.817844,50.294118
Prunus emarginata,-124.689949,50.123482
Prunus emarginata,-125.725528,49.874855
Prunus emarginata,-124.787627,49.45329
Prunus emarginata,-121.111264,49.075823
Prunus emarginata,-122.962306,51.046211
Prunus emarginata,-121.670821,50.009882
Prunus emarginata,-123.473342,48.557003
Prunus emarginata,-121.451528,49.088213
Prunus emarginata,-124.095448,48.435272
Prunus emarginata,-123.256824,49.364384
Prunus emarginata,-123.243019,49.527256
Prunus emarginata,-123.541173,48.658154
Prunus emarginata,-121.056428,49.228969
Prunus emarginata,-124.867938,49.548803
Prunus emarginata,-125.278342,50.260169
Prunus emarginata,-122.892824,50.533034
Prunus emarginata,-122.939133,50.920003
Prunus emarginata,-125.189439,50.103097
Prunus emarginata,-124.293,49.324
Prunus emarginata,-125.068748,49.792571
Prunus emarginata,-123.978492,49.543054
Prunus emarginata,-123.163771,49.927719
Prunus emarginata,-123.159496,49.672323
Prunus emarginata,-123.098545,48.770672
Prunus emarginata,-123.233333,49.266667
Prunus emarginata,-125.00071,49.586743
Prunus emarginata,-123.518505,48.962137
Prunus emarginata,-122.046433,49.095732
Prunus emarginata,-123.135854,49.829905
Prunus emarginata,-123.798912,49.067581
Prunus emarginata,-123.265188,48.828412
Prunus emarginata,-124.185169,49.464175
Prunus emarginata,-116,49.7
Prunus emarginata,-123,51.2
Prunus emarginata,-123.1,49.3
Prunus emarginata,-120.8,49.3
Prunus emarginata,-119.3,50.4
Prunus emarginata,-120.6,49.4
Prunus emarginata,-117.3,49.2
Prunus emarginata,-119.45,52.96
Prunus emarginata,-128.9,54.5
Prunus emarginata,-117.8,50.3
Prunus emarginata,-116.5,49.1
Prunus emarginata,-122.8,49.02
Prunus emarginata,-123.628625,49.061825
Prunus emarginata,-124,49.333333
Prunus emarginata,-124.55,49.316667
Prunus emarginata,-125.116667,48.866667
Prunus emarginata,-125.816667,49.15
Prunus emarginata,-120.9,49.534722
Prunus emarginata,-132.066667,53.25
Prunus emarginata,-124.386667,48.888333
Prunus emarginata,-124.983333,50.066944
Prunus emarginata,-124.525,49.896667
Prunus emarginata,-123.533333,48.383333
Prunus emarginata,-124.580556,49.516667
Prunus emarginata,-124.166667,49.283333
Prunus emarginata,-121.4,49.575
Prunus emarginata,-123.636803,48.325163
Prunus emarginata,-123.382559,48.87669
Prunus emarginata,-123.72078,48.920147
Prunus emarginata,-124.194019,48.838919
