SPECIES,longitude,latitude
Prunus pensylvanica,-60.089077,46.169888
Prunus pensylvanica,-63.000469,45.344289
Prunus pensylvanica,-78.164922,44.100461
Prunus pensylvanica,-80.549842,45.92785
Prunus pensylvanica,-80.873738,48.55689
Prunus pensylvanica,-66.321663,45.500357
Prunus pensylvanica,-75.895577,44.54384
Prunus pensylvanica,-84.002636,46.811942
Prunus pensylvanica,-62.624643,46.331718
Prunus pensylvanica,-80.198802,48.59877
Prunus pensylvanica,-95.257817,50.461531
Prunus pensylvanica,-66.69231,45.90284
Prunus pensylvanica,-64.678161,45.883441
Prunus pensylvanica,-64.727745,44.374645
Prunus pensylvanica,-77.35974,47.998854
Prunus pensylvanica,-80.185713,45.36099
Prunus pensylvanica,-60.288783,46.089493
Prunus pensylvanica,-62.728914,45.197744
Prunus pensylvanica,-66.685278,47.99
Prunus pensylvanica,-71.25841,47.163874
Prunus pensylvanica,-80.434158,46.122406
Prunus pensylvanica,-74.071014,45.468033
Prunus pensylvanica,-95.512569,50.039517
Prunus pensylvanica,-95.672106,50.147547
Prunus pensylvanica,-95.240158,50.049344
Prunus pensylvanica,-70.492128,47.427867
Prunus pensylvanica,-75.441662,45.512004
Prunus pensylvanica,-95.454023,50.566972
Prunus pensylvanica,-95.292421,50.736212
Prunus pensylvanica,-112.8993,53.238747
Prunus pensylvanica,-52.860694,47.218054
Prunus pensylvanica,-69.162934,48.138584
Prunus pensylvanica,-63.589467,44.885353
Prunus pensylvanica,-70.046989,47.365988
Prunus pensylvanica,-95.237686,49.805386
Prunus pensylvanica,-77.079542,45.176003
Prunus pensylvanica,-105.161866,53.775649
Prunus pensylvanica,-64.531101,47.96549
Prunus pensylvanica,-60.46878,46.82553
Prunus pensylvanica,-64.831665,46.128878
Prunus pensylvanica,-64.93726,46.837288
Prunus pensylvanica,-75.6857,45.346888
Prunus pensylvanica,-110.138176,54.461727
Prunus pensylvanica,-84.946608,47.529519
Prunus pensylvanica,-63.986962,45.637276
Prunus pensylvanica,-60.6487,46.558278
Prunus pensylvanica,-92.710166,49.687804
Prunus pensylvanica,-73.19603,47.121125
Prunus pensylvanica,-105.004897,54.35773
Prunus pensylvanica,-61.941203,47.245142
Prunus pensylvanica,-79.973703,45.15942
Prunus pensylvanica,-76.800586,44.608441
Prunus pensylvanica,-81.429525,48.273298
Prunus pensylvanica,-83.895617,46.299756
Prunus pensylvanica,-64.629641,46.300218
Prunus pensylvanica,-111.18212,56.48278
Prunus pensylvanica,-81.790251,45.104056
Prunus pensylvanica,-60.481067,46.406826
Prunus pensylvanica,-81.279671,43.707996
Prunus pensylvanica,-63.91002,44.580178
Prunus pensylvanica,-88.676628,48.825745
Prunus pensylvanica,-62.560183,46.181575
Prunus pensylvanica,-84.549379,46.943259
Prunus pensylvanica,-75.458268,51.531648
Prunus pensylvanica,-84.583572,46.540661
Prunus pensylvanica,-84.334978,46.833605
Prunus pensylvanica,-122.821056,53.937297
Prunus pensylvanica,-52.731127,47.540764
Prunus pensylvanica,-60.851817,46.248685
Prunus pensylvanica,-60.040611,46.028564
Prunus pensylvanica,-65.002844,47.772472
Prunus pensylvanica,-64.713242,46.058945
Prunus pensylvanica,-81.762213,46.256622
Prunus pensylvanica,-106.454492,52.134584
Prunus pensylvanica,-96.102109,50.260946
Prunus pensylvanica,-63.995466,45.392902
Prunus pensylvanica,-65.039592,46.03035
Prunus pensylvanica,-91.585752,50.202152
Prunus pensylvanica,-111.390816,56.73584
Prunus pensylvanica,-63.413982,45.006363
Prunus pensylvanica,-121.222959,55.718998
Prunus pensylvanica,-76.193333,44.296323
Prunus pensylvanica,-113.951805,53.31675
Prunus pensylvanica,-78.2747,44.972806
Prunus pensylvanica,-96.885614,50.030056
Prunus pensylvanica,-114.39634,49.350652
Prunus pensylvanica,-84.450245,48.285317
Prunus pensylvanica,-78.879107,46.29423
Prunus pensylvanica,-65.824525,43.723492
Prunus pensylvanica,-79.063585,45.275979
Prunus pensylvanica,-85.659935,48.688417
Prunus pensylvanica,-63.532112,45.21687
Prunus pensylvanica,-92.127083,49.997018
Prunus pensylvanica,-71.97854,48.376276
Prunus pensylvanica,-89.775117,50.902803
Prunus pensylvanica,-52.748937,47.670853
Prunus pensylvanica,-90.088194,48.366375
Prunus pensylvanica,-81.638062,49.134975
Prunus pensylvanica,-63.70247,46.559097
Prunus pensylvanica,-106.292416,53.593747
Prunus pensylvanica,-90.355963,48.427362
Prunus pensylvanica,-87.075469,49.0533
Prunus pensylvanica,-115.063042,50.98595
Prunus pensylvanica,-91.129555,48.672072
Prunus pensylvanica,-64.229912,45.394681
Prunus pensylvanica,-113.60263,53.50839
Prunus pensylvanica,-114.084832,52.342629
Prunus pensylvanica,-64.910751,45.619828
Prunus pensylvanica,-92.385209,51.205963
Prunus pensylvanica,-71.663422,48.68342
Prunus pensylvanica,-115.542342,51.213073
Prunus pensylvanica,-70.206313,47.295688
Prunus pensylvanica,-67.324449,46.204887
Prunus pensylvanica,-93.828675,48.918002
Prunus pensylvanica,-71.975005,45.114347
Prunus pensylvanica,-84.75,47
Prunus pensylvanica,-84.424203,46.511633
Prunus pensylvanica,-112.845568,53.652123
Prunus pensylvanica,-79.687346,44.367826
Prunus pensylvanica,-65.64914,47.603169
Prunus pensylvanica,-71.237022,48.216175
Prunus pensylvanica,-83.566698,46.243948
Prunus pensylvanica,-114.076828,51.054157
Prunus pensylvanica,-81.065719,46.369428
Prunus pensylvanica,-112.994912,53.481955
Prunus pensylvanica,-66.059671,45.290456
Prunus pensylvanica,-70.787955,45.56853
Prunus pensylvanica,-89.138289,49.725064
Prunus pensylvanica,-79.995389,44.550594
Prunus pensylvanica,-65.344528,43.631192
Prunus pensylvanica,-84.115421,46.398225
Prunus pensylvanica,-79.348908,45.540253
Prunus pensylvanica,-79.274635,44.81581
Prunus pensylvanica,-76.087071,44.80792
Prunus pensylvanica,-75.226597,45.207124
Prunus pensylvanica,-74.145594,46.028666
Prunus pensylvanica,-64.593525,44.432873
Prunus pensylvanica,-73.574308,45.806923
Prunus pensylvanica,-79.756928,44.640545
Prunus pensylvanica,-113.779521,52.281276
Prunus pensylvanica,-65.930393,44.606733
Prunus pensylvanica,-113.463138,53.557053
Prunus pensylvanica,-76.402346,45.784433
Prunus pensylvanica,-78.35526,44.574378
Prunus pensylvanica,-77.699931,45.358633
Prunus pensylvanica,-72.322022,45.298192
Prunus pensylvanica,-63.438058,44.659564
Prunus pensylvanica,-118.097375,53.069664
Prunus pensylvanica,-77.996267,44.610935
Prunus pensylvanica,-71.340088,49.027203
Prunus pensylvanica,-73.468522,45.556156
Prunus pensylvanica,-73.167028,45.986628
Prunus pensylvanica,-76.099501,44.906112
Prunus pensylvanica,-73.441212,45.646577
Prunus pensylvanica,-73.891681,45.512994
Prunus pensylvanica,-65.575424,44.518819
Prunus pensylvanica,-75.961105,45.338601
Prunus pensylvanica,-65.398275,44.661083
Prunus pensylvanica,-77.446365,45.998191
Prunus pensylvanica,-80.352193,42.705622
Prunus pensylvanica,-74.428925,45.561265
Prunus pensylvanica,-64.491615,45.078768
Prunus pensylvanica,-61.172333,45.948028
Prunus pensylvanica,-59.200554,47.820278
Prunus pensylvanica,-60.610643,46.144708
Prunus pensylvanica,-76.252938,45.787919
Prunus pensylvanica,-79.121728,44.799369
Prunus pensylvanica,-79.206392,46.834947
Prunus pensylvanica,-78.4,48.32
Prunus pensylvanica,-62.434805,45.4008
Prunus pensylvanica,-89.681586,48.116594
Prunus pensylvanica,-65.8025,44.649167
Prunus pensylvanica,-66.764525,45.999779
Prunus pensylvanica,-75.398106,45.611801
Prunus pensylvanica,-80.800669,43.434408
Prunus pensylvanica,-63.677126,44.707471
Prunus pensylvanica,-100.541213,49.701708
Prunus pensylvanica,-52.864055,47.529317
Prunus pensylvanica,-78.263533,45.544624
Prunus pensylvanica,-68.54972,49.060039
Prunus pensylvanica,-69.506895,48.313258
Prunus pensylvanica,-76.728447,47.221438
Prunus pensylvanica,-71.939092,46.843122
Prunus pensylvanica,-80.933171,46.709637
Prunus pensylvanica,-72.11754,45.309743
Prunus pensylvanica,-66.299041,45.191742
Prunus pensylvanica,-84.811014,47.72437
Prunus pensylvanica,-82.355776,48.707157
Prunus pensylvanica,-79.130993,44.085826
Prunus pensylvanica,-81.75336,48.34405
Prunus pensylvanica,-80.35128,45.383567
Prunus pensylvanica,-80.380338,47.756027
Prunus pensylvanica,-79.479945,46.341564
Prunus pensylvanica,-89.201653,50.681208
