SPECIES,longitude,latitude
Prunus pumila,-81.591933,44.293309
Prunus pumila,-81.338327,44.548137
Prunus pumila,-81.380555,46.592892
Prunus pumila,-80.233925,44.513378
Prunus pumila,-81.422267,44.450737
Prunus pumila,-83.146468,45.869597
Prunus pumila,-84.746247,47.438358
Prunus pumila,-81.451685,44.943711
Prunus pumila,-77.239223,43.907027
Prunus pumila,-95.233275,49.803392
Prunus pumila,-81.214462,44.467066
Prunus pumila,-93.826705,49.427425
Prunus pumila,-81.727708,43.804528
Prunus pumila,-79.995544,44.564505
Prunus pumila,-84.514153,46.916112
Prunus pumila,-81.650508,45.095595
Prunus pumila,-81.788351,45.076249
Prunus pumila,-84.098863,46.508993
Prunus pumila,-76.13755,45.249643
Prunus pumila,-65.923973,45.482033
Prunus pumila,-78.35516,44.574817
Prunus pumila,-79.360021,43.676517
Prunus pumila,-86.357154,48.411875
Prunus pumila,-96.589907,50.237962
Prunus pumila,-86.29694,48.58982
Prunus pumila,-71.870806,48.67625
Prunus pumila,-80.054436,42.546867
Prunus pumila,-66.055258,45.362386
Prunus pumila,-81.270522,44.636438
Prunus pumila,-81.853554,45.967411
Prunus pumila,-80.212547,45.507286
Prunus pumila,-77.731304,44.150641
Prunus pumila,-84.236007,46.842359
Prunus pumila,-82.863749,46.185671
Prunus pumila,-77.699635,44.047706
Prunus pumila,-95.513885,50.015225
Prunus pumila,-79.49144,44.12368
Prunus pumila,-96.275339,49.423468
Prunus pumila,-84.650087,47.153066
Prunus pumila,-80.08652,44.475474
Prunus pumila,-82.608033,45.684607
Prunus pumila,-67.286077,47.791309
Prunus pumila,-99.35,49.866667
Prunus pumila,-79.083619,44.750933
Prunus pumila,-86.777559,48.78286
Prunus pumila,-93.265535,48.765308
Prunus pumila,-71.233383,48.441405
Prunus pumila,-101.745912,52.976978
Prunus pumila,-76.7018,45.8037
Prunus pumila,-96.595146,50.56698
Prunus pumila,-94.268174,49.123294
Prunus pumila,-81.95,42.2
Prunus pumila,-78.833275,44.859475
Prunus pumila,-82.02178,46.09937
Prunus pumila,-94.650694,48.907686
Prunus pumila,-84.838898,47.92978
Prunus pumila,-84.64973,47.325068
Prunus pumila,-94.116856,49.049683
Prunus pumila,-94.528872,49.786519
Prunus pumila,-80.104841,44.863591
Prunus pumila,-81.43581,45.141837
Prunus pumila,-81.693462,45.305688
Prunus pumila,-82.732193,45.783585
Prunus pumila,-84.67935,46.693155
Prunus pumila,-82.018602,45.740379
Prunus pumila,-94.889797,49.718979
Prunus pumila,-96.333444,49.207972
Prunus pumila,-81.841085,42.281512
Prunus pumila,-82.940224,45.827279
Prunus pumila,-76.087444,45.496144
Prunus pumila,-79.513278,43.591438
Prunus pumila,-81.317075,44.825413
Prunus pumila,-83.027092,46.200608
Prunus pumila,-77.385916,43.925053
Prunus pumila,-80.216535,42.418057
Prunus pumila,-83.255954,46.310398
Prunus pumila,-84.705742,46.966618
Prunus pumila,-80.6,46.016667
Prunus pumila,-81.26311,44.73307
Prunus pumila,-84.667147,47.569258
Prunus pumila,-81.537328,44.51342
Prunus pumila,-81.296005,45.240038
Prunus pumila,-97.449019,50.070144
Prunus pumila,-82.268512,45.667062
Prunus pumila,-83.271171,45.995964
Prunus pumila,-84.534547,48.166485
Prunus pumila,-81.515989,44.823452
Prunus pumila,-81.758067,45.202003
Prunus pumila,-77.268868,43.806452
Prunus pumila,-77.994265,44.108084
Prunus pumila,-81.416286,45.049232
Prunus pumila,-84.519623,46.473438
Prunus pumila,-99.281536,49.659357
Prunus pumila,-80.961358,44.957403
Prunus pumila,-77.8333,45.5
Prunus pumila,-75.5,45.2833
Prunus pumila,-75.8833,45.3833
Prunus pumila,-77.7333,45.7
Prunus pumila,-79.85,44.8833
Prunus pumila,-67.1,48.0833
Prunus pumila,-82.5167,41.9667
Prunus pumila,-98.2667,53.4833
Prunus pumila,-77.4,45.6167
Prunus pumila,-93.2833,48.65
Prunus pumila,-98.8,51.9333
Prunus pumila,-75.7333,45.4167
Prunus pumila,-81.548007,44.414414
Prunus pumila,-81.374477,45.382763
Prunus pumila,-98.301583,49.402889
Prunus pumila,-99.67730743,49.75188641
Prunus pumila,-96.59799134,50.43045841
Prunus pumila,-95.3251751,50.90190965
Prunus pumila,-95.76685241,50.3999054
Prunus pumila,-99.51730111,49.64988682
Prunus pumila,-96.562778,50.702222
Prunus pumila,-96.5562093,50.14990129
Prunus pumila,-96.10879861,49.37684423
Prunus pumila,-81.854941,43.256396
Prunus pumila,-81.492459,45.231608
Prunus pumila,-78.331749,44.300606
Prunus pumila,-81.762013,43.316935
Prunus pumila,-81.968951,43.210391
Prunus pumila,-70.476062,47.14023
Prunus pumila,-71.35,46.746389
Prunus pumila,-67.483333,46
Prunus pumila,-66.566667,45.766667
Prunus pumila,-84.866667,47.766667
Prunus pumila,-66.827489,45.994787
Prunus pumila,-68.836174,47.985322
