SPECIES,longitude,latitude
Prunus serotina,-79.854146,43.393505
Prunus serotina,-76.297458,44.353185
Prunus serotina,-62.106466,45.352934
Prunus serotina,-81.3973,46.017956
Prunus serotina,-76.313793,45.547817
Prunus serotina,-63.873851,45.697175
Prunus serotina,-78.720258,45.364854
Prunus serotina,-63.570239,44.622096
Prunus serotina,-75.6865,45.347033
Prunus serotina,-76.488649,45.608421
Prunus serotina,-64.301752,45.014504
Prunus serotina,-66.644847,45.820492
Prunus serotina,-65.475292,43.454992
Prunus serotina,-75.018812,44.962266
Prunus serotina,-65.807678,44.549422
Prunus serotina,-62.606963,45.519184
Prunus serotina,-80.238143,45.345717
Prunus serotina,-75.996451,45.760442
Prunus serotina,-65.433945,44.706945
Prunus serotina,-79.433717,43.762037
Prunus serotina,-78.2747,44.972806
Prunus serotina,-79.909417,46.081407
Prunus serotina,-77.064926,44.154862
Prunus serotina,-79.043861,42.88858
Prunus serotina,-79.817809,44.834745
Prunus serotina,-66.057144,44.092271
Prunus serotina,-64.315803,44.511367
Prunus serotina,-65.31684,43.765546
Prunus serotina,-63.162813,45.068176
Prunus serotina,-81.070786,44.76995
Prunus serotina,-122.938889,49.245278
Prunus serotina,-75.928465,45.641103
Prunus serotina,-64.684805,45.052558
Prunus serotina,-79.050858,43.160442
Prunus serotina,-81.55138,43.76843
Prunus serotina,-70.651052,46.113928
Prunus serotina,-81.114258,44.661449
Prunus serotina,-79.661395,43.756847
Prunus serotina,-79.433083,43.932655
Prunus serotina,-79.290971,43.676737
Prunus serotina,-78.537124,44.340962
Prunus serotina,-75.84906,45.766762
Prunus serotina,-64.866069,44.974279
Prunus serotina,-81.278809,43.707977
Prunus serotina,-79.944142,43.062498
Prunus serotina,-76.800923,44.607271
Prunus serotina,-75.883742,44.891914
Prunus serotina,-74.721547,45.171767
Prunus serotina,-65.595932,43.537287
Prunus serotina,-64.141794,44.98826
Prunus serotina,-82.072187,46.2198
Prunus serotina,-73.445334,45.742853
Prunus serotina,-76.699007,44.172188
Prunus serotina,-81.198007,46.111714
Prunus serotina,-71.940772,45.393081
Prunus serotina,-79.799697,43.743637
Prunus serotina,-79.462972,43.65045
Prunus serotina,-79.209647,45.383081
Prunus serotina,-65.822983,43.720755
Prunus serotina,-79.05783,43.938645
Prunus serotina,-80.695678,44.535192
Prunus serotina,-122.655794,49.022392
Prunus serotina,-76.134072,44.444302
Prunus serotina,-63.42812,45.749947
Prunus serotina,-78.675094,43.961777
Prunus serotina,-76.233101,44.91486
Prunus serotina,-80.469278,42.683495
Prunus serotina,-79.972157,44.676507
Prunus serotina,-79.630242,45.600392
Prunus serotina,-76.91691,45.887959
Prunus serotina,-74.128686,45.477997
Prunus serotina,-78.858192,45.261608
Prunus serotina,-77.148807,43.997014
Prunus serotina,-79.946739,43.540691
Prunus serotina,-75.836617,44.539072
Prunus serotina,-79.779627,43.209477
Prunus serotina,-78.857731,44.63399
Prunus serotina,-75.949095,45.32818
Prunus serotina,-81.432992,43.980434
Prunus serotina,-123.652203,48.746401
Prunus serotina,-60.928982,46.213596
Prunus serotina,-66.797123,45.605302
Prunus serotina,-79.659052,44.789295
Prunus serotina,-66.61513,46.196217
Prunus serotina,-79.947007,43.831106
Prunus serotina,-79.475688,44.63302
Prunus serotina,-64.539697,44.39888
Prunus serotina,-65.831651,43.940656
Prunus serotina,-80.145384,43.320012
Prunus serotina,-80.37973,44.334417
Prunus serotina,-81.797068,43.163995
Prunus serotina,-65.365592,44.801064
Prunus serotina,-76.456952,44.339472
Prunus serotina,-75.187117,45.441664
Prunus serotina,-80.932145,44.52832
Prunus serotina,-65.450604,45.699938
Prunus serotina,-79.743781,44.427174
Prunus serotina,-76.380538,45.330167
Prunus serotina,-80.487848,43.395435
Prunus serotina,-80.276918,43.577796
Prunus serotina,-78.647568,44.912993
Prunus serotina,-66.666328,45.985073
Prunus serotina,-78.202705,44.877195
Prunus serotina,-76.372988,44.655084
Prunus serotina,-77.326434,45.811194
Prunus serotina,-80.249275,43.694212
Prunus serotina,-78.256897,44.183495
Prunus serotina,-79.740935,43.510109
Prunus serotina,-78.57332,44.083253
Prunus serotina,-79.920659,43.222087
Prunus serotina,-79.9574,43.447302
Prunus serotina,-76.782644,44.336316
Prunus serotina,-77.241158,44.708214
Prunus serotina,-80.509528,43.486681
Prunus serotina,-77.82457,44.998317
Prunus serotina,-80.771479,43.512473
Prunus serotina,-77.197228,44.898903
Prunus serotina,-66.89,46
Prunus serotina,-77.686321,44.001551
Prunus serotina,-81.686705,43.563245
Prunus serotina,-80.965667,43.4685
Prunus serotina,-76.350218,45.787596
Prunus serotina,-81.695867,43.723009
Prunus serotina,-78.906103,45.389498
Prunus serotina,-78.72888,44.097515
Prunus serotina,-80.193786,44.317206
Prunus serotina,-81.109039,42.676075
Prunus serotina,-78.010186,44.288897
Prunus serotina,-79.692033,44.097369
Prunus serotina,-80.257801,43.195956
Prunus serotina,-78.400438,43.937744
Prunus serotina,-77.390835,44.289425
Prunus serotina,-80.016721,44.831582
Prunus serotina,-94.696788,48.826338
Prunus serotina,-76.468813,44.558738
Prunus serotina,-79.802458,45.291821
Prunus serotina,-80.736003,43.390854
Prunus serotina,-79.557744,45.821891
Prunus serotina,-75.27861,45.016666
Prunus serotina,-78.146631,44.274339
Prunus serotina,-78.718893,44.63919
Prunus serotina,-78.403493,44.22652
Prunus serotina,-79.503232,44.060617
Prunus serotina,-81.787979,43.276675
Prunus serotina,-71.265592,46.112066
Prunus serotina,-80.243014,43.436856
Prunus serotina,-74.002289,45.633411
Prunus serotina,-64.999687,44.965111
Prunus serotina,-63.724446,45.173896
Prunus serotina,-123.199769,49.272189
Prunus serotina,-72.737522,45.027131
Prunus serotina,-81.107553,43.869109
Prunus serotina,-73.204391,45.68009
Prunus serotina,-119.0007,49.058464
Prunus serotina,-72.184546,45.194635
Prunus serotina,-73.266927,45.895209
Prunus serotina,-64.631897,44.484734
Prunus serotina,-72.79,45.454722
Prunus serotina,-72.416389,45.224444
Prunus serotina,-72.452249,45.582486
Prunus serotina,-72.46651,45.824181
Prunus serotina,-78.707192,44.798678
Prunus serotina,-71.378331,45.835205
Prunus serotina,-72.578064,45.938445
Prunus serotina,-79.724702,44.680698
Prunus serotina,-75.134168,45.82072
Prunus serotina,-80.129903,44.213408
Prunus serotina,-72.616905,45.338542
Prunus serotina,-72.544461,45.732804
Prunus serotina,-73.867804,45.302216
Prunus serotina,-72.553546,45.419062
Prunus serotina,-72.849066,45.652669
Prunus serotina,-72.211428,45.363512
Prunus serotina,-74.054516,45.767655
Prunus serotina,-73.589283,45.410397
Prunus serotina,-70.465824,46.386439
Prunus serotina,-73.607423,45.758156
Prunus serotina,-74.200874,46.028652
Prunus serotina,-72.628125,46.355256
Prunus serotina,-78.497893,44.52878
Prunus serotina,-80.899857,42.996449
Prunus serotina,-79.736594,42.995433
Prunus serotina,-79.192117,44.79716
Prunus serotina,-79.504016,43.839896
Prunus serotina,-63.667817,44.728788
Prunus serotina,-80.92876,42.73307
Prunus serotina,-81.192203,42.75835
Prunus serotina,-78.452169,44.122353
Prunus serotina,-81.893708,43.221355
Prunus serotina,-76.690617,45.280619
Prunus serotina,-81.618408,42.973233
Prunus serotina,-78.883517,45.557587
Prunus serotina,-75.100941,45.645957
Prunus serotina,-79.279686,43.094994
Prunus serotina,-65.686185,44.612445
Prunus serotina,-64.888345,44.432188
Prunus serotina,-65.22281,44.595649
Prunus serotina,-66.506437,45.469183
Prunus serotina,-76.076347,45.112214
Prunus serotina,-80.562456,44.077996
Prunus serotina,-76.512277,44.750172
Prunus serotina,-79.485502,45.381568
Prunus serotina,-80.487172,42.585608
Prunus serotina,-76.577768,45.439866
Prunus serotina,-78.896152,43.853696
Prunus serotina,-75.717797,44.944788
Prunus serotina,-77.670227,44.459938
Prunus serotina,-74.46596,45.560062
Prunus serotina,-79.848719,44.739304
Prunus serotina,-67.456287,45.877898
Prunus serotina,-79.658851,45.25844
Prunus serotina,-79.930113,43.932637
Prunus serotina,-75.480622,45.082588
Prunus serotina,-64.69205,45.999464
Prunus serotina,-81.363631,44.492419
Prunus serotina,-74.289376,45.438154
Prunus serotina,-76.384066,44.13495
Prunus serotina,-76.417112,44.241833
Prunus serotina,-67.74071,46.018351
Prunus serotina,-81.489512,45.08573
Prunus serotina,-73.812967,45.830541
Prunus serotina,-79.38479,46.237638
Prunus serotina,-71.141579,46.535061
Prunus serotina,-79.107857,48.776508
Prunus serotina,-80.993492,46.496239
Prunus serotina,-75.560255,45.770892
Prunus serotina,-64.392389,48.767012
Prunus serotina,-71.933811,45.828144
Prunus serotina,-94.848711,49.768033
Prunus serotina,-78.363709,44.548728
Prunus serotina,-79.365988,44.72216
Prunus serotina,-73.507752,45.505395
Prunus serotina,-74.319859,45.864702
Prunus serotina,-73.006944,45.412222
Prunus serotina,-72.014473,45.747636
Prunus serotina,-75.637318,46.309523
Prunus serotina,-72.75562,45.360325
Prunus serotina,-64.580355,44.222306
Prunus serotina,-77.518567,44.586569
Prunus serotina,-73.977333,45.851578
Prunus serotina,-78.699797,45.080289
Prunus serotina,-72.166592,46.166272
Prunus serotina,-71.847345,46.086395
Prunus serotina,-63.336005,45.053107
