SPECIES,longitude,latitude
Ribes americanum,-75.462987,45.460803
Ribes americanum,-83.157469,45.865618
Ribes americanum,-97.144233,49.761397
Ribes americanum,-65.805395,45.461521
Ribes americanum,-65.475334,45.712963
Ribes americanum,-81.551052,42.554212
Ribes americanum,-100.247604,51.858467
Ribes americanum,-81.86444,42.255456
Ribes americanum,-79.890391,43.637146
Ribes americanum,-97.047128,49.9152
Ribes americanum,-76.140743,44.441099
Ribes americanum,-81.458506,45.103252
Ribes americanum,-114.078928,52.318318
Ribes americanum,-99.910997,49.716435
Ribes americanum,-80.514614,43.866638
Ribes americanum,-73.313758,45.025764
Ribes americanum,-99.445012,49.435085
Ribes americanum,-78.207528,44.254353
Ribes americanum,-79.112594,43.252033
Ribes americanum,-73.5384,45.369933
Ribes americanum,-77.675977,43.997803
Ribes americanum,-73.763275,45.371559
Ribes americanum,-75.707808,45.250312
Ribes americanum,-75.950124,45.343803
Ribes americanum,-73.283704,45.355188
Ribes americanum,-74.127739,45.475405
Ribes americanum,-80.500412,42.714059
Ribes americanum,-73.659522,45.575163
Ribes americanum,-73.755504,45.4759
Ribes americanum,-80.03113,43.486867
Ribes americanum,-73.552186,45.464717
Ribes americanum,-80.018039,43.282734
Ribes americanum,-75.149274,44.915569
Ribes americanum,-79.4608,43.7811
Ribes americanum,-97.949762,50.3804
Ribes americanum,-73.448045,45.594842
Ribes americanum,-82.63703,41.827961
Ribes americanum,-79.449905,47.308078
Ribes americanum,-76.608401,44.220065
Ribes americanum,-80.461061,43.506432
Ribes americanum,-79.815863,44.136139
Ribes americanum,-76.436481,44.311551
Ribes americanum,-82.23621,42.944399
Ribes americanum,-75.828545,45.2834
Ribes americanum,-78.96067,43.842395
Ribes americanum,-76.629314,44.369137
Ribes americanum,-113.076985,52.367649
Ribes americanum,-82.970633,42.343053
Ribes americanum,-80.956915,46.420675
Ribes americanum,-81.330619,42.687754
Ribes americanum,-80.776238,44.05804
Ribes americanum,-80.660027,43.186979
Ribes americanum,-87.519953,48.834363
Ribes americanum,-88.263046,48.949072
Ribes americanum,-89.569013,48.368376
Ribes americanum,-91.922672,50.095652
Ribes americanum,-107.620529,53.280502
Ribes americanum,-81.640685,43.7258
Ribes americanum,-79.88918,47.795923
Ribes americanum,-79.287012,43.099317
Ribes americanum,-80.548013,43.684768
Ribes americanum,-67.763091,46.24487
Ribes americanum,-114.223665,53.823482
Ribes americanum,-96.577738,50.415663
