SPECIES,longitude,latitude
Ribes aureum,-115.782661,49.500179
Ribes aureum,-115.355949,51.092918
Ribes aureum,-102.16481,49.228153
Ribes aureum,-97.108996,49.899219
Ribes aureum,-114.018074,51.028172
Ribes aureum,-78.336465,44.309464
Ribes aureum,-79.066933,43.115528
Ribes aureum,-114.257438,49.395263
Ribes aureum,-123.481041,48.857716
Ribes aureum,-79.64175,43.726256
Ribes aureum,-80.101261,43.556983
Ribes aureum,-111.808927,50.537166
Ribes aureum,-79.208838,43.081097
Ribes aureum,-73.588803,45.428404
Ribes aureum,-79.291653,44.118002
Ribes aureum,-78.937778,43.889167
Ribes aureum,-73.756353,45.478086
Ribes aureum,-119.538895,49.168633
Ribes aureum,-119.581353,49.506592
Ribes aureum,-79.425377,43.841808
Ribes aureum,-112.857101,49.641434
Ribes aureum,-52.690054,47.580495
Ribes aureum,-113.845523,52.271277
Ribes aureum,-112.850228,49.751199
Ribes aureum,-111.27509,49.05953
Ribes aureum,-77.748723,44.202896
Ribes aureum,-113.564167,53.440556
Ribes aureum,-112.702242,51.45982
Ribes aureum,-79.746769,43.579656
Ribes aureum,-76.972595,45.723917
Ribes aureum,-73.210963,45.589545
Ribes aureum,-108.407919,49.652992
Ribes aureum,-104.314986,51.763998
Ribes aureum,-104.660471,50.501831
Ribes aureum,-80.709917,43.400554
Ribes aureum,-79.351399,43.739194
Ribes aureum,-113.981304,51.285109
Ribes aureum,-112.665004,49.456211
Ribes aureum,-72.543606,46.375989
Ribes aureum,-110.898018,49.866035
Ribes aureum,-113.913916,50.798736
Ribes aureum,-73.509352,45.603311
Ribes aureum,-71.242889,46.827533
Ribes aureum,-114.190923,51.124041
Ribes aureum,-111.828817,51.459138
Ribes aureum,-80.495992,43.445474
Ribes aureum,-111.053579,56.462696
Ribes aureum,-73.432871,45.511681
Ribes aureum,-74.380912,46.023067
Ribes aureum,-113.149517,52.92139
Ribes aureum,-71.354394,46.779477
Ribes aureum,-108.384655,49.210458
Ribes aureum,-112.679402,49.611668
Ribes aureum,-70.667956,46.113494
Ribes aureum,-73.914191,45.548118
Ribes aureum,-110.626709,50.01051
Ribes aureum,-106.689072,52.131127
Ribes aureum,-73.51909,45.708282
Ribes aureum,-72.849177,45.651946
Ribes aureum,-73.796273,45.688648
Ribes aureum,-120.394783,50.650022
Ribes aureum,-117.286469,49.500381
Ribes aureum,-64.365527,45.898677
Ribes aureum,-76.228795,44.836951
Ribes aureum,-119.553611,55.331944
Ribes aureum,-71.743028,46.673464
Ribes aureum,-77.845987,44.120882
Ribes aureum,-104.622804,50.112162
Ribes aureum,-75.886189,45.303391
Ribes aureum,-73.648759,45.560585
Ribes aureum,-71.261582,48.408452
Ribes aureum,-113.480201,53.555875
Ribes aureum,-77.078681,44.044114
Ribes aureum,-114.060328,50.842475
Ribes aureum,-102.791667,50.925556
Ribes aureum,-113.39199,53.4078
Ribes aureum,-113.99856,50.93905
Ribes aureum,-76.581286,44.266056
Ribes aureum,-80.249878,43.511134
Ribes aureum,-70.8517,46.598562
Ribes aureum,-75.699759,45.433791
Ribes aureum,-108.846935,49.505668
Ribes aureum,-119.411394,49.938596
Ribes aureum,-79.893008,43.2847
Ribes aureum,-114.016818,51.125238
Ribes aureum,-119.585341,49.270144
Ribes aureum,-111.617308,49.083373
Ribes aureum,-79.5066,43.600983
Ribes aureum,-111.477236,49.903142
Ribes aureum,-111.905794,50.446465
Ribes aureum,-79.892192,44.749516
Ribes aureum,-82.11402,42.87668
Ribes aureum,-119.67,49.6
Ribes aureum,-77.518204,44.414955
Ribes aureum,-119.15,49.033333
Ribes aureum,-77.326734,44.335237
Ribes aureum,-117.42,56.161
Ribes aureum,-110.591619,49.001458
Ribes aureum,-113.016667,49.016667
Ribes aureum,-114.516667,53.8
Ribes aureum,-64.64854,44.14703
