SPECIES,longitude,latitude
Ribes cereum,-121.524384,50.261189
Ribes cereum,-119.376228,50.152313
Ribes cereum,-118.444969,49.045379
Ribes cereum,-119.624489,49.099636
Ribes cereum,-118.983788,49.111569
Ribes cereum,-119.505755,49.467587
Ribes cereum,-119.310431,49.174292
Ribes cereum,-119.585939,49.294861
Ribes cereum,-120.599,49.3597
Ribes cereum,-119.775818,49.17564
Ribes cereum,-119.671728,49.597244
Ribes cereum,-120.258049,49.417919
Ribes cereum,-120.394403,50.648772
Ribes cereum,-119.645378,49.507317
Ribes cereum,-119.444923,49.153916
Ribes cereum,-119.684029,49.015076
Ribes cereum,-119.614167,49.20028
Ribes cereum,-119.146277,49.034237
Ribes cereum,-119.285706,49.004462
Ribes cereum,-120.073814,49.132442
Ribes cereum,-121.912157,50.711466
Ribes cereum,-119.400172,49.948801
Ribes cereum,-119.360854,49.842265
Ribes cereum,-120.556764,50.757944
Ribes cereum,-119.586952,49.851936
Ribes cereum,-121.151858,50.31941
Ribes cereum,-120.137428,49.37205
Ribes cereum,-119.253486,50.208181
Ribes cereum,-120.726898,50.752815
Ribes cereum,-121.94,52.05
Ribes cereum,-120.5,49.5
Ribes cereum,-121.7,50.8
Ribes cereum,-121.3,50.7
Ribes cereum,-123.56,52.29
Ribes cereum,-118.6,49.1
Ribes cereum,-119.95,49.083333
Ribes cereum,-121.55,50.633333
Ribes cereum,-120.766667,49.1
Ribes cereum,-119.45,49.033333
Ribes cereum,-119.866667,49.830556
Ribes cereum,-120.533333,50.180556
