SPECIES,longitude,latitude
Ribes cynosbati,-75.461416,45.461344
Ribes cynosbati,-81.002494,46.499008
Ribes cynosbati,-73.62917,45.656578
Ribes cynosbati,-79.909321,43.916938
Ribes cynosbati,-88.647197,48.341262
Ribes cynosbati,-73.169775,45.539728
Ribes cynosbati,-81.083229,42.877869
Ribes cynosbati,-73.725392,45.381208
Ribes cynosbati,-80.243958,43.697728
Ribes cynosbati,-75.225522,45.207933
Ribes cynosbati,-75.429109,45.590524
Ribes cynosbati,-76.138113,44.444626
Ribes cynosbati,-80.169538,44.464785
Ribes cynosbati,-80.087355,44.312755
Ribes cynosbati,-79.845114,44.3626
Ribes cynosbati,-76.383319,45.138856
Ribes cynosbati,-80.87538,44.33875
Ribes cynosbati,-73.844453,45.516553
Ribes cynosbati,-73.314103,45.026864
Ribes cynosbati,-79.607864,44.256439
Ribes cynosbati,-72.660892,45.261335
Ribes cynosbati,-76.397562,44.686588
Ribes cynosbati,-76.782936,44.336558
Ribes cynosbati,-79.72377,43.08308
Ribes cynosbati,-78.086394,44.272353
Ribes cynosbati,-75.972113,45.276312
Ribes cynosbati,-74.131019,45.481797
Ribes cynosbati,-79.65288,43.617258
Ribes cynosbati,-78.970821,44.153376
Ribes cynosbati,-75.619883,45.437503
Ribes cynosbati,-79.390413,43.829909
Ribes cynosbati,-78.196058,44.359472
Ribes cynosbati,-75.946779,45.367132
Ribes cynosbati,-79.813614,43.764422
Ribes cynosbati,-81.284412,43.047963
Ribes cynosbati,-81.49212,43.02815
Ribes cynosbati,-80.332641,42.961061
Ribes cynosbati,-79.980775,43.644322
Ribes cynosbati,-73.94667,45.431615
Ribes cynosbati,-80.082054,44.043878
Ribes cynosbati,-79.352554,44.021042
Ribes cynosbati,-81.317447,45.118791
Ribes cynosbati,-73.860176,45.646912
Ribes cynosbati,-80.851563,43.417064
Ribes cynosbati,-82.028711,43.167483
Ribes cynosbati,-74.679633,45.264678
Ribes cynosbati,-78.551437,44.336383
Ribes cynosbati,-77.040163,43.956112
Ribes cynosbati,-77.197687,44.898242
Ribes cynosbati,-80.639898,43.533725
Ribes cynosbati,-80.556564,42.694948
Ribes cynosbati,-81.015088,43.041927
Ribes cynosbati,-76.081578,45.391494
Ribes cynosbati,-76.641403,44.400753
Ribes cynosbati,-81.901413,43.221558
Ribes cynosbati,-77.804175,44.27152
Ribes cynosbati,-76.357846,44.535502
Ribes cynosbati,-78.819054,44.642948
Ribes cynosbati,-79.891625,44.739011
Ribes cynosbati,-79.008207,44.741638
Ribes cynosbati,-75.966672,44.349435
Ribes cynosbati,-78.37957,44.579022
Ribes cynosbati,-76.439377,44.436669
Ribes cynosbati,-78.168623,44.109254
Ribes cynosbati,-76.203875,44.53213
Ribes cynosbati,-79.673492,44.58807
Ribes cynosbati,-81.004319,44.123683
Ribes cynosbati,-72.098594,45.086536
Ribes cynosbati,-72.815484,45.084289
Ribes cynosbati,-76.116264,45.057111
Ribes cynosbati,-80.314972,44.480415
Ribes cynosbati,-80.075278,44.742222
Ribes cynosbati,-75.509412,46.370082
Ribes cynosbati,-77.880528,44.511779
Ribes cynosbati,-75.8091,45.421728
Ribes cynosbati,-73.14516,45.356517
Ribes cynosbati,-80.157779,45.323504
Ribes cynosbati,-78.03024,44.809232
Ribes cynosbati,-73.709854,46.299412
Ribes cynosbati,-75.641582,44.897378
Ribes cynosbati,-76.21396,45.135919
Ribes cynosbati,-78.612441,44.14553
Ribes cynosbati,-81.48233,44.414233
Ribes cynosbati,-79.160753,43.149418
Ribes cynosbati,-78.88601,44.070732
Ribes cynosbati,-79.995655,44.834209
Ribes cynosbati,-80.504333,43.68148
Ribes cynosbati,-77.829671,44.143625
Ribes cynosbati,-77.160819,43.850168
Ribes cynosbati,-82.4,42.966667
Ribes cynosbati,-79.076962,43.083352
Ribes cynosbati,-80.026294,43.819156
Ribes cynosbati,-75.678217,45.354879
Ribes cynosbati,-81.640639,43.725706
Ribes cynosbati,-79.819437,43.523018
Ribes cynosbati,-78.764712,44.411812
Ribes cynosbati,-78.437901,44.184536
Ribes cynosbati,-79.204636,45.401967
Ribes cynosbati,-75.735859,45.237178
Ribes cynosbati,-75.850472,45.576953
Ribes cynosbati,-79.187407,43.783948
Ribes cynosbati,-81.61547,42.597525
Ribes cynosbati,-75.328365,45.509858
Ribes cynosbati,-81.493284,44.081033
Ribes cynosbati,-76.069756,44.82824
Ribes cynosbati,-76.539495,45.249819
Ribes cynosbati,-75.797091,45.318948
Ribes cynosbati,-77.868237,45.112394
Ribes cynosbati,-79.230003,44.847788
Ribes cynosbati,-76.249927,45.268932
Ribes cynosbati,-76.526572,44.699773
Ribes cynosbati,-80.974164,43.295711
Ribes cynosbati,-76.430892,44.856283
Ribes cynosbati,-78.389787,44.877069
Ribes cynosbati,-78.352485,44.312589
Ribes cynosbati,-76.228546,44.855323
Ribes cynosbati,-76.412133,45.352511
Ribes cynosbati,-81.270898,42.787206
Ribes cynosbati,-75.29,45.376667
Ribes cynosbati,-79.103147,44.019946
Ribes cynosbati,-81.560528,43.373438
Ribes cynosbati,-80.10095,42.952783
Ribes cynosbati,-79.794831,43.992417
Ribes cynosbati,-81.619403,44.183464
Ribes cynosbati,-76.77845,44.547368
Ribes cynosbati,-81.177991,42.967066
Ribes cynosbati,-80.338278,43.256694
Ribes cynosbati,-81.657755,43.16329
Ribes cynosbati,-76.000252,45.536686
Ribes cynosbati,-76.445055,44.28924
Ribes cynosbati,-79.883775,44.133667
Ribes cynosbati,-76.549982,44.209403
Ribes cynosbati,-79.684035,43.189672
Ribes cynosbati,-80.658,43.425
Ribes cynosbati,-77.709892,44.100417
Ribes cynosbati,-76.689392,44.769496
Ribes cynosbati,-79.426579,43.93748
Ribes cynosbati,-78.844318,43.911751
Ribes cynosbati,-87.98918,48.696882
Ribes cynosbati,-80.663293,43.181285
Ribes cynosbati,-79.321842,43.70331
Ribes cynosbati,-79.504662,44.123882
Ribes cynosbati,-74.60779,45.100224
Ribes cynosbati,-78.498842,45.574392
Ribes cynosbati,-76.937677,44.933477
Ribes cynosbati,-79.94555,44.041547
Ribes cynosbati,-77.285786,44.494763
Ribes cynosbati,-80.710488,44.275084
Ribes cynosbati,-77.925773,45.201612
Ribes cynosbati,-77.185003,44.414658
Ribes cynosbati,-79.86205,43.373608
Ribes cynosbati,-75.734998,44.624387
Ribes cynosbati,-76.687703,45.281778
Ribes cynosbati,-80.260913,43.548968
Ribes cynosbati,-76.998237,44.590225
Ribes cynosbati,-80.183441,43.165402
Ribes cynosbati,-75.820795,45.169555
Ribes cynosbati,-79.354683,46.125328
Ribes cynosbati,-81.586021,44.29652
Ribes cynosbati,-78.214805,44.531175
Ribes cynosbati,-78.259312,44.210965
Ribes cynosbati,-79.660191,44.744131
Ribes cynosbati,-81.155129,44.924957
Ribes cynosbati,-79.694045,44.436728
Ribes cynosbati,-80.955841,44.769403
Ribes cynosbati,-79.20395,43.890464
Ribes cynosbati,-75.58735,45.034157
Ribes cynosbati,-78.450605,44.478978
Ribes cynosbati,-81.277866,45.027504
Ribes cynosbati,-79.91844,43.268345
Ribes cynosbati,-78.011315,44.136658
Ribes cynosbati,-80.127442,43.525414
Ribes cynosbati,-81.834826,42.791558
Ribes cynosbati,-81.728861,42.479503
Ribes cynosbati,-81.790139,42.657603
Ribes cynosbati,-79.812343,43.20432
Ribes cynosbati,-82.519188,41.939786
Ribes cynosbati,-76.920991,45.885078
Ribes cynosbati,-75.055628,45.201443
Ribes cynosbati,-75.837213,44.539791
Ribes cynosbati,-76.573874,45.405122
Ribes cynosbati,-77.589242,45.604367
Ribes cynosbati,-76.155833,45.578611
Ribes cynosbati,-80.548798,43.469677
Ribes cynosbati,-78.835558,44.904872
Ribes cynosbati,-81.312219,44.173929
Ribes cynosbati,-79.753783,44.897433
Ribes cynosbati,-80.289078,46.263906
Ribes cynosbati,-76.018387,44.545688
Ribes cynosbati,-80.467383,43.386525
Ribes cynosbati,-88.257418,49.009106
Ribes cynosbati,-80.730271,42.841027
Ribes cynosbati,-78.04802,44.621578
Ribes cynosbati,-76.580704,44.507429
Ribes cynosbati,-78.885217,44.509271
Ribes cynosbati,-80.53833,44.359722
Ribes cynosbati,-79.645845,42.921013
Ribes cynosbati,-79.305267,43.091167
Ribes cynosbati,-75.847601,44.432957
Ribes cynosbati,-78.579133,44.021012
Ribes cynosbati,-82.735558,42.028332
Ribes cynosbati,-81.176316,43.108493
Ribes cynosbati,-75.349709,45.259151
Ribes cynosbati,-84.522222,47.002117
Ribes cynosbati,-76.6667,45.6667
Ribes cynosbati,-77.6667,44
Ribes cynosbati,-77.1167,44.55
Ribes cynosbati,-75.8833,45.0833
Ribes cynosbati,-75.55,44.7
Ribes cynosbati,-75.2,45.8
Ribes cynosbati,-80.1333,43.3167
Ribes cynosbati,-77.125,45.1736
Ribes cynosbati,-77.5,44.95
Ribes cynosbati,-76.25,44.7667
Ribes cynosbati,-75.7333,45.7667
Ribes cynosbati,-79.6667,43.5167
Ribes cynosbati,-75.502976,45.340318
Ribes cynosbati,-80.06727,43.398951
Ribes cynosbati,-81.059394,44.825553
Ribes cynosbati,-78.125997,44.46055
Ribes cynosbati,-79.743148,44.159104
Ribes cynosbati,-79.971313,43.51035
Ribes cynosbati,-75.570556,45.238259
Ribes cynosbati,-81.414355,42.904325
Ribes cynosbati,-75.85,45.933333
Ribes cynosbati,-74.166667,45.633333
Ribes cynosbati,-76.582275,45.142419
Ribes cynosbati,-77.446404,44.418333
Ribes cynosbati,-81.674815,45.25778
Ribes cynosbati,-80.211235,44.34197
Ribes cynosbati,-72.253,45.085
Ribes cynosbati,-73.075,45.041667
Ribes cynosbati,-82.39919,42.670811
Ribes cynosbati,-79.951286,43.74022
Ribes cynosbati,-84.866667,47.883333
Ribes cynosbati,-82.243338,42.714305
Ribes cynosbati,-75.97445,46.379348
Ribes cynosbati,-73.706589,45.554771
Ribes cynosbati,-72.873859,45.456486
Ribes cynosbati,-71.159373,46.819186
Ribes cynosbati,-71.45937,46.737021
Ribes cynosbati,-75.989342,45.75692
Ribes cynosbati,-74.916667,45.016667
Ribes cynosbati,-82.461944,42.093889
Ribes cynosbati,-71.852088,45.366792
Ribes cynosbati,-75.3162,44.8487
