SPECIES,longitude,latitude
Ribes inerme,-113.49436,49.9981
Ribes inerme,-117.4,49.4
Ribes inerme,-119.3,50.3
Ribes inerme,-121.56,51.83
Ribes inerme,-120.51,49.46
Ribes inerme,-120.6,49.6
Ribes inerme,-117.3,49.5
Ribes inerme,-118.6,49.1
Ribes inerme,-115.25,49.233333
Ribes inerme,-122.516667,51.966667
Ribes inerme,-120.45,50.116667
Ribes inerme,-113.883333,49.15
Ribes inerme,-113.833333,49
Ribes inerme,-113.683333,49
Ribes inerme,-114.05,49.116667
Ribes inerme,-114.366667,49.366667
Ribes inerme,-113.488889,49.000278
Ribes inerme,-114.442848,52.861855
