SPECIES,longitude,latitude
Ribes lacustre,-119.563658,49.447361
Ribes lacustre,-120.128356,49.902108
Ribes lacustre,-123.245826,49.250186
Ribes lacustre,-123.12479,49.790353
Ribes lacustre,-64.110708,45.535597
Ribes lacustre,-65.690828,47.628045
Ribes lacustre,-119.137794,50.7108
Ribes lacustre,-125.834311,54.205309
Ribes lacustre,-117.975507,51.274849
Ribes lacustre,-64.747362,45.76481
Ribes lacustre,-119.285386,50.176167
Ribes lacustre,-66.025185,47.376905
Ribes lacustre,-62.676505,46.19445
Ribes lacustre,-125.876111,49.871888
Ribes lacustre,-122.37111,50.12916
Ribes lacustre,-88.625451,48.360271
Ribes lacustre,-79.36709,48.512474
Ribes lacustre,-117.034156,49.676814
Ribes lacustre,-122.9843,50.041561
Ribes lacustre,-119.290602,49.702693
Ribes lacustre,-116.215075,51.416592
Ribes lacustre,-63.799413,50.214415
Ribes lacustre,-114.938086,50.198872
Ribes lacustre,-69.944633,48.261703
Ribes lacustre,-117.959847,56.476772
Ribes lacustre,-114.803894,50.134317
Ribes lacustre,-81.307035,45.113796
Ribes lacustre,-82.871233,47.518233
Ribes lacustre,-122.953139,50.130506
Ribes lacustre,-116.189413,49.623028
Ribes lacustre,-93.440317,50.778602
Ribes lacustre,-119.290663,50.460137
Ribes lacustre,-74.836358,46.08277
Ribes lacustre,-115.470672,49.612187
Ribes lacustre,-120.63455,49.01501
Ribes lacustre,-124.634373,49.78266
Ribes lacustre,-87.287228,51.270676
Ribes lacustre,-126.466433,53.342329
Ribes lacustre,-62.851321,46.084641
Ribes lacustre,-119.58532,49.676907
Ribes lacustre,-122.546731,49.341525
Ribes lacustre,-63.006746,45.550909
Ribes lacustre,-65.30362,47.358265
Ribes lacustre,-83.846329,46.263126
Ribes lacustre,-75.970556,45.750896
Ribes lacustre,-62.996205,46.340234
Ribes lacustre,-125.541814,49.861151
Ribes lacustre,-60.790599,46.16498
Ribes lacustre,-68.85,48.327886
Ribes lacustre,-67.646931,46.13142
