SPECIES,longitude,latitude
Ribes oxyacanthoides,-139.421281,64.063583
Ribes oxyacanthoides,-107.664821,49.11023
Ribes oxyacanthoides,-107.554795,49.184197
Ribes oxyacanthoides,-134.564475,60.068693
Ribes oxyacanthoides,-116.102058,62.726523
Ribes oxyacanthoides,-114.347518,62.530499
Ribes oxyacanthoides,-129.628053,61.410137
Ribes oxyacanthoides,-100.315719,51.832069
Ribes oxyacanthoides,-113.208938,53.519328
Ribes oxyacanthoides,-114.30773,62.361328
Ribes oxyacanthoides,-113.658211,53.625638
Ribes oxyacanthoides,-135.04927,60.676022
Ribes oxyacanthoides,-119.897233,49.389045
Ribes oxyacanthoides,-135.08948,60.767914
Ribes oxyacanthoides,-113.686242,62.520997
Ribes oxyacanthoides,-114.069512,51.134626
Ribes oxyacanthoides,-106.771651,51.672842
Ribes oxyacanthoides,-115.575317,51.171566
Ribes oxyacanthoides,-112.9543,53.346908
Ribes oxyacanthoides,-114.932523,52.394325
Ribes oxyacanthoides,-112.924084,52.443233
Ribes oxyacanthoides,-95.510422,50.034831
Ribes oxyacanthoides,-110.300553,49.660022
Ribes oxyacanthoides,-118.112472,52.898167
Ribes oxyacanthoides,-95.657947,50.15375
Ribes oxyacanthoides,-112.856944,52.629444
Ribes oxyacanthoides,-114.683774,50.630155
Ribes oxyacanthoides,-104.661359,50.45369
Ribes oxyacanthoides,-112.85012,49.743245
Ribes oxyacanthoides,-112.854816,49.645583
Ribes oxyacanthoides,-114.000836,52.508935
Ribes oxyacanthoides,-113.051017,51.897352
Ribes oxyacanthoides,-115.715672,52.47189
Ribes oxyacanthoides,-114.749232,52.130673
Ribes oxyacanthoides,-114.222854,51.704894
Ribes oxyacanthoides,-115.006203,50.613769
Ribes oxyacanthoides,-135.891128,60.851192
Ribes oxyacanthoides,-110.010036,52.583699
Ribes oxyacanthoides,-116.1792,51.327845
Ribes oxyacanthoides,-117.913512,53.200115
Ribes oxyacanthoides,-123.320269,59.231315
Ribes oxyacanthoides,-137.680935,60.787001
Ribes oxyacanthoides,-114.96069,53.52232
Ribes oxyacanthoides,-120.847974,50.613303
Ribes oxyacanthoides,-114.86779,50.881329
Ribes oxyacanthoides,-114.393808,62.442388
Ribes oxyacanthoides,-115.839898,51.245529
Ribes oxyacanthoides,-104.905505,50.768167
Ribes oxyacanthoides,-88.254377,49.020438
Ribes oxyacanthoides,-88.073629,48.665341
Ribes oxyacanthoides,-82.583333,42.05
Ribes oxyacanthoides,-82.433333,52.916667
Ribes oxyacanthoides,-87.509353,48.843571
Ribes oxyacanthoides,-123.83333,59.85
Ribes oxyacanthoides,-84.577497,51.066451
Ribes oxyacanthoides,-106.637877,52.136391
Ribes oxyacanthoides,-107.581446,50.038603
Ribes oxyacanthoides,-112.600616,61.130598
Ribes oxyacanthoides,-88.648514,48.339577
Ribes oxyacanthoides,-94.652454,49.726671
Ribes oxyacanthoides,-117.866142,52.695394
Ribes oxyacanthoides,-88.850791,48.409494
Ribes oxyacanthoides,-113.70243,61.18827
Ribes oxyacanthoides,-106.255572,51.905022
Ribes oxyacanthoides,-121.924731,50.661517
Ribes oxyacanthoides,-124.829119,54.076236
Ribes oxyacanthoides,-113.787628,53.56483
Ribes oxyacanthoides,-108.761912,49.611276
Ribes oxyacanthoides,-109.506594,49.653957
Ribes oxyacanthoides,-118.15616,52.611837
Ribes oxyacanthoides,-112.960556,53.469444
