SPECIES,longitude,latitude
Ribes sanguineum,-125.180202,50.126825
Ribes sanguineum,-124.785386,49.94264
Ribes sanguineum,-123.337295,50.064258
Ribes sanguineum,-125.475052,50.127861
Ribes sanguineum,-120.76099,49.047318
Ribes sanguineum,-125.118813,49.638635
Ribes sanguineum,-122.185065,49.169977
Ribes sanguineum,-123.114478,49.822981
Ribes sanguineum,-126.060089,49.789517
Ribes sanguineum,-122.578812,49.265566
Ribes sanguineum,-125.246958,49.969741
Ribes sanguineum,-122.283134,49.068854
Ribes sanguineum,-125.116222,49.873744
Ribes sanguineum,-123.789335,49.157775
Ribes sanguineum,-123.039783,49.013524
Ribes sanguineum,-123.499727,48.854222
Ribes sanguineum,-124.92238,49.271012
Ribes sanguineum,-122.876053,49.058906
Ribes sanguineum,-127.081979,50.5884
Ribes sanguineum,-123.545621,48.655901
Ribes sanguineum,-123.549182,48.314478
Ribes sanguineum,-118.084817,49.850605
Ribes sanguineum,-123.199431,49.171221
Ribes sanguineum,-123.863362,49.474089
Ribes sanguineum,-123.089163,50.073779
Ribes sanguineum,-122.834392,49.284303
Ribes sanguineum,-123.239913,49.263097
Ribes sanguineum,-124.878122,49.708147
Ribes sanguineum,-123.530624,48.512989
Ribes sanguineum,-121.438461,49.372075
Ribes sanguineum,-121.949087,49.26436
Ribes sanguineum,-125.289833,49.8819
Ribes sanguineum,-122.634742,49.163078
Ribes sanguineum,-123.566087,48.952141
Ribes sanguineum,-123.41293,48.706956
Ribes sanguineum,-123.335472,48.49523
Ribes sanguineum,-122.018608,49.098461
Ribes sanguineum,-127.75,50.8833
Ribes sanguineum,-117.709694,49.338134
Ribes sanguineum,-125.538173,49.675461
Ribes sanguineum,-123.425505,49.357804
Ribes sanguineum,-123.286652,49.373928
Ribes sanguineum,-125.816593,50.262303
Ribes sanguineum,-121.859167,49.457222
Ribes sanguineum,-122.438486,49.230742
Ribes sanguineum,-124.676152,49.340552
Ribes sanguineum,-121.446235,49.559266
Ribes sanguineum,-123.799344,48.742957
Ribes sanguineum,-123.626086,48.789679
Ribes sanguineum,-117.28095,49.498128
Ribes sanguineum,-127.496456,50.437967
Ribes sanguineum,-124.445127,49.341625
Ribes sanguineum,-121.149291,49.240776
Ribes sanguineum,-125.848372,49.843236
Ribes sanguineum,-124.601309,49.249458
Ribes sanguineum,-123.915804,49.111397
Ribes sanguineum,-123.54101,49.408261
Ribes sanguineum,-121.780578,49.299423
Ribes sanguineum,-124.307392,49.318729
Ribes sanguineum,-121.7525,49.196389
Ribes sanguineum,-122.427437,49.112411
Ribes sanguineum,-123.716897,48.923133
Ribes sanguineum,-123.45267,48.433531
Ribes sanguineum,-123.73946,48.379999
Ribes sanguineum,-124.04805,48.822717
Ribes sanguineum,-114.888372,49.721293
Ribes sanguineum,-122.467869,49.010513
Ribes sanguineum,-123.161728,49.907978
Ribes sanguineum,-124.431345,48.891122
Ribes sanguineum,-124.962009,49.632851
Ribes sanguineum,-122.856495,53.747552
Ribes sanguineum,-121.884389,49.079636
Ribes sanguineum,-124.764701,49.257276
Ribes sanguineum,-131.988792,53.266945
Ribes sanguineum,-125.360327,50.028813
Ribes sanguineum,-122.94229,50.516065
Ribes sanguineum,-124.32169,53.892587
Ribes sanguineum,-123.248353,49.48502
Ribes sanguineum,-122.92313,52.277884
Ribes sanguineum,-122.828942,49.178167
Ribes sanguineum,-123.102295,49.316524
Ribes sanguineum,-123.288488,48.813452
Ribes sanguineum,-124.603783,49.516875
Ribes sanguineum,-123.383475,48.589347
Ribes sanguineum,-123.242247,48.422172
Ribes sanguineum,-122.687098,49.036288
Ribes sanguineum,-123.835167,48.985833
Ribes sanguineum,-123.693939,49.073844
Ribes sanguineum,-123.723509,49.440531
Ribes sanguineum,-125.207662,49.28802
Ribes sanguineum,-122.939055,50.13257
Ribes sanguineum,-125.019413,49.79701
Ribes sanguineum,-123.96901,49.236324
Ribes sanguineum,-127.5,50.2
Ribes sanguineum,-117.7,49.1
Ribes sanguineum,-121,49.2
Ribes sanguineum,-121.4,51.1
Ribes sanguineum,-123,49.4
Ribes sanguineum,-121.5,49.8
Ribes sanguineum,-125.5,49.5
Ribes sanguineum,-128.1,49.3
Ribes sanguineum,-120,49
Ribes sanguineum,-124.75,49.533333
Ribes sanguineum,-124.341667,49.05
Ribes sanguineum,-124.15,49.338889
Ribes sanguineum,-123.766667,48.833333
Ribes sanguineum,-121.166667,49.141667
Ribes sanguineum,-124.05,49.15
Ribes sanguineum,-121.669329,50.009678
Ribes sanguineum,-123.018573,49.231766
Ribes sanguineum,-122.523983,50.268067
Ribes sanguineum,-125.906618,49.152984
Ribes sanguineum,-124.516176,49.821357
Ribes sanguineum,-122.5,53
Ribes sanguineum,-123.162667,49.707064
Ribes sanguineum,-123.373603,48.900344
Ribes sanguineum,-121.398245,49.027445
Ribes sanguineum,-117.266667,53.283333
