SPECIES,longitude,latitude
Ribes triste,-120.934624,56.322937
Ribes triste,-120.763772,49.046414
Ribes triste,-87.284927,51.271058
Ribes triste,-136.18841,60.577017
Ribes triste,-139.416904,64.066777
Ribes triste,-116.733908,54.993136
Ribes triste,-64.480243,46.156372
Ribes triste,-129.633225,61.411228
Ribes triste,-100.379997,51.900002
Ribes triste,-100.260582,51.831345
Ribes triste,-71.701522,45.6233
Ribes triste,-129.207286,60.743247
Ribes triste,-106.632376,53.658726
Ribes triste,-114.622337,54.256145
Ribes triste,-139.118035,64.053576
Ribes triste,-106.020661,53.90728
Ribes triste,-83.889506,46.3364
Ribes triste,-128.60495,60.020236
Ribes triste,-135.919281,61.014544
Ribes triste,-135.165989,60.039822
Ribes triste,-137.290737,60.54897
Ribes triste,-134.896775,60.590436
Ribes triste,-125.594811,64.907971
Ribes triste,-137.23178,63.615477
Ribes triste,-137.336925,62.795817
Ribes triste,-100.084428,51.039761
Ribes triste,-99.905215,49.727691
Ribes triste,-113.276639,53.47234
Ribes triste,-84.352436,46.509458
Ribes triste,-84.383945,46.719953
Ribes triste,-72.757484,46.726082
Ribes triste,-71.297204,46.839561
Ribes triste,-84.1,46.533333
Ribes triste,-59.246312,47.84315
Ribes triste,-113.5251,54.18161
Ribes triste,-80.173412,43.274699
Ribes triste,-71.3094,47.0639
Ribes triste,-108.562,49.2045
Ribes triste,-79.966831,43.922556
Ribes triste,-78.323162,44.321423
Ribes triste,-80.858908,43.568329
Ribes triste,-88.017739,52.203236
Ribes triste,-129.781811,59.183157
Ribes triste,-115.911985,54.751565
Ribes triste,-81.246048,46.587591
Ribes triste,-74.592436,50.476322
Ribes triste,-120.167794,49.102936
Ribes triste,-88.630936,48.351383
Ribes triste,-78.705278,52.603333
Ribes triste,-82.433333,52.916667
Ribes triste,-80.65,51.266667
Ribes triste,-87.910779,50.229523
Ribes triste,-133.34235,62.234712
Ribes triste,-125.767489,59.008473
Ribes triste,-91.891821,50.07454
Ribes triste,-78.847683,43.915814
Ribes triste,-135.134444,60.778562
Ribes triste,-117.954294,52.873383
Ribes triste,-74.416633,45.55004
Ribes triste,-99.987222,50.656111
Ribes triste,-94.345339,49.646285
Ribes triste,-80.43031,43.400428
Ribes triste,-86.299295,48.593663
Ribes triste,-64.09387,46.53639
Ribes triste,-89.550917,48.149983
Ribes triste,-113.710965,53.399428
Ribes triste,-121.178741,54.766806
Ribes triste,-96.862642,50.009287
Ribes triste,-71.607375,45.037639
Ribes triste,-71.036011,48.399356
Ribes triste,-121.390162,55.279425
Ribes triste,-74.006104,45.984909
Ribes triste,-114.363106,62.485696
Ribes triste,-74.608541,45.100579
Ribes triste,-80.566803,51.658638
Ribes triste,-130.202805,57.5314
Ribes triste,-83.915245,49.840522
Ribes triste,-57.30565,50.661492
Ribes triste,-79.863348,43.427971
Ribes triste,-118.573281,52.853069
Ribes triste,-100.88983,51.779142
Ribes triste,-86.77165,50.037707
Ribes triste,-123.406821,54.646278
Ribes triste,-78.564257,45.548815
Ribes triste,-81.472202,50.03549
Ribes triste,-79.989472,43.676547
