SPECIES,longitude,latitude
Rosa acicularis,-123.324997,49.378655
Rosa acicularis,-113.100555,53.569643
Rosa acicularis,-113.00413,51.668995
Rosa acicularis,-116.180222,51.328625
Rosa acicularis,-113.86512,53.78176
Rosa acicularis,-113.952942,53.318347
Rosa acicularis,-113.400282,53.467216
Rosa acicularis,-114.355232,53.44672
Rosa acicularis,-110.617439,54.156479
Rosa acicularis,-114.74575,52.03652
Rosa acicularis,-114.232085,51.144862
Rosa acicularis,-122.646449,49.108423
Rosa acicularis,-111.615455,49.084678
Rosa acicularis,-119.623781,49.099894
Rosa acicularis,-117.644417,52.530797
Rosa acicularis,-113.931351,52.038372
Rosa acicularis,-115.639272,51.257968
Rosa acicularis,-101.246912,50.946842
Rosa acicularis,-112.793944,53.480325
Rosa acicularis,-111.318634,56.54813
Rosa acicularis,-135.233178,61.051242
Rosa acicularis,-119.701937,49.240623
Rosa acicularis,-83.146343,45.869653
Rosa acicularis,-115.208213,51.061828
Rosa acicularis,-95.603472,49.627403
Rosa acicularis,-140.975022,64.078986
Rosa acicularis,-112.899264,53.23874
Rosa acicularis,-89.331672,48.349767
Rosa acicularis,-122.659595,53.849744
Rosa acicularis,-120.867807,49.064905
Rosa acicularis,-135.324128,61.891169
Rosa acicularis,-120.630442,49.747452
Rosa acicularis,-106.694991,53.729904
Rosa acicularis,-120.623764,49.128406
Rosa acicularis,-134.570333,60.06503
Rosa acicularis,-82.15837,49.3473
Rosa acicularis,-114.07379,50.92938
Rosa acicularis,-129.633042,61.411438
Rosa acicularis,-129.230958,60.678822
Rosa acicularis,-137.491407,60.801838
Rosa acicularis,-93.862663,51.035045
Rosa acicularis,-104.8023,54.190262
Rosa acicularis,-110.13486,54.467345
Rosa acicularis,-125.214825,61.568699
Rosa acicularis,-132.604767,61.984087
Rosa acicularis,-128.782383,60.084998
Rosa acicularis,-102.295468,49.832792
Rosa acicularis,-92.503852,49.69739
Rosa acicularis,-83.918439,49.840233
Rosa acicularis,-133.721297,60.045064
