SPECIES,longitude,latitude
Rosa arkansana,-110.692382,50.006662
Rosa arkansana,-113.845895,49.089664
Rosa arkansana,-113.844055,49.19009
Rosa arkansana,-117.39397,56.168327
Rosa arkansana,-112.743072,49.8145
Rosa arkansana,-111.935678,53.118917
Rosa arkansana,-113.735828,52.493767
Rosa arkansana,-113.319829,52.470006
Rosa arkansana,-113.953488,52.281165
Rosa arkansana,-105.869147,49.411745
Rosa arkansana,-106.6415,52.13409
Rosa arkansana,-102.985145,49.115403
Rosa arkansana,-114.156232,50.990882
Rosa arkansana,-104.370003,50.470001
Rosa arkansana,-106.557064,49.059131
Rosa arkansana,-110.789903,49.134875
Rosa arkansana,-97.51255,50.618976
Rosa arkansana,-101.180305,50.513552
Rosa arkansana,-106.447462,52.091643
Rosa arkansana,-105.587023,50.737547
Rosa arkansana,-100.229242,50.75693
Rosa arkansana,-96.933018,49.738481
Rosa arkansana,-109.896617,49.568489
Rosa arkansana,-114.396348,51.165936
Rosa arkansana,-106.736332,51.037757
Rosa arkansana,-109.676917,52.60388
Rosa arkansana,-112.942214,49.087728
Rosa arkansana,-123.124322,49.265617
Rosa arkansana,-99.63095,49.401619
Rosa arkansana,-109.853158,49.910133
Rosa arkansana,-114.189863,51.196311
Rosa arkansana,-99.163039,51.159261
Rosa arkansana,-113.396696,52.055802
Rosa arkansana,-105.793372,51.060306
Rosa arkansana,-113.45474,50.830836
Rosa arkansana,-114.192273,50.208273
Rosa arkansana,-97.939676,50.375765
Rosa arkansana,-106.545325,51.97332
Rosa arkansana,-106.390115,52.605611
Rosa arkansana,-102.848881,50.930757
Rosa arkansana,-112.130633,51.003394
Rosa arkansana,-107.81935,50.294258
Rosa arkansana,-114.238711,50.875297
Rosa arkansana,-113.46734,49.007301
Rosa arkansana,-112.945975,51.948187
Rosa arkansana,-111.775475,53.097127
Rosa arkansana,-110.048235,49.647682
Rosa arkansana,-90.29763,49.111839
Rosa arkansana,-106.635308,53.27048
Rosa arkansana,-104.534553,50.410755
Rosa arkansana,-104.845978,50.558937
Rosa arkansana,-110.865105,49.652653
Rosa arkansana,-103.649142,50.988646
Rosa arkansana,-106.46829,52.300225
Rosa arkansana,-113.586635,53.658713
Rosa arkansana,-104.643194,50.476409
Rosa arkansana,-108.961083,53.391072
Rosa arkansana,-106.805048,51.870914
Rosa arkansana,-95.966667,49.95
Rosa arkansana,-109.130409,53.723276
Rosa arkansana,-113.372342,53.922413
Rosa arkansana,-112.342408,49.174733
Rosa arkansana,-107.286413,51.36451
Rosa arkansana,-97.159406,50.17802
Rosa arkansana,-112.534241,51.380641
Rosa arkansana,-96.509599,50.627947
Rosa arkansana,-99.386139,49.632317
Rosa arkansana,-110.031822,52.580406
Rosa arkansana,-106.601876,51.100465
Rosa arkansana,-106.69822,52.032371
Rosa arkansana,-100.971566,49.41428
Rosa arkansana,-105.404397,50.589581
Rosa arkansana,-114.015165,50.824263
Rosa arkansana,-112.915014,49.816483
Rosa arkansana,-104.729951,50.71373
Rosa arkansana,-106.480029,50.961461
Rosa arkansana,-99.940123,49.845574
Rosa arkansana,-108.242391,51.995069
Rosa arkansana,-104.571704,50.809834
Rosa arkansana,-115.358713,51.072345
Rosa arkansana,-97.008406,50.713134
Rosa arkansana,-103.866562,49.663465
Rosa arkansana,-112.038161,53.492037
Rosa arkansana,-115.860583,49.696744
Rosa arkansana,-102.430989,51.871876
Rosa arkansana,-96.061653,50.208004
Rosa arkansana,-113.729422,50.122472
Rosa arkansana,-96.914332,50.11692
Rosa arkansana,-95.696685,50.1499
Rosa arkansana,-99.14705,49.673531
Rosa arkansana,-113.559397,52.68845
Rosa arkansana,-111.556994,53.084885
Rosa arkansana,-113.471795,55.345413
Rosa arkansana,-113.45053,55.581887
Rosa arkansana,-104.030711,51.463162
Rosa arkansana,-114.032303,51.059627
Rosa arkansana,-97.136586,50.010774
Rosa arkansana,-114.249986,49.46073
Rosa arkansana,-114.298656,49.55345
Rosa arkansana,-105.173889,50.990833
Rosa arkansana,-99.291376,49.72931
Rosa arkansana,-113.554991,53.486388
Rosa arkansana,-106.598672,52.22632
Rosa arkansana,-111.975105,49.006297
Rosa arkansana,-110.87462,52.761937
Rosa arkansana,-112.230267,52.494722
Rosa arkansana,-113.516212,51.115622
Rosa arkansana,-114.038697,51.160611
Rosa arkansana,-114.029857,50.697135
Rosa arkansana,-95.973677,49.619635
Rosa arkansana,-105.127933,49.396806
Rosa arkansana,-106.038356,52.436572
Rosa arkansana,-105.534958,50.265708
Rosa arkansana,-103.898781,50.79218
Rosa arkansana,-104.811592,49.257278
Rosa arkansana,-106.105507,50.346169
Rosa arkansana,-114.559988,50.65615
Rosa arkansana,-111.612489,49.085138
Rosa arkansana,-114.01077,50.914713
