SPECIES,longitude,latitude
Rosa blanda,-78.196442,44.535305
Rosa blanda,-81.414633,45.994275
Rosa blanda,-76.810683,44.605342
Rosa blanda,-78.534951,44.340271
Rosa blanda,-80.396639,42.583194
Rosa blanda,-73.742417,45.603722
Rosa blanda,-82.261461,42.363295
Rosa blanda,-78.339683,44.611817
Rosa blanda,-97.081105,49.827425
Rosa blanda,-72.687333,46.616226
Rosa blanda,-81.966245,43.211938
Rosa blanda,-75.171491,45.589909
Rosa blanda,-80.481358,42.694894
Rosa blanda,-77.591547,44.197508
Rosa blanda,-96.846848,50.021718
Rosa blanda,-77.44368,43.976112
Rosa blanda,-68.589182,47.379029
Rosa blanda,-73.217711,45.545857
Rosa blanda,-77.00324,43.904313
Rosa blanda,-85.631659,51.653479
Rosa blanda,-78.31436,44.318078
Rosa blanda,-85.253072,48.78416
Rosa blanda,-79.008341,42.868069
Rosa blanda,-81.231247,44.181084
Rosa blanda,-88.045529,55.752641
Rosa blanda,-78.013931,44.285744
Rosa blanda,-82.265512,45.66483
Rosa blanda,-67.566667,46.15
Rosa blanda,-89.557272,48.413705
Rosa blanda,-91.459297,49.873678
Rosa blanda,-79.187406,43.783924
Rosa blanda,-80.026285,44.849919
Rosa blanda,-79.492653,44.123817
Rosa blanda,-66.349079,48.103972
Rosa blanda,-79.570053,43.734015
Rosa blanda,-81.477473,43.354607
Rosa blanda,-81.639817,43.7247
Rosa blanda,-80.236688,43.223846
Rosa blanda,-76.186377,44.303327
Rosa blanda,-76.048595,44.853997
Rosa blanda,-76.115411,45.053189
Rosa blanda,-80.484571,42.848316
Rosa blanda,-75.48615,45.502688
Rosa blanda,-66.818528,45.968706
Rosa blanda,-81.645668,44.169579
Rosa blanda,-76.580208,44.302807
Rosa blanda,-83.011281,46.172423
Rosa blanda,-71.409135,47.12095
Rosa blanda,-80.337132,43.026783
Rosa blanda,-83.946892,46.06213
Rosa blanda,-67.148396,45.96494
Rosa blanda,-78.126912,44.457292
Rosa blanda,-81.728726,52.214191
Rosa blanda,-82.022003,46.099553
Rosa blanda,-81.114188,43.019848
Rosa blanda,-77.609345,45.884987
Rosa blanda,-78.502113,45.574192
Rosa blanda,-79.023722,44.693661
Rosa blanda,-78.438754,44.476389
Rosa blanda,-81.805139,43.283492
Rosa blanda,-79.554003,43.574971
Rosa blanda,-79.813387,44.389825
Rosa blanda,-78.458597,44.135024
Rosa blanda,-77.211334,44.499173
Rosa blanda,-81.48189,42.943902
Rosa blanda,-79.977184,43.622194
Rosa blanda,-82.687719,49.218635
Rosa blanda,-78.996552,44.815405
Rosa blanda,-80.626938,45.888722
Rosa blanda,-78.16434,44.190569
Rosa blanda,-79.80561,43.893888
Rosa blanda,-79.40506,44.015534
Rosa blanda,-80.75,49.5
Rosa blanda,-77.692868,44.44253
Rosa blanda,-79.368602,43.732195
Rosa blanda,-85.216667,50.016667
Rosa blanda,-79.52193,43.89759
Rosa blanda,-85.95,51.633333
Rosa blanda,-86.299166,48.593245
Rosa blanda,-79.465833,47.285882
Rosa blanda,-82.011366,43.09179
Rosa blanda,-76.01338,45.35289
Rosa blanda,-80.346254,43.128609
Rosa blanda,-79.516586,42.991448
Rosa blanda,-79.454358,46.306128
Rosa blanda,-90.4167,48.8333
Rosa blanda,-75.6167,45.4667
Rosa blanda,-68.5833,47.2833
Rosa blanda,-79.55,50.9667
Rosa blanda,-85,48
Rosa blanda,-98.7192,53.8256
Rosa blanda,-66.1,47.3833
Rosa blanda,-83.3,53.1333
Rosa blanda,-88.9667,49.4333
Rosa blanda,-76.6667,45.6667
Rosa blanda,-77.4,45.6167
Rosa blanda,-77.0667,45.1333
Rosa blanda,-81.0167,50.9
Rosa blanda,-82.9333,48.5333
