SPECIES,longitude,latitude
Rosa nutkana,-123.705562,48.31699
Rosa nutkana,-119.645926,49.50812
Rosa nutkana,-117.612838,50.14822
Rosa nutkana,-120.797585,49.064426
Rosa nutkana,-125.344195,49.080228
Rosa nutkana,-124.603546,49.516997
Rosa nutkana,-124.947618,48.699893
Rosa nutkana,-123.168745,49.121464
Rosa nutkana,-123.050583,49.042003
Rosa nutkana,-120.225331,52.211833
Rosa nutkana,-125.569072,48.938874
Rosa nutkana,-120.162644,50.735683
Rosa nutkana,-124.809712,48.663307
Rosa nutkana,-123.000611,49.131806
Rosa nutkana,-119.184503,50.332622
Rosa nutkana,-122.533109,49.154969
Rosa nutkana,-124.718534,49.456979
Rosa nutkana,-123.695098,48.773201
Rosa nutkana,-124.790637,49.274147
Rosa nutkana,-123.168633,49.702167
Rosa nutkana,-123.922449,49.111282
Rosa nutkana,-121.434741,49.389133
Rosa nutkana,-128.673599,54.014114
Rosa nutkana,-124.98362,50.030256
Rosa nutkana,-121.971762,49.14236
Rosa nutkana,-119.021451,50.571461
Rosa nutkana,-126.427035,50.477358
Rosa nutkana,-122.889708,49.376847
Rosa nutkana,-122.700761,49.302158
Rosa nutkana,-123.789335,49.157775
Rosa nutkana,-122.747633,49.177533
Rosa nutkana,-123.80243,49.065517
Rosa nutkana,-124.858639,49.627338
Rosa nutkana,-122.899794,49.24364
Rosa nutkana,-122.637519,49.0116
Rosa nutkana,-124.011108,48.818375
Rosa nutkana,-122.869801,50.88333
Rosa nutkana,-122.472022,49.060181
Rosa nutkana,-123.38938,48.512628
Rosa nutkana,-123.295935,48.437829
Rosa nutkana,-123.171013,49.328097
Rosa nutkana,-123.724137,48.44403
Rosa nutkana,-125.267005,50.039689
Rosa nutkana,-125.091993,49.769369
Rosa nutkana,-125.758232,49.107976
Rosa nutkana,-124.92263,49.335083
Rosa nutkana,-124.897083,49.728406
Rosa nutkana,-123.40944,48.636941
Rosa nutkana,-123.546048,48.656628
Rosa nutkana,-123.947246,48.394296
Rosa nutkana,-119.1105,49.179157
Rosa nutkana,-125.960212,50.383718
Rosa nutkana,-125.559411,49.16867
Rosa nutkana,-126.467502,49.399047
Rosa nutkana,-124.166039,49.453311
Rosa nutkana,-127.529691,50.554625
Rosa nutkana,-123.981378,49.63623
Rosa nutkana,-123.558535,49.392538
Rosa nutkana,-124.016697,49.863158
Rosa nutkana,-125.884864,49.801781
Rosa nutkana,-120.477018,50.48643
Rosa nutkana,-121.947139,49.245377
Rosa nutkana,-125.4994,49.046988
Rosa nutkana,-124.13692,49.093466
Rosa nutkana,-124.172478,48.834366
Rosa nutkana,-123.037236,49.290475
Rosa nutkana,-123.17341,49.90477
Rosa nutkana,-125.908097,49.15202
Rosa nutkana,-125.237111,50.132495
Rosa nutkana,-122.676946,49.097926
Rosa nutkana,-131.814197,53.257347
Rosa nutkana,-126.091217,49.171421
Rosa nutkana,-124.335391,49.293242
Rosa nutkana,-120.661392,51.493057
Rosa nutkana,-125.17,49.9
Rosa nutkana,-123.545036,48.321104
Rosa nutkana,-119.519202,49.083082
Rosa nutkana,-125.653291,49.892622
Rosa nutkana,-127.831803,52.512869
Rosa nutkana,-125.675103,49.005265
Rosa nutkana,-125.043772,49.653835
Rosa nutkana,-126.662652,49.582488
Rosa nutkana,-127.831122,51.774842
Rosa nutkana,-123.456487,48.431375
Rosa nutkana,-122.855081,53.733685
Rosa nutkana,-123.738925,48.645201
Rosa nutkana,-121.111264,49.075823
Rosa nutkana,-122.358428,52.882375
Rosa nutkana,-125.90715,50.549258
Rosa nutkana,-123.409231,48.748391
Rosa nutkana,-122.947517,50.143311
Rosa nutkana,-125.483901,50.125459
Rosa nutkana,-123.525366,48.54341
Rosa nutkana,-121.082233,50.779223
Rosa nutkana,-123.968784,49.235596
Rosa nutkana,-117.29,49.5
Rosa nutkana,-131.39,57.84
Rosa nutkana,-120.94,52.51
Rosa nutkana,-122.75,53.92
Rosa nutkana,-128.6,54.52
Rosa nutkana,-120.92,50.74
Rosa nutkana,-127,54.7
Rosa nutkana,-123.5,54.3
Rosa nutkana,-121.58,50.23
Rosa nutkana,-130.32,54.32
Rosa nutkana,-126.3,53.9
Rosa nutkana,-117.8,50.25
Rosa nutkana,-124,49.5
Rosa nutkana,-115.98,49.67
Rosa nutkana,-127.3,54.8
Rosa nutkana,-116.74,49.5
Rosa nutkana,-136,65.66
Rosa nutkana,-127.4,55.2
Rosa nutkana,-117.67,49.73
Rosa nutkana,-120.5,49.5
Rosa nutkana,-118.2,51
Rosa nutkana,-119.52,49.85
Rosa nutkana,-117.65,49.32
Rosa nutkana,-123.05,48.78
Rosa nutkana,-130.2,53.65
Rosa nutkana,-120,52.33
Rosa nutkana,-122.49,52.98
Rosa nutkana,-121.42,49.7
Rosa nutkana,-127.77,51.18
Rosa nutkana,-119.2,50.45
Rosa nutkana,-122.82,49.07
Rosa nutkana,-122.03,54.12
Rosa nutkana,-119.75,52.12
Rosa nutkana,-120.6,49.4
Rosa nutkana,-120.17,53.3
Rosa nutkana,-129.48,55.46
Rosa nutkana,-123.22,48.75
Rosa nutkana,-122.2,49.2
Rosa nutkana,-120.37,50.7
Rosa nutkana,-119.4,50.2
Rosa nutkana,-121.84,50.87
Rosa nutkana,-122.19,49.08
Rosa nutkana,-121.44,49.57
Rosa nutkana,-129.55,54.23
Rosa nutkana,-125.4,55.6
Rosa nutkana,-123.39,49.5
Rosa nutkana,-129.08,55.2
Rosa nutkana,-116.97,50.25
Rosa nutkana,-118.8,50.32
Rosa nutkana,-123,50.5
Rosa nutkana,-126.49,49.79
Rosa nutkana,-122.2,59.55
Rosa nutkana,-119.3,50.7
Rosa nutkana,-120,51.9
Rosa nutkana,-124.8,49.9
Rosa nutkana,-123.04,54.98
Rosa nutkana,-116.833333,49.666667
Rosa nutkana,-125.1,50.163333
Rosa nutkana,-124.341667,49.05
Rosa nutkana,-127.183333,50.49
Rosa nutkana,-115.083333,49.1
Rosa nutkana,-126.05,49.366667
Rosa nutkana,-127.666667,55.25
Rosa nutkana,-124.088056,49.291667
Rosa nutkana,-124.816667,49.533333
Rosa nutkana,-123.266667,48.566667
Rosa nutkana,-124.266667,51.3
Rosa nutkana,-123.85,48.583333
Rosa nutkana,-124.613889,48.677778
Rosa nutkana,-126.033333,52.36
Rosa nutkana,-126.278333,52.445
Rosa nutkana,-120.563889,50.147222
Rosa nutkana,-123.210477,49.221217
Rosa nutkana,-124.528766,49.835412
Rosa nutkana,-125.119536,48.794319
Rosa nutkana,-123.343052,48.884397
Rosa nutkana,-123.235531,49.552612
Rosa nutkana,-126.717,52.3667
Rosa nutkana,-122.617,53.0333
