SPECIES,longitude,latitude
Rosa palustris,-80.568007,45.942558
Rosa palustris,-81.278272,44.742857
Rosa palustris,-81.459763,44.418688
Rosa palustris,-84.492489,46.493828
Rosa palustris,-78.885714,44.78228
Rosa palustris,-80.192278,42.514273
Rosa palustris,-64.361554,45.089008
Rosa palustris,-77.015857,43.895205
Rosa palustris,-80.395287,43.303603
Rosa palustris,-81.857211,42.29407
Rosa palustris,-79.751353,45.326545
Rosa palustris,-65.360419,44.724542
Rosa palustris,-63.284282,45.25088
Rosa palustris,-80.551735,43.470349
Rosa palustris,-77.533289,45.817709
Rosa palustris,-82.529421,41.972089
Rosa palustris,-79.4845,43.054131
Rosa palustris,-65.143017,44.370712
Rosa palustris,-63.524339,44.66775
Rosa palustris,-65.577357,43.495339
Rosa palustris,-78.474772,46.067572
Rosa palustris,-80.391053,42.58077
Rosa palustris,-78.738236,44.365775
Rosa palustris,-66.132194,44.230627
Rosa palustris,-79.413467,44.945487
Rosa palustris,-81.92731,42.622843
Rosa palustris,-80.005963,44.843539
Rosa palustris,-67.1869,45.72282
Rosa palustris,-76.126997,45.270679
Rosa palustris,-80.630043,42.806781
Rosa palustris,-81.783228,42.726891
Rosa palustris,-75.384497,45.349634
Rosa palustris,-83.867951,46.36789
Rosa palustris,-65.011753,44.369102
Rosa palustris,-81.29199,42.773841
Rosa palustris,-84.75,47
Rosa palustris,-78.34996,44.570583
Rosa palustris,-80.434121,45.555164
Rosa palustris,-79.307824,43.812127
Rosa palustris,-79.687081,43.585431
Rosa palustris,-76.028151,45.437434
Rosa palustris,-81.908695,43.22607
Rosa palustris,-65.724085,43.877555
Rosa palustris,-79.881529,44.739434
Rosa palustris,-81.540047,45.126003
Rosa palustris,-78.814262,44.923263
Rosa palustris,-80.215843,45.45789
Rosa palustris,-80.883995,42.724453
Rosa palustris,-78.920181,45.376133
Rosa palustris,-82.076756,46.110758
Rosa palustris,-84.391997,46.706628
Rosa palustris,-76.98,44.97
Rosa palustris,-82.807811,46.610916
Rosa palustris,-81.418842,45.174085
Rosa palustris,-79.865159,44.854275
Rosa palustris,-77.883274,44.391868
Rosa palustris,-72.521876,45.23088
Rosa palustris,-76.044722,44.543056
Rosa palustris,-80.532446,45.389409
Rosa palustris,-64.35159,44.264225
Rosa palustris,-65.715,45.5038
Rosa palustris,-65.772,43.5402
Rosa palustris,-64.5013,44.1828
Rosa palustris,-64.617,44.2651
Rosa palustris,-65.888786,44.07719
Rosa palustris,-64.8686,44.4225
Rosa palustris,-64.761111,44.478889
Rosa palustris,-66.252751,44.344065
Rosa palustris,-64.790278,44.332778
Rosa palustris,-64.8106,44.1614
Rosa palustris,-65.881735,43.927478
Rosa palustris,-80.8167,42.8
Rosa palustris,-75.7833,44.7333
Rosa palustris,-82.9833,46.9167
Rosa palustris,-78.5833,46.0167
Rosa palustris,-77.1167,44.55
Rosa palustris,-79.5167,45.15
Rosa palustris,-83.95,46.0667
Rosa palustris,-81.3833,45.05
Rosa palustris,-81.2833,45.2167
Rosa palustris,-81.7,42.45
Rosa palustris,-67.4167,45.5667
Rosa palustris,-75.9667,44.35
Rosa palustris,-76.547564,44.919266
Rosa palustris,-72.169876,45.280498
Rosa palustris,-80.55455,42.610956
Rosa palustris,-74.515719,45.113621
Rosa palustris,-70.925799,45.6859
Rosa palustris,-70.9599,46.77
Rosa palustris,-70.444444,45.949167
Rosa palustris,-79.513334,43.59075
Rosa palustris,-64.47444,44.39
Rosa palustris,-65.08333,44.28
Rosa palustris,-64.96361,44.11833
Rosa palustris,-71.216667,46.8
Rosa palustris,-66.133333,45.316667
Rosa palustris,-66.583333,45.566667
Rosa palustris,-66.05,46.583333
Rosa palustris,-64.966667,46.733333
Rosa palustris,-64.8,47.066667
Rosa palustris,-73.933333,45.466667
Rosa palustris,-66.075059,43.87092
Rosa palustris,-67.1,45.0833
Rosa palustris,-71.886489,45.797721
Rosa palustris,-67.395268,46.908823
Rosa palustris,-65.98418,43.7427
Rosa palustris,-75.908918,45.741614
Rosa palustris,-70.889629,46.921393
Rosa palustris,-65.456429,44.82685
Rosa palustris,-65.93466,44.190197
Rosa palustris,-73.196754,45.062957
Rosa palustris,-65.244167,44.225833
Rosa palustris,-65.334444,44.525556
Rosa palustris,-70.9537,45.44565
Rosa palustris,-74.31258,45.96424
