SPECIES,longitude,latitude
Rosa virginiana,-66.219337,44.382953
Rosa virginiana,-55.955597,46.944219
Rosa virginiana,-64.39795,45.301455
Rosa virginiana,-66.151639,43.860721
Rosa virginiana,-65.786132,44.691653
Rosa virginiana,-53.360275,47.914403
Rosa virginiana,-52.94454,47.531578
Rosa virginiana,-64.365833,45.161944
Rosa virginiana,-60.724355,45.92906
Rosa virginiana,-60.610247,45.737897
Rosa virginiana,-54.312685,49.651116
Rosa virginiana,-52.939724,46.930557
Rosa virginiana,-62.449872,45.650312
Rosa virginiana,-64.049655,44.63047
Rosa virginiana,-63.247076,45.80531
Rosa virginiana,-57.933359,49.492575
Rosa virginiana,-58.23076,49.0595
Rosa virginiana,-52.749164,47.669569
Rosa virginiana,-57.449864,49.180583
Rosa virginiana,-52.714769,47.558124
Rosa virginiana,-65.607208,43.551004
Rosa virginiana,-58.732194,48.559528
Rosa virginiana,-52.953409,47.090748
Rosa virginiana,-65.046774,45.61486
Rosa virginiana,-66.250804,45.186034
Rosa virginiana,-63.577412,45.826111
Rosa virginiana,-65.800421,43.590811
Rosa virginiana,-61.083467,45.851728
Rosa virginiana,-66.770663,44.656717
Rosa virginiana,-65.846944,44.5725
Rosa virginiana,-64.836938,43.833342
Rosa virginiana,-63.432836,44.614285
Rosa virginiana,-60.371327,46.183738
Rosa virginiana,-64.102862,46.503415
Rosa virginiana,-64.255039,46.625432
Rosa virginiana,-63.650345,44.649072
Rosa virginiana,-64.365757,45.902202
Rosa virginiana,-63.814342,46.163291
Rosa virginiana,-60.192888,46.12417
Rosa virginiana,-60.036939,46.215837
Rosa virginiana,-66.353088,45.125136
Rosa virginiana,-63.282017,45.405572
Rosa virginiana,-64.011455,47.042433
Rosa virginiana,-60.004289,43.930803
Rosa virginiana,-61.073326,46.504004
Rosa virginiana,-62.90055,46.416397
Rosa virginiana,-65.236288,44.398403
Rosa virginiana,-79.330485,43.627021
Rosa virginiana,-64.990332,47.820537
Rosa virginiana,-63.72033,44.462718
Rosa virginiana,-60.399595,46.659887
Rosa virginiana,-63.416727,46.497883
