SPECIES,longitude,latitude
Rubus arcticus,-127.38005,60.18067
Rubus arcticus,-125.935117,57.352717
Rubus arcticus,-129.884306,57.547722
Rubus arcticus,-127.722917,57.420167
Rubus arcticus,-126.842083,55.225361
Rubus arcticus,-126.38825,56.468472
Rubus arcticus,-127.218056,57.582778
Rubus arcticus,-127.965,57.883056
Rubus arcticus,-132.5475,59.02
Rubus arcticus,-132.808333,59.381389
Rubus arcticus,-128.255,58.721111
Rubus arcticus,-119.71,55.13
Rubus arcticus,-122.58,57.08
Rubus arcticus,-115.766503,53.32027
Rubus arcticus,-117.080444,52.168602
Rubus arcticus,-114.894878,52.228749
Rubus arcticus,-114.272139,54.441096
Rubus arcticus,-117.791127,53.467797
Rubus arcticus,-116.52185,58.168696
Rubus arcticus,-118.136064,53.123467
Rubus arcticus,-116.773264,54.925858
Rubus arcticus,-134.568708,60.0688
Rubus arcticus,-128.762815,60.086822
Rubus arcticus,-126.353497,61.702601
Rubus arcticus,-135.086375,60.710661
Rubus arcticus,-88.649274,48.339344
Rubus arcticus,-100.263451,51.808636
Rubus arcticus,-140.583529,64.176449
Rubus arcticus,-93.218056,58.762778
Rubus arcticus,-116.481971,51.49154
Rubus arcticus,-132.71667,60.185892
Rubus arcticus,-125.2375,49.668333
Rubus arcticus,-114.150552,54.736817
Rubus arcticus,-138.822557,64.033413
Rubus arcticus,-124.414634,55.049587
Rubus arcticus,-138.459355,64.425654
Rubus arcticus,-140.345035,64.204524
Rubus arcticus,-136.994872,61.19298
Rubus arcticus,-137.77098,60.839478
Rubus arcticus,-117.643244,52.71845
Rubus arcticus,-114.278549,62.508333
Rubus arcticus,-126.191192,56.597069
Rubus arcticus,-117.526516,52.661289
Rubus arcticus,-86.374175,51.956122
Rubus arcticus,-116.800322,53.589403
Rubus arcticus,-56.914645,51.064872
Rubus arcticus,-106.124374,53.884295
Rubus arcticus,-134.254622,60.436787
Rubus arcticus,-86.434483,52.426758
Rubus arcticus,-135.80098,62.162778
Rubus arcticus,-135.812531,60.872086
Rubus arcticus,-113.82837,53.56518
Rubus arcticus,-105.538889,53.282778
Rubus arcticus,-129.842399,58.244952
Rubus arcticus,-137.097672,60.320175
Rubus arcticus,-118.818992,52.957558
Rubus arcticus,-112.137894,54.351208
Rubus arcticus,-113.559105,53.498996
Rubus arcticus,-80.651883,51.269617
Rubus arcticus,-134.517634,60.260472
Rubus arcticus,-63.716205,58.839236
Rubus arcticus,-125.571917,64.902902
Rubus arcticus,-116.370718,53.69272
Rubus arcticus,-91.222203,51.212392
Rubus arcticus,-111.070022,57.382137
