SPECIES,longitude,latitude
Rubus chamaemorus,-130.238778,57.4661
Rubus chamaemorus,-59.877512,45.941252
Rubus chamaemorus,-78.73943,51.485696
Rubus chamaemorus,-111.306175,56.477711
Rubus chamaemorus,-114.664435,53.709915
Rubus chamaemorus,-113.837442,54.620395
Rubus chamaemorus,-116.761384,53.457284
Rubus chamaemorus,-135.315689,61.888356
Rubus chamaemorus,-65.011164,44.082606
Rubus chamaemorus,-110.879892,57.000708
Rubus chamaemorus,-65.51166,43.5782
Rubus chamaemorus,-81.652786,49.155311
Rubus chamaemorus,-78.118638,58.46794
Rubus chamaemorus,-70.133614,50.71405
Rubus chamaemorus,-61.922232,47.242942
Rubus chamaemorus,-77.099368,60.096805
Rubus chamaemorus,-107.833408,58.118799
Rubus chamaemorus,-77.277083,60.044025
Rubus chamaemorus,-113.449081,62.409274
Rubus chamaemorus,-138.505494,64.268936
Rubus chamaemorus,-89.600111,51.803754
Rubus chamaemorus,-93.866683,58.764063
Rubus chamaemorus,-126.353497,61.702601
Rubus chamaemorus,-114.689736,54.210209
Rubus chamaemorus,-108.12598,58.775446
Rubus chamaemorus,-116.769877,54.819489
Rubus chamaemorus,-89.903342,50.925519
Rubus chamaemorus,-91.295711,52.845714
Rubus chamaemorus,-65.358946,47.637499
Rubus chamaemorus,-67.202362,52.818043
Rubus chamaemorus,-88.024722,49.450833
Rubus chamaemorus,-62.368141,49.137304
Rubus chamaemorus,-102.392517,52.753033
Rubus chamaemorus,-60.607491,46.867844
Rubus chamaemorus,-96.138786,64.507195
Rubus chamaemorus,-89.649217,50.482863
Rubus chamaemorus,-133.476345,68.724704
Rubus chamaemorus,-138.306628,64.412815
Rubus chamaemorus,-56.958733,51.45935
Rubus chamaemorus,-75.148055,49.716908
Rubus chamaemorus,-105.98083,54.438376
Rubus chamaemorus,-52.69355,47.610495
Rubus chamaemorus,-114.219947,62.425697
Rubus chamaemorus,-64.161142,46.095185
Rubus chamaemorus,-114.272139,54.441096
Rubus chamaemorus,-104.549771,53.996071
Rubus chamaemorus,-140.745548,62.331852
Rubus chamaemorus,-140.974562,64.079005
Rubus chamaemorus,-138.824068,64.032588
Rubus chamaemorus,-129.61145,65.597137
Rubus chamaemorus,-89.658597,50.628839
Rubus chamaemorus,-75.618242,62.2161
Rubus chamaemorus,-65.649155,43.421
Rubus chamaemorus,-64.007105,47.045718
