SPECIES,longitude,latitude
Rubus leucodermis,-122.480476,50.242126
Rubus leucodermis,-123.530013,48.514472
Rubus leucodermis,-121.364342,49.368844
Rubus leucodermis,-122.810852,50.299339
Rubus leucodermis,-120.150536,49.111606
Rubus leucodermis,-117.719926,49.120244
Rubus leucodermis,-123.210297,49.404086
Rubus leucodermis,-125.969444,49.735833
Rubus leucodermis,-124.342,48.6504
Rubus leucodermis,-122.455667,49.015675
Rubus leucodermis,-123.603676,49.423859
Rubus leucodermis,-123.903623,49.660134
Rubus leucodermis,-123.336221,50.252692
Rubus leucodermis,-122.759728,49.047047
Rubus leucodermis,-122.969898,50.135504
Rubus leucodermis,-118.1276,49.221536
Rubus leucodermis,-123.188902,49.846753
Rubus leucodermis,-119.505494,49.057219
Rubus leucodermis,-123.699478,49.077767
Rubus leucodermis,-119.646668,49.103307
Rubus leucodermis,-122.508992,49.15667
Rubus leucodermis,-122.943106,49.752959
Rubus leucodermis,-123.753685,48.412721
Rubus leucodermis,-124.992757,49.591754
Rubus leucodermis,-123.437103,48.768125
Rubus leucodermis,-123.595629,48.846205
Rubus leucodermis,-123.312141,48.494219
Rubus leucodermis,-124.082861,49.201685
Rubus leucodermis,-125.049684,49.809347
Rubus leucodermis,-124.699653,48.695183
Rubus leucodermis,-121.684867,50.2632
Rubus leucodermis,-123.625144,48.739363
Rubus leucodermis,-125.211931,49.73891
Rubus leucodermis,-125.997037,50.261426
Rubus leucodermis,-116.860595,49.768312
Rubus leucodermis,-116.824783,49.670113
Rubus leucodermis,-117.89611,49.353392
Rubus leucodermis,-124.962222,49.320556
Rubus leucodermis,-120.257814,49.417908
Rubus leucodermis,-119.572167,49.59227
Rubus leucodermis,-122.952056,50.507114
Rubus leucodermis,-123.012558,49.359103
Rubus leucodermis,-125.528529,49.658877
Rubus leucodermis,-123.845143,49.533868
Rubus leucodermis,-125.165552,49.628817
Rubus leucodermis,-127.456635,50.532205
Rubus leucodermis,-121.460556,49.101111
Rubus leucodermis,-124.270833,49.318333
Rubus leucodermis,-123.830856,48.970642
Rubus leucodermis,-124.456599,48.923383
Rubus leucodermis,-119.028487,50.730597
Rubus leucodermis,-121.921968,49.108027
Rubus leucodermis,-125.045334,49.706794
Rubus leucodermis,-119.604575,49.419742
Rubus leucodermis,-125.317952,50.148738
Rubus leucodermis,-123.725319,48.649394
Rubus leucodermis,-122.907211,49.277895
Rubus leucodermis,-123.522995,48.605564
Rubus leucodermis,-121.062814,49.001039
Rubus leucodermis,-121.399819,49.019825
Rubus leucodermis,-123.37545,49.340056
Rubus leucodermis,-124.502316,49.298084
Rubus leucodermis,-123.916319,48.774897
Rubus leucodermis,-124.127429,48.835645
Rubus leucodermis,-123.602779,48.437868
Rubus leucodermis,-122.690269,49.214634
Rubus leucodermis,-119.397568,50.202326
Rubus leucodermis,-123.132751,50.017233
Rubus leucodermis,-125.913585,49.840691
Rubus leucodermis,-123.453121,48.433785
Rubus leucodermis,-122.744845,49.317164
Rubus leucodermis,-123.362585,48.900724
Rubus leucodermis,-123.131955,49.731914
Rubus leucodermis,-123.50335,48.943467
