SPECIES,longitude,latitude
Rubus nutkanus,-113.48621,48.99794
Rubus nutkanus,-121.917,49.083
Rubus nutkanus,-122.4,49.2
Rubus nutkanus,-118.55,50.23
Rubus nutkanus,-126.3,54.5
Rubus nutkanus,-128.7,54.8
Rubus nutkanus,-116.78,49.63
Rubus nutkanus,-123.2,48.8
Rubus nutkanus,-129.1,55.3
Rubus nutkanus,-122.8009834,48.99971264
Rubus nutkanus,-124.52,49.83
Rubus nutkanus,-118.99,50.83
Rubus nutkanus,-123.2,49.3
Rubus nutkanus,-127.9,53.3
Rubus nutkanus,-123.100996,49.19970963
Rubus nutkanus,-117.29,50.02
Rubus nutkanus,-126.7,54.57
Rubus nutkanus,-121.4,53.3
Rubus nutkanus,-127.7,55.3
Rubus nutkanus,-125,50
Rubus nutkanus,-131.4,57.8
Rubus nutkanus,-117.9,50.6
Rubus nutkanus,-119.59,49.48
Rubus nutkanus,-123,49
Rubus nutkanus,-122.03,54.12
Rubus nutkanus,-123.3,54.4
Rubus nutkanus,-128.4,50.8
Rubus nutkanus,-120,52.33
Rubus nutkanus,-124.3,54.5
Rubus nutkanus,-123.35,48.6
Rubus nutkanus,-115.383333,49.466667
Rubus nutkanus,-124.216667,49.316667
Rubus nutkanus,-119.291667,50.911389
Rubus nutkanus,-120.716667,49.533333
Rubus nutkanus,-125.616667,49.683333
Rubus nutkanus,-116.083333,49.083333
Rubus nutkanus,-126.083333,49.366667
Rubus nutkanus,-119.266667,50.7
Rubus nutkanus,-124.75,49.533333
Rubus nutkanus,-117.633333,49.525
Rubus nutkanus,-127.133333,52.95
Rubus nutkanus,-126.516667,52.75
Rubus nutkanus,-130.566667,56.766667
Rubus nutkanus,-128.333333,55.016667
Rubus nutkanus,-126.078333,52.726667
Rubus nutkanus,-116.033333,50.533333
Rubus nutkanus,-121.883333,49.266667
Rubus nutkanus,-122.633333,55.333333
Rubus nutkanus,-125.55,48.933333
Rubus nutkanus,-84.75,47
Rubus nutkanus,-88.8833,49.2333
Rubus nutkanus,-82.9833,46.9167
Rubus nutkanus,-131.983,53.2667
Rubus nutkanus,-85.9,47.75
Rubus nutkanus,-122.2,56.0333
Rubus nutkanus,-123.65,56.0667
Rubus nutkanus,-81.5667,45.25
Rubus nutkanus,-85.7167,47.7333
Rubus nutkanus,-89.2167,48.3167
Rubus nutkanus,-88.8,48.3333
Rubus nutkanus,-127.183,54.7667
Rubus nutkanus,-126,54
Rubus nutkanus,-126.717,52.3667
Rubus nutkanus,-128.533,54.5167
Rubus nutkanus,-118.5,51.5
Rubus nutkanus,-114.25,50.25
Rubus nutkanus,-123.341667,48.5
Rubus nutkanus,-113.9,49.016667
Rubus nutkanus,-113.716667,49.033333
Rubus nutkanus,-114.05,49.016667
Rubus nutkanus,-113.966667,49.1
Rubus nutkanus,-114.116667,49.133333
Rubus nutkanus,-117.6105,56.1894
Rubus nutkanus,-112.801928,54.420079
Rubus nutkanus,-114.311849,49.8006
