SPECIES,longitude,latitude
Rubus occidentalis,-78.494958,43.941138
Rubus occidentalis,-84.700295,47.369133
Rubus occidentalis,-82.513572,41.933875
Rubus occidentalis,-81.222733,42.6731
Rubus occidentalis,-79.553397,43.935372
Rubus occidentalis,-81.189568,42.971852
Rubus occidentalis,-78.20013,44.356102
Rubus occidentalis,-76.92668,44.027367
Rubus occidentalis,-75.490375,44.908475
Rubus occidentalis,-79.529999,44.029999
Rubus occidentalis,-81.066833,44.769745
Rubus occidentalis,-81.555589,43.767598
Rubus occidentalis,-73.763917,45.349972
Rubus occidentalis,-79.112692,43.143411
Rubus occidentalis,-72.825734,45.04794
Rubus occidentalis,-81.819962,43.08739
Rubus occidentalis,-78.293462,43.949159
Rubus occidentalis,-76.551533,44.772136
Rubus occidentalis,-82.075367,46.222713
Rubus occidentalis,-73.770907,45.475734
Rubus occidentalis,-79.099671,44.230515
Rubus occidentalis,-74.297958,45.479382
Rubus occidentalis,-77.610493,44.502632
Rubus occidentalis,-71.893463,45.404194
Rubus occidentalis,-80.554976,44.461292
Rubus occidentalis,-78.298217,44.945478
Rubus occidentalis,-75.686677,44.593833
Rubus occidentalis,-74.127725,45.475228
Rubus occidentalis,-78.350099,44.388574
Rubus occidentalis,-80.793579,43.210732
Rubus occidentalis,-79.729965,44.27444
Rubus occidentalis,-79.243311,43.00266
Rubus occidentalis,-82.750752,42.062234
Rubus occidentalis,-80.996078,42.896023
Rubus occidentalis,-72.862839,45.437477
Rubus occidentalis,-75.626865,45.344602
Rubus occidentalis,-64.587797,44.638595
Rubus occidentalis,-76.138288,44.444772
Rubus occidentalis,-81.487039,43.625891
Rubus occidentalis,-77.591675,44.197425
Rubus occidentalis,-79.964668,43.844756
Rubus occidentalis,-79.554571,43.838814
Rubus occidentalis,-75.226169,45.206644
Rubus occidentalis,-80.845132,43.423329
Rubus occidentalis,-73.321319,45.559742
Rubus occidentalis,-76.513497,44.593125
Rubus occidentalis,-75.961035,46.193235
Rubus occidentalis,-76.195595,45.591396
Rubus occidentalis,-82.184169,43.052511
Rubus occidentalis,-77.022866,43.897941
Rubus occidentalis,-77.130875,43.85078
Rubus occidentalis,-66.676912,48.003422
Rubus occidentalis,-81.140642,44.596488
Rubus occidentalis,-76.442802,44.310346
Rubus occidentalis,-80.332085,43.254337
Rubus occidentalis,-73.578392,45.053021
Rubus occidentalis,-74.420933,45.550445
Rubus occidentalis,-73.933064,45.408515
Rubus occidentalis,-72.352455,45.731788
Rubus occidentalis,-79.377791,44.919514
Rubus occidentalis,-80.878069,43.053341
Rubus occidentalis,-73.472534,45.976578
Rubus occidentalis,-81.123488,44.041502
Rubus occidentalis,-82.002132,42.325534
Rubus occidentalis,-80.253056,43.540556
Rubus occidentalis,-73.998218,45.782363
Rubus occidentalis,-75.961272,45.378308
Rubus occidentalis,-79.106179,43.810419
Rubus occidentalis,-73.417537,45.194269
Rubus occidentalis,-73.186083,45.53701
Rubus occidentalis,-75.982411,45.699898
Rubus occidentalis,-72.077117,45.855636
Rubus occidentalis,-83.084409,42.208653
Rubus occidentalis,-79.554265,43.200721
Rubus occidentalis,-72.182219,45.333772
Rubus occidentalis,-73.869171,45.682831
Rubus occidentalis,-76.509994,44.220847
Rubus occidentalis,-81.066818,42.986738
Rubus occidentalis,-79.707931,44.757427
Rubus occidentalis,-80.043291,43.530535
Rubus occidentalis,-79.756389,43.214444
Rubus occidentalis,-73.234638,45.311622
Rubus occidentalis,-76.205892,44.530584
Rubus occidentalis,-79.93895,44.195758
Rubus occidentalis,-81.703889,43.565278
Rubus occidentalis,-74.217192,45.903582
Rubus occidentalis,-72.884514,45.241394
Rubus occidentalis,-80.991424,44.561461
Rubus occidentalis,-79.753261,43.666041
Rubus occidentalis,-78.717765,44.615425
Rubus occidentalis,-81.475795,44.156699
Rubus occidentalis,-73.532087,45.661407
Rubus occidentalis,-80.383056,43.159167
Rubus occidentalis,-79.879817,44.292744
Rubus occidentalis,-74.121392,45.745102
Rubus occidentalis,-79.361633,43.719933
Rubus occidentalis,-80.595709,42.582193
Rubus occidentalis,-80.023889,43.638333
Rubus occidentalis,-82.981292,42.27553
Rubus occidentalis,-79.194738,43.746165
Rubus occidentalis,-75.845942,45.604266
Rubus occidentalis,-79.998611,44.519167
Rubus occidentalis,-82.848714,41.995603
Rubus occidentalis,-78.594121,44.517528
Rubus occidentalis,-82.183928,42.396881
Rubus occidentalis,-79.749968,43.879841
Rubus occidentalis,-79.874637,43.314734
Rubus occidentalis,-80.603566,42.98751
Rubus occidentalis,-81.500141,43.018531
Rubus occidentalis,-73.536006,45.397556
Rubus occidentalis,-80.420014,43.38997
Rubus occidentalis,-73.429125,45.845577
Rubus occidentalis,-71.957005,46.050617
Rubus occidentalis,-82.014466,42.438102
Rubus occidentalis,-74.9782,45.809947
Rubus occidentalis,-73.725556,45.756667
Rubus occidentalis,-78.633829,45.110866
Rubus occidentalis,-71.57915,46.893016
Rubus occidentalis,-80.51253,44.593868
Rubus occidentalis,-73.558431,45.253287
Rubus occidentalis,-72.846967,45.342669
Rubus occidentalis,-73.709854,46.299397
Rubus occidentalis,-74.283611,46.040556
Rubus occidentalis,-72.544387,45.732965
Rubus occidentalis,-80.354181,43.611313
Rubus occidentalis,-71.233098,46.627977
Rubus occidentalis,-81.935801,42.755959
Rubus occidentalis,-75.531312,46.62485
Rubus occidentalis,-76.213605,45.13591
Rubus occidentalis,-79.897191,44.752541
Rubus occidentalis,-73.636741,45.462706
Rubus occidentalis,-79.723868,43.082825
Rubus occidentalis,-80.31084,44.459913
Rubus occidentalis,-78.11985,44.621442
Rubus occidentalis,-80.304987,42.844692
Rubus occidentalis,-81.187767,42.775279
Rubus occidentalis,-78.4628,44.308128
Rubus occidentalis,-75.986622,44.366682
Rubus occidentalis,-72.042802,45.156014
Rubus occidentalis,-82.23693,42.94284
Rubus occidentalis,-80.319241,43.071118
Rubus occidentalis,-79.872764,43.036585
