SPECIES,longitude,latitude
Rubus pedatus,-123.337119,53.691775
Rubus pedatus,-128.610046,54.423767
Rubus pedatus,-126.958769,54.875694
Rubus pedatus,-128.562454,54.327465
Rubus pedatus,-128.837173,53.471432
Rubus pedatus,-121.270979,53.137505
Rubus pedatus,-128.748856,54.580392
Rubus pedatus,-128.271181,54.987167
Rubus pedatus,-126.312165,52.241017
Rubus pedatus,-117.754486,53.110987
Rubus pedatus,-122.661209,50.560482
Rubus pedatus,-119.838358,51.746442
Rubus pedatus,-121.239703,53.274797
Rubus pedatus,-117.868142,52.517958
Rubus pedatus,-120.897846,52.925256
Rubus pedatus,-128.565121,54.144321
Rubus pedatus,-120.127411,49.902347
Rubus pedatus,-122.557007,55.502148
Rubus pedatus,-122.292709,56.145958
Rubus pedatus,-126.038008,50.141267
Rubus pedatus,-122.672219,55.309772
Rubus pedatus,-119.103718,50.365868
Rubus pedatus,-129.187683,56.070402
Rubus pedatus,-123.127011,49.667556
Rubus pedatus,-122.71299,55.454422
Rubus pedatus,-122.679947,54.472263
Rubus pedatus,-121.700254,53.993141
Rubus pedatus,-124.569722,48.948709
Rubus pedatus,-125.74105,49.832287
Rubus pedatus,-125.437487,49.247783
Rubus pedatus,-120.650703,49.009675
Rubus pedatus,-126.882294,54.098845
Rubus pedatus,-128.556398,53.463675
Rubus pedatus,-125.885314,49.802625
Rubus pedatus,-118.146287,51.279595
Rubus pedatus,-125.315562,49.734378
Rubus pedatus,-124.646103,49.131714
Rubus pedatus,-122.379279,50.129192
Rubus pedatus,-121.210975,53.752892
Rubus pedatus,-127.699825,50.208757
Rubus pedatus,-121.519878,53.047867
Rubus pedatus,-135.047619,59.717217
Rubus pedatus,-125.456823,49.662696
Rubus pedatus,-127.647621,53.726668
Rubus pedatus,-117.477783,51.254417
Rubus pedatus,-125.392582,49.156379
Rubus pedatus,-125.531031,49.574437
Rubus pedatus,-124.329453,48.638145
Rubus pedatus,-122.899728,50.055131
Rubus pedatus,-119.031211,53.880883
Rubus pedatus,-124.901918,49.421956
