SPECIES,longitude,latitude
Rubus spectabilis,-128.561356,54.327751
Rubus spectabilis,-128.681075,53.246569
Rubus spectabilis,-128.83493,53.470173
Rubus spectabilis,-129.215805,53.046413
Rubus spectabilis,-128.789367,53.697406
Rubus spectabilis,-129.191437,56.069065
Rubus spectabilis,-128.5533,53.449028
Rubus spectabilis,-123.185844,49.375103
Rubus spectabilis,-121.861472,49.0985
Rubus spectabilis,-122.816055,50.297512
Rubus spectabilis,-125.344195,49.080228
Rubus spectabilis,-124.663369,49.291683
Rubus spectabilis,-123.971756,48.787858
Rubus spectabilis,-121.976977,49.555377
Rubus spectabilis,-127.485655,50.692753
Rubus spectabilis,-125.847703,49.754763
Rubus spectabilis,-127.245278,54.742421
Rubus spectabilis,-123.369994,48.732619
Rubus spectabilis,-128.194532,52.482512
Rubus spectabilis,-121.415742,49.313369
Rubus spectabilis,-126.376036,54.380536
Rubus spectabilis,-124.922278,48.689953
Rubus spectabilis,-128.123597,53.32436
Rubus spectabilis,-124.498598,49.293102
Rubus spectabilis,-124.52164,49.938804
Rubus spectabilis,-121.405814,49.012286
Rubus spectabilis,-126.306583,52.24545
Rubus spectabilis,-124.864997,50.591456
Rubus spectabilis,-124.60614,48.68602
Rubus spectabilis,-124.912209,49.713203
Rubus spectabilis,-123.628455,49.061928
Rubus spectabilis,-124.027772,49.737488
Rubus spectabilis,-125.406845,49.39155
Rubus spectabilis,-124.50126,49.477313
Rubus spectabilis,-124.456372,49.649904
Rubus spectabilis,-130.618998,54.300168
Rubus spectabilis,-124.11806,48.521042
Rubus spectabilis,-125.481712,50.126163
Rubus spectabilis,-126.276214,49.36887
Rubus spectabilis,-125.35244,49.280746
Rubus spectabilis,-125.501816,49.047733
Rubus spectabilis,-123.07453,49.11807
Rubus spectabilis,-123.249358,49.880089
Rubus spectabilis,-123.057231,49.024303
Rubus spectabilis,-123.767312,50.203267
Rubus spectabilis,-126.029228,50.14365
Rubus spectabilis,-125.785092,49.109327
Rubus spectabilis,-122.325205,49.134395
Rubus spectabilis,-122.022367,49.447783
Rubus spectabilis,-125.520955,50.335953
Rubus spectabilis,-124.938026,49.34454
Rubus spectabilis,-124.442551,48.526157
Rubus spectabilis,-125.656643,49.012734
Rubus spectabilis,-123.523636,48.391228
Rubus spectabilis,-124.98191,50.032515
Rubus spectabilis,-128.701768,54.032285
Rubus spectabilis,-126.091217,49.171421
Rubus spectabilis,-124.269722,49.324722
Rubus spectabilis,-128.722047,52.263022
Rubus spectabilis,-124.846723,49.423509
Rubus spectabilis,-123.823001,49.123819
Rubus spectabilis,-123.914878,49.030807
Rubus spectabilis,-125.399316,49.174538
Rubus spectabilis,-123.767045,49.040542
Rubus spectabilis,-121.650002,49.299999
Rubus spectabilis,-122.763642,49.182397
Rubus spectabilis,-124.647901,49.53883
Rubus spectabilis,-123.892448,49.613692
Rubus spectabilis,-120.851388,49.045662
Rubus spectabilis,-128.40097,50.777637
Rubus spectabilis,-124.379997,49.981213
Rubus spectabilis,-125.325037,50.373178
Rubus spectabilis,-122.750365,49.284799
Rubus spectabilis,-122.976847,50.152863
Rubus spectabilis,-126.650265,49.917009
Rubus spectabilis,-127.178733,50.614525
Rubus spectabilis,-123.127219,50.136781
Rubus spectabilis,-130.287893,54.231238
Rubus spectabilis,-131.782674,56.898114
Rubus spectabilis,-123.465328,48.832267
Rubus spectabilis,-124.455118,48.923129
Rubus spectabilis,-132.100644,53.913731
Rubus spectabilis,-129.577347,55.029922
Rubus spectabilis,-125.234419,49.969562
Rubus spectabilis,-121.629764,49.067414
Rubus spectabilis,-122.643228,49.374253
Rubus spectabilis,-127.883862,50.418431
Rubus spectabilis,-125.044953,49.630713
Rubus spectabilis,-122.276456,49.033342
Rubus spectabilis,-122.182297,49.121206
