SPECIES,longitude,latitude
Sambucus caerulea,-119.363345,49.023376
Sambucus caerulea,-117.871688,49.341788
Sambucus caerulea,-116.094361,49.081611
Sambucus caerulea,-119.614108,49.867817
Sambucus caerulea,-118.246679,49.122254
Sambucus caerulea,-117.890429,50.102464
Sambucus caerulea,-116.824413,49.673433
Sambucus caerulea,-117.293097,49.486887
Sambucus caerulea,-121.90544,49.060191
Sambucus caerulea,-123.320197,48.419931
Sambucus caerulea,-117.602977,49.017256
Sambucus caerulea,-118.753483,49.645909
Sambucus caerulea,-117.057037,49.595811
Sambucus caerulea,-123.913561,49.133843
Sambucus caerulea,-118.357567,49.012597
Sambucus caerulea,-117.58898,49.492947
Sambucus caerulea,-117.66192,49.407617
Sambucus caerulea,-121.44303,49.924912
Sambucus caerulea,-123.897033,48.771744
Sambucus caerulea,-122.637576,49.100458
Sambucus caerulea,-117.284696,49.191287
Sambucus caerulea,-116.239037,49.021689
Sambucus caerulea,-117.53858,49.642053
Sambucus caerulea,-119.647903,49.519051
Sambucus caerulea,-119.594444,49.20919
Sambucus caerulea,-119.730024,49.312082
Sambucus caerulea,-119.234731,50.278563
Sambucus caerulea,-119.610762,49.02051
Sambucus caerulea,-117.790742,49.072456
Sambucus caerulea,-117.750151,49.593803
Sambucus caerulea,-119.554962,49.105175
Sambucus caerulea,-120.03555,49.135475
Sambucus caerulea,-117.656215,49.276098
Sambucus caerulea,-116.603811,49.084508
Sambucus caerulea,-119.372863,49.967298
Sambucus caerulea,-119.510576,49.92949
Sambucus caerulea,-125.539936,49.674006
Sambucus caerulea,-119.470577,49.811347
Sambucus caerulea,-119.501409,50.136802
Sambucus caerulea,-125.065772,49.793417
Sambucus caerulea,-120.134239,49.369494
Sambucus caerulea,-121.128754,49.094997
Sambucus caerulea,-119.522836,49.295231
Sambucus caerulea,-119.561981,49.433481
Sambucus caerulea,-119.316205,49.792279
Sambucus caerulea,-124.851469,49.618671
Sambucus caerulea,-119.735176,49.777161
Sambucus caerulea,-123.643078,49.041552
Sambucus caerulea,-120.51,49.46
Sambucus caerulea,-117.42,49.89
Sambucus caerulea,-122.91,49.21
Sambucus caerulea,-121.77,49.23
Sambucus caerulea,-119.84,49.2
Sambucus caerulea,-119.316667,50.15
Sambucus caerulea,-121.268056,49.134722
Sambucus caerulea,-124.833333,49.25
Sambucus caerulea,-117.0386,49.061792
Sambucus caerulea,-120.377023,50.69862
Sambucus caerulea,-124.266667,49.083333
Sambucus caerulea,-123.683333,48.758333
