SPECIES,longitude,latitude
Sambucus canadensis,-79.688974,44.378746
Sambucus canadensis,-64.081804,46.621667
Sambucus canadensis,-81.57367,43.541205
Sambucus canadensis,-75.18302,45.445755
Sambucus canadensis,-65.601541,43.473979
Sambucus canadensis,-78.2747,44.972806
Sambucus canadensis,-79.189994,45.057625
Sambucus canadensis,-79.988492,45.171562
Sambucus canadensis,-74.857588,45.545747
Sambucus canadensis,-79.520297,43.647174
Sambucus canadensis,-65.707298,47.704815
Sambucus canadensis,-69.395277,48.33511
Sambucus canadensis,-61.125967,45.975148
Sambucus canadensis,-76.378691,44.424372
Sambucus canadensis,-75.673762,45.423191
Sambucus canadensis,-76.625367,44.805887
Sambucus canadensis,-74.975386,45.63768
Sambucus canadensis,-78.194791,44.611812
Sambucus canadensis,-80.252288,42.56165
Sambucus canadensis,-79.723643,43.478055
Sambucus canadensis,-80.495308,43.51638
Sambucus canadensis,-64.737525,46.124675
Sambucus canadensis,-64.668716,44.725816
Sambucus canadensis,-63.47825,44.672645
Sambucus canadensis,-65.544411,44.601588
Sambucus canadensis,-75.101102,45.596182
Sambucus canadensis,-60.632306,46.145363
Sambucus canadensis,-63.134308,45.620138
Sambucus canadensis,-64.994613,46.349229
Sambucus canadensis,-61.783385,45.612125
Sambucus canadensis,-80.542557,42.697075
Sambucus canadensis,-63.056079,46.222791
Sambucus canadensis,-62.761227,45.46988
Sambucus canadensis,-75.285156,46.173267
Sambucus canadensis,-75.606955,45.313364
Sambucus canadensis,-66.538608,45.574093
Sambucus canadensis,-80.407064,43.7129
Sambucus canadensis,-79.467518,44.497112
Sambucus canadensis,-75.512897,45.393263
Sambucus canadensis,-84.353348,46.510288
Sambucus canadensis,-79.859585,44.310311
Sambucus canadensis,-82.750756,42.062203
Sambucus canadensis,-79.874484,43.836633
Sambucus canadensis,-80.329009,42.955665
Sambucus canadensis,-76.263343,45.119567
Sambucus canadensis,-74.603922,45.103162
Sambucus canadensis,-76.755626,44.495899
Sambucus canadensis,-65.405272,44.773319
Sambucus canadensis,-82.645137,41.760202
Sambucus canadensis,-61.45565,46.140331
Sambucus canadensis,-79.811208,43.205317
Sambucus canadensis,-74.024376,45.798843
Sambucus canadensis,-62.458428,46.003506
Sambucus canadensis,-64.74611,45.038888
Sambucus canadensis,-72.814766,46.259193
Sambucus canadensis,-78.882412,46.289254
Sambucus canadensis,-79.381828,43.833492
Sambucus canadensis,-80.066972,44.797802
Sambucus canadensis,-62.5801,45.419322
Sambucus canadensis,-62.193005,45.593322
Sambucus canadensis,-80.236687,43.572945
Sambucus canadensis,-62.7788,45.675567
Sambucus canadensis,-79.336449,45.014788
Sambucus canadensis,-79.631646,42.863199
Sambucus canadensis,-62.639052,45.513405
Sambucus canadensis,-78.849138,43.915984
Sambucus canadensis,-83.052872,42.258858
Sambucus canadensis,-79.123908,44.368272
Sambucus canadensis,-80.395105,43.282302
Sambucus canadensis,-72.004081,45.387113
Sambucus canadensis,-77.710983,45.876345
Sambucus canadensis,-78.260431,45.541024
Sambucus canadensis,-79.195463,43.748163
Sambucus canadensis,-72.241425,45.362136
Sambucus canadensis,-70.780936,47.077763
Sambucus canadensis,-73.568382,45.507374
Sambucus canadensis,-73.411426,45.48437
Sambucus canadensis,-79.153266,43.152317
Sambucus canadensis,-73.25449,45.305771
Sambucus canadensis,-74.509789,45.02284
Sambucus canadensis,-70.75088,46.917034
Sambucus canadensis,-79.580403,45.298352
Sambucus canadensis,-79.352056,45.198009
Sambucus canadensis,-80.807941,43.387185
Sambucus canadensis,-78.590029,43.912709
Sambucus canadensis,-83.016682,42.029812
Sambucus canadensis,-75.731713,44.615475
Sambucus canadensis,-75.927594,45.339816
Sambucus canadensis,-79.475793,44.889579
Sambucus canadensis,-80.463183,42.622787
Sambucus canadensis,-79.600103,43.782378
Sambucus canadensis,-79.199085,43.992393
Sambucus canadensis,-63.129065,46.315235
Sambucus canadensis,-81.641182,42.58661
Sambucus canadensis,-80.04331,44.49154
Sambucus canadensis,-77.05683,44.467525
Sambucus canadensis,-78.447618,44.147731
Sambucus canadensis,-76.430725,44.856667
Sambucus canadensis,-80.3629,43.075183
Sambucus canadensis,-66.487536,45.866567
Sambucus canadensis,-64.611815,45.081803
Sambucus canadensis,-81.964872,42.595135
Sambucus canadensis,-63.352222,46.205
Sambucus canadensis,-66.643115,45.96359
Sambucus canadensis,-63.558234,45.627272
Sambucus canadensis,-79.391886,43.622666
Sambucus canadensis,-64.551799,44.420801
Sambucus canadensis,-74.059958,45.906858
Sambucus canadensis,-73.502263,45.719977
Sambucus canadensis,-78.848246,44.008685
Sambucus canadensis,-76.313577,44.258866
Sambucus canadensis,-60.335918,46.266855
Sambucus canadensis,-83.197723,46.287445
Sambucus canadensis,-60.520535,45.914328
Sambucus canadensis,-76.678503,44.629107
Sambucus canadensis,-81.647856,42.946886
Sambucus canadensis,-60.348485,46.093688
Sambucus canadensis,-74.451373,45.558388
Sambucus canadensis,-79.127797,44.187006
Sambucus canadensis,-67.124734,45.154745
Sambucus canadensis,-79.679666,47.509604
Sambucus canadensis,-62.255811,46.405686
Sambucus canadensis,-65.929123,44.004025
Sambucus canadensis,-61.499214,45.855281
Sambucus canadensis,-78.259153,44.271035
Sambucus canadensis,-75.484158,45.086587
Sambucus canadensis,-81.304931,43.013836
Sambucus canadensis,-79.710524,43.575379
Sambucus canadensis,-80.198898,45.376948
Sambucus canadensis,-81.020051,46.455693
Sambucus canadensis,-77.366108,44.160051
Sambucus canadensis,-82.451125,42.092772
Sambucus canadensis,-73.695301,45.409221
Sambucus canadensis,-75.260258,45.155447
Sambucus canadensis,-88.380797,48.579342
Sambucus canadensis,-76.21444,44.89247
Sambucus canadensis,-65.830379,46.944497
Sambucus canadensis,-81.870072,43.235595
Sambucus canadensis,-64.856338,46.004291
Sambucus canadensis,-81.376413,44.497292
Sambucus canadensis,-80.053372,43.537463
Sambucus canadensis,-79.085703,43.038304
Sambucus canadensis,-74.409305,45.68128
Sambucus canadensis,-78.455961,44.025663
Sambucus canadensis,-79.872172,43.036482
Sambucus canadensis,-81.459503,42.718967
Sambucus canadensis,-75.755817,45.338933
Sambucus canadensis,-79.604542,43.519475
Sambucus canadensis,-82.012702,42.332042
Sambucus canadensis,-79.523025,44.162553
Sambucus canadensis,-63.872627,45.709144
