SPECIES,longitude,latitude
Sorbus americana,-60.64323,46.709563
Sorbus americana,-76.314002,45.547945
Sorbus americana,-70.859089,48.334224
Sorbus americana,-63.86251,44.913063
Sorbus americana,-62.756496,45.487643
Sorbus americana,-60.474419,46.887272
Sorbus americana,-65.614419,43.546666
Sorbus americana,-64.291116,44.370662
Sorbus americana,-79.34668,45.125953
Sorbus americana,-79.212023,45.401205
Sorbus americana,-81.36702,45.954117
Sorbus americana,-65.687105,44.61255
Sorbus americana,-66.671944,47.994722
Sorbus americana,-66.649908,45.947531
Sorbus americana,-73.583428,45.5122
Sorbus americana,-81.238171,42.993273
Sorbus americana,-72.0998,46.813278
Sorbus americana,-71.146944,46.890556
Sorbus americana,-55.958761,46.937231
Sorbus americana,-72.211667,45.369722
Sorbus americana,-65.98797,45.410178
Sorbus americana,-62.681828,45.674928
Sorbus americana,-83.561692,47.6959
Sorbus americana,-84.306258,46.789863
Sorbus americana,-77.987953,48.616528
Sorbus americana,-64.975508,47.78723
Sorbus americana,-81.616389,49.119467
Sorbus americana,-65.676615,47.613352
Sorbus americana,-60.529303,46.297756
Sorbus americana,-65.414812,44.702042
Sorbus americana,-63.786505,44.480317
Sorbus americana,-60.687831,46.135633
Sorbus americana,-84.102594,46.510633
Sorbus americana,-91.12807,48.672898
Sorbus americana,-65.376109,44.338653
Sorbus americana,-65.825508,43.723717
Sorbus americana,-84.342414,46.696709
Sorbus americana,-79.03479,48.236853
Sorbus americana,-83.566094,46.245541
Sorbus americana,-63.726075,44.573528
Sorbus americana,-66.34897,45.33722
Sorbus americana,-79.039526,44.350154
Sorbus americana,-67.324294,46.20025
Sorbus americana,-64.910804,45.619923
Sorbus americana,-66.27222,45.160207
Sorbus americana,-66.10331,44.493531
Sorbus americana,-60.597335,46.205653
Sorbus americana,-59.23983,47.843197
Sorbus americana,-63.571577,44.606505
Sorbus americana,-64.494839,45.232366
Sorbus americana,-60.695092,46.536067
Sorbus americana,-62.455307,46.21433
Sorbus americana,-66.013642,43.401388
Sorbus americana,-90.249011,48.109586
Sorbus americana,-63.034058,46.39764
Sorbus americana,-79.358823,43.767828
Sorbus americana,-53.031893,47.409146
Sorbus americana,-74.55465,46.221803
Sorbus americana,-64.201722,44.5582
Sorbus americana,-66.423591,47.195712
Sorbus americana,-78.504336,46.033678
Sorbus americana,-71.370414,46.866239
Sorbus americana,-65.166541,48.045862
Sorbus americana,-60.049316,46.039317
Sorbus americana,-66.138267,45.225072
Sorbus americana,-82.694717,46.583217
Sorbus americana,-60.965635,45.585085
Sorbus americana,-72.053008,45.392215
Sorbus americana,-79.977504,44.845495
Sorbus americana,-89.168147,48.48449
Sorbus americana,-64.696606,48.323955
Sorbus americana,-70.245537,49.964192
Sorbus americana,-63.555142,44.708474
Sorbus americana,-64.539712,44.395172
Sorbus americana,-66.363056,44.246944
Sorbus americana,-65.415464,43.494573
Sorbus americana,-70.796325,48.61252
Sorbus americana,-65.800421,43.590811
Sorbus americana,-52.706635,47.655398
Sorbus americana,-82.871392,47.543712
Sorbus americana,-86.624862,48.788186
Sorbus americana,-80.587535,44.450273
Sorbus americana,-89.065255,48.655933
Sorbus americana,-89.55177,48.021279
Sorbus americana,-78.025691,45.323654
Sorbus americana,-63.918245,45.647187
Sorbus americana,-88.766667,48.645017
Sorbus americana,-79.45,46.589559
Sorbus americana,-79.45,45.033333
Sorbus americana,-66.126193,43.816319
Sorbus americana,-66.210831,46.947167
Sorbus americana,-77.992019,46.225131
Sorbus americana,-76.225759,45.774297
